             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           2801105 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801106 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801111 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801113 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801115 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801116 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801117 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801119 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801120 regularlo atm_lnav s3813053 PD       0:00      1 (Resources)
           2801131 regularlo atm_cpa4 s3813053 PD       0:00      1 (Resources)
           2801135 regularlo atm_cpa6 s3813053 PD       0:00      1 (Resources)
           2801136 regularlo atm_cpa7 s3813053 PD       0:00      1 (Resources)
           2801142 regularlo atm_cpa9 s3813053 PD       0:00      1 (Resources)
           2801141 regularlo atm_cpa8 s3813053 PD       0:00      1 (Resources)
           2801159 regularlo atm_spar s3813053 PD       0:00      1 (Resources)
           2801158 regularlo atm_spar s3813053 PD       0:00      1 (Resources)
           2801154 regularlo atm_spar s3813053 PD       0:00      1 (Resources)
           2801152 regularlo atm_spar s3813053 PD       0:00      1 (Resources)
           2801149 regularlo atm_spar s3813053 PD       0:00      1 (Resources)
           2801148 regularlo atm_spar s3813053 PD       0:00      1 (Resources)
           2801147 regularlo atm_spar s3813053 PD       0:00      1 (Resources)
           2801126 regularlo atm_cpa1 s3813053  R       1:25      1 node14
           2801130 regularlo atm_cpa3 s3813053  R       2:14      1 node18
           2801157 regularlo atm_spar s3813053  R       0:55      1 node31
           2801155 regularlo atm_spar s3813053  R       1:54      1 node33
           2801134 regularlo atm_cpa5 s3813053  R       2:20      1 node26
           2801128 regularlo atm_cpa2 s3813053  R       3:32      1 node17
