episode,aircraft,instruction
0,AC0,HDG_L
0,AC1,HDG_R
0,AC0,LNAV
0,AC1,LNAV
0,AC16,HDG_L
0,AC17,HDG_R
0,AC16,LNAV
0,AC17,LNAV
0,AC5,HDG_L
0,AC15,HDG_R
0,AC16,HDG_L
0,AC17,HDG_R
0,AC16,LNAV
0,AC17,LNAV
0,AC5,LNAV
0,AC15,LNAV
0,AC16,HDG_L
0,AC17,HDG_R
0,AC16,LNAV
0,AC17,LNAV
0,AC4,HDG_L
0,AC14,HDG_R
0,AC4,LNAV
0,AC14,LNAV
0,AC5,HDG_L
0,AC15,HDG_R
0,AC2,HDG_L
0,AC6,HDG_R
0,AC5,LNAV
0,AC15,LNAV
0,AC16,HDG_L
0,AC17,HDG_R
0,AC2,LNAV
0,AC6,LNAV
0,AC5,HDG_L
0,AC15,HDG_R
0,AC16,LNAV
0,AC17,LNAV
0,AC5,LNAV
0,AC15,LNAV
0,AC5,HDG_L
0,AC15,HDG_R
0,AC3,HDG_L
0,AC11,HDG_R
0,AC3,LNAV
0,AC11,LNAV
0,AC16,HDG_L
0,AC17,HDG_R
0,AC9,HDG_L
0,AC18,HDG_R
0,AC9,LNAV
0,AC18,LNAV
0,AC5,LNAV
0,AC15,LNAV
0,AC16,LNAV
0,AC17,LNAV
0,AC8,HDG_L
0,AC13,HDG_R
0,AC8,LNAV
0,AC13,LNAV
0,AC16,HDG_L
0,AC17,HDG_R
0,AC5,HDG_L
0,AC15,HDG_R
0,AC16,LNAV
0,AC17,LNAV
0,AC8,HDG_L
0,AC13,HDG_R
0,AC5,LNAV
0,AC15,LNAV
0,AC8,LNAV
0,AC13,LNAV
0,AC16,HDG_L
0,AC17,HDG_R
0,AC5,HDG_L
0,AC15,HDG_R
0,AC16,LNAV
0,AC17,LNAV
0,AC0,HDG_L
0,AC14,HDG_R
0,AC5,LNAV
0,AC15,LNAV
0,AC0,LNAV
0,AC14,LNAV
0,AC0,HDG_L
0,AC4,HDG_R
0,AC1,HDG_L
0,AC14,HDG_R
0,AC1,HDG_L
0,AC4,HDG_R
0,AC0,LNAV
0,AC4,LNAV
0,AC1,LNAV
0,AC14,LNAV
0,AC1,LNAV
0,AC4,LNAV
0,AC5,HDG_L
0,AC15,HDG_R
0,AC5,LNAV
0,AC15,LNAV
0,AC5,HDG_L
0,AC15,HDG_R
0,AC5,LNAV
0,AC15,LNAV
0,AC5,HDG_L
0,AC15,HDG_R
0,AC5,HDG_L
0,AC18,HDG_R
0,AC5,HDG_L
0,AC9,HDG_R
0,AC5,LNAV
0,AC15,LNAV
0,AC5,LNAV
0,AC18,LNAV
0,AC5,LNAV
0,AC9,LNAV
0,AC5,HDG_L
0,AC15,HDG_R
0,AC9,HDG_L
0,AC15,HDG_R
0,AC5,LNAV
0,AC15,LNAV
0,AC9,LNAV
0,AC15,LNAV
0,AC15,HDG_L
0,AC18,HDG_R
0,AC15,LNAV
0,AC18,LNAV
0,AC15,HDG_L
0,AC18,HDG_R
0,AC15,LNAV
