episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,582.5637817382812,1.2037037037037037,21,57.34,0.99802,4,108,37,43,0,28
2,622.56787109375,0.0,20,71.27,0.99604,10,129,53,38,0,40
3,575.4108276367188,-0.6153846153846154,20,65.33,0.99406,12,65,19,27,0,21
4,560.804931640625,0.6896551724137931,20,57.44,0.9920800000000001,6,116,41,38,0,41
5,527.1724853515625,-0.17647058823529413,21,79.22,0.9901000000000001,12,170,57,60,0,57
6,564.4615478515625,-1.4285714285714286,18,88.41,0.9881200000000001,14,70,28,18,0,24
7,564.7240600585938,0.3448275862068966,21,56.4,0.9861400000000001,9,87,28,34,0,28
8,529.345458984375,0.09433962264150944,21,46.39,0.9841600000000001,10,106,38,38,0,32
9,565.142333984375,0.5882352941176471,21,67.17,0.9821800000000002,8,85,29,28,0,30
10,540.3638305664062,0.0,20,75.92,0.9802000000000002,10,74,24,31,0,21
11,563.65087890625,0.3418803418803419,20,65.17,0.9782200000000002,8,117,42,39,0,36
12,552.44140625,-0.23809523809523808,18,89.53,0.9762400000000002,10,84,24,30,0,32
13,617.67236328125,0.4,20,72.16,0.9742600000000002,8,100,38,41,0,23
14,571.6856689453125,0.25,18,89.14,0.9722800000000003,8,80,38,23,0,19
15,577.690185546875,0.0,20,70.62,0.9703000000000003,10,101,30,34,0,39
16,563.4056396484375,0.0,20,85.5,0.9683200000000003,10,62,17,25,0,20
17,590.2982788085938,1.0526315789473684,20,77.82,0.9663400000000003,6,76,22,27,0,27
18,551.594482421875,-0.625,20,85.32,0.9643600000000003,12,64,18,22,0,24
19,575.783203125,-0.813953488372093,21,52.9,0.9623800000000003,14,86,22,29,0,37
20,507.6229553222656,-1.1428571428571428,20,85.46,0.9604000000000004,14,70,28,25,0,17
21,580.4046630859375,0.449438202247191,20,66.59,0.9584200000000004,8,89,30,31,0,30
22,546.2977294921875,0.7272727272727273,20,75.85,0.9564400000000004,6,110,40,38,0,32
23,550.724365234375,0.15151515151515152,20,58.93,0.9544600000000004,9,132,38,58,0,38
24,541.7949829101562,-0.4444444444444444,20,74.99,0.9524800000000004,12,90,24,34,0,32
25,517.5443725585938,0.0,20,55.26,0.9505000000000005,10,102,37,43,0,28
26,563.9465942382812,-0.4166666666666667,20,53.66,0.9485200000000005,12,96,41,29,0,28
27,541.1463623046875,-1.3157894736842106,18,88.17,0.9465400000000005,14,76,26,32,0,18
28,609.196044921875,0.6451612903225806,20,75.65,0.9445600000000005,8,62,17,20,0,25
29,580.3096923828125,0.0,20,85.47,0.9425800000000005,10,98,28,35,0,35
30,582.615234375,0.35294117647058826,19,86.31,0.9406000000000005,8,85,26,34,0,25
31,548.319580078125,-0.3409090909090909,21,71.29,0.9386200000000006,12,88,32,37,0,19
32,601.6634521484375,0.10309278350515463,21,31.22,0.9366400000000006,10,97,36,41,0,20
33,592.5381469726562,0.5194805194805194,20,44.64,0.9346600000000006,8,77,27,33,0,21
34,540.6384887695312,0.47619047619047616,21,69.64,0.9326800000000006,8,105,29,40,0,36
35,580.1018676757812,-0.9803921568627451,18,85.59,0.9307000000000006,14,102,31,36,0,35
36,562.2207641601562,0.0,20,71.76,0.9287200000000007,10,100,31,39,0,30
37,572.231689453125,0.96,20,62.22,0.9267400000000007,4,125,47,48,0,35
38,592.0989379882812,0.0,20,72.23,0.9247600000000007,10,68,19,26,0,23
39,593.4759521484375,0.45454545454545453,20,72.62,0.9227800000000007,8,88,21,39,0,28
40,572.9041137695312,0.5681818181818182,21,81.72,0.9208000000000007,8,88,29,44,0,17
41,543.3170776367188,0.0,20,72.89,0.9188200000000007,10,64,26,21,0,17
42,526.1629028320312,1.6,20,48.81,0.9168400000000008,4,75,20,33,0,25
43,521.3922119140625,-0.47619047619047616,20,71.05,0.9148600000000008,12,84,24,29,0,32
