episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,554.6959228515625,-0.2647058823529412,20,63.72,0.99802,10,102,37,37,0,33
2,491.8771667480469,0.40625,20,87.37,0.99604,8,64,19,18,0,27
3,509.3226318359375,0.5865384615384616,20,85.63,0.99406,6,104,21,41,0,44
4,475.2593078613281,0.1206896551724138,20,100.8,0.9920800000000001,6,116,38,39,0,39
5,533.1812744140625,-0.296875,20,112.98,0.9901000000000001,10,128,41,43,0,46
6,507.03875732421875,-1.3026315789473684,20,101.8,0.9881200000000001,12,76,29,25,0,26
7,479.21435546875,1.337837837837838,20,60.53,0.9861400000000001,4,74,22,21,0,31
8,501.69451904296875,-0.5,20,82.16,0.9841600000000001,10,76,22,29,0,25
9,529.12548828125,-0.28378378378378377,20,362.15,0.9821800000000002,8,74,22,30,0,24
10,525.297607421875,1.0206185567010309,21,40.99,0.9802000000000002,4,97,37,31,0,29
11,503.2905578613281,0.8192771084337349,21,48.88,0.9782200000000002,6,83,32,31,0,26
12,488.0828857421875,0.7325581395348837,20,111.44,0.9762400000000002,6,86,32,32,0,22
13,491.78948974609375,-0.35833333333333334,20,109.95,0.9742600000000002,10,120,36,49,0,39
14,493.09234619140625,0.5978260869565217,21,88.33,0.9722800000000003,6,92,29,33,0,32
15,449.2220458984375,-1.0135135135135136,20,88.61,0.9703000000000003,10,74,18,26,0,30
16,497.5026550292969,0.4782608695652174,21,69.88,0.9683200000000003,8,69,21,24,0,24
17,488.6868591308594,-0.6122448979591837,20,89.27,0.9663400000000003,10,98,33,36,0,33
18,487.73394775390625,0.1,20,71.73,0.9643600000000003,8,110,37,33,0,42
19,465.1604919433594,0.8378378378378378,20,76.86,0.9623800000000003,6,74,27,26,0,23
20,467.318359375,-0.6111111111111112,20,95.1,0.9604000000000004,10,72,20,25,0,27
21,470.9722900390625,0.8620689655172413,20,151.42,0.9584200000000004,4,116,35,39,0,44
