episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,209.54251098632812,0.37272727272727274,20,49.14,0.99802,8,110,46,32,0,34
2,225.47250366210938,0.7083333333333334,21,55.52,0.99604,6,96,38,37,0,25
3,212.508544921875,-1.5945945945945945,20,54.84,0.99406,12,74,27,24,0,23
4,197.21600341796875,0.7636363636363637,20,37.88,0.9920800000000001,4,110,34,45,0,31
5,180.7506103515625,-0.2616822429906542,21,29.5,0.9901000000000001,10,107,29,45,0,34
6,183.30477905273438,-1.03,20,48.88,0.9881200000000001,14,100,25,44,0,35
7,196.66720581054688,1.3714285714285714,20,43.27,0.9861400000000001,6,70,30,24,0,16
8,196.4606170654297,-1.6585365853658536,20,52.88,0.9841600000000001,14,82,20,31,0,31
9,204.8193817138672,-1.8529411764705883,20,54.77,0.9821800000000002,12,68,32,16,0,20
10,178.1901092529297,0.07317073170731707,20,49.62,0.9802000000000002,10,82,25,28,0,29
11,184.08251953125,-2.75,20,54.98,0.9782200000000002,16,80,26,26,0,30
12,187.88839721679688,0.19254658385093168,20,50.99,0.9762400000000002,10,161,52,65,0,49
13,194.9182891845703,-2.813953488372093,18,57.57,0.9742600000000002,16,86,26,28,0,32
14,164.52151489257812,0.26,20,54.02,0.9722800000000003,8,100,33,36,0,33
15,154.03512573242188,1.2727272727272727,20,43.36,0.9703000000000003,4,110,39,37,0,34
16,165.82742309570312,1.5172413793103448,21,43.87,0.9683200000000003,4,87,26,29,0,32
17,148.900390625,-1.0865384615384615,21,56.39,0.9663400000000003,12,104,37,40,0,27
18,139.25936889648438,0.9591836734693877,20,56.69,0.9643600000000003,6,98,21,36,0,41
19,144.11264038085938,0.25,20,55.7,0.9623800000000003,8,128,47,43,0,40
20,149.08836364746094,0.10679611650485436,20,43.08,0.9604000000000004,8,103,30,38,0,37
21,143.92364501953125,-1.4285714285714286,21,48.86,0.9584200000000004,14,70,19,30,0,21
22,124.42633056640625,-1.4523809523809523,18,57.3,0.9564400000000004,10,84,30,27,0,29
23,160.44384765625,-0.8292682926829268,20,55.75,0.9544600000000004,12,82,24,32,0,26
24,107.72393798828125,1.4606741573033708,20,42.96,0.9524800000000004,6,89,28,40,0,21
25,135.71160888671875,0.6814159292035398,20,36.77,0.9505000000000005,8,113,42,35,0,37
26,121.77532958984375,0.875,20,42.29,0.9485200000000005,6,80,32,27,0,23
27,142.32275390625,-0.2,20,57.3,0.9465400000000005,10,90,31,31,0,28
28,131.04075622558594,0.16666666666666666,20,49.01,0.9445600000000005,8,84,27,37,0,22
29,149.06060791015625,0.4090909090909091,21,48.43,0.9425800000000005,8,88,23,39,0,28
30,89.34797668457031,2.5483870967741935,20,21.01,0.9406000000000005,2,93,30,41,0,24
31,117.90872192382812,0.09411764705882353,21,53.15,0.9386200000000006,10,85,23,27,0,35
32,105.68875122070312,-1.3888888888888888,20,49.2,0.9366400000000006,12,72,31,25,0,16
33,93.68278503417969,-2.9655172413793105,16,57.43,0.9346600000000006,14,58,23,24,0,13
34,124.36851501464844,-3.7666666666666666,18,63.33,0.9326800000000006,16,60,18,24,0,20
35,124.70314025878906,1.5061728395061729,21,39.16,0.9307000000000006,6,81,21,43,0,21
36,101.40827178955078,-0.08571428571428572,20,44.19,0.9287200000000007,10,70,23,31,0,18
37,81.357421875,0.16822429906542055,20,35.29,0.9267400000000007,12,107,42,41,0,28
38,106.70156860351562,-0.45454545454545453,18,57.35,0.9247600000000007,10,88,28,27,0,37
39,124.49988555908203,-0.14634146341463414,20,56.03,0.9227800000000007,10,82,29,26,0,27
40,116.64892578125,0.7058823529411765,20,57.28,0.9208000000000007,6,102,32,43,0,29
41,68.92046356201172,-0.88,21,58.94,0.9188200000000007,12,75,24,26,0,25
