episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,262.8809509277344,0.5915492957746479,20,29.99,0.99802,6,71,30,23,0,21
2,252.1082763671875,1.0394736842105263,21,35.66,0.99604,6,76,25,22,0,29
3,244.438232421875,1.3478260869565217,20,22.18,0.99406,6,46,20,13,0,15
4,221.534912109375,0.175,20,28.03,0.9920800000000001,8,80,30,25,0,29
5,199.94180297851562,0.7258064516129032,20,32.77,0.9901000000000001,6,62,22,26,0,18
6,170.88131713867188,-0.16393442622950818,20,30.6,0.9881200000000001,8,61,24,14,0,25
7,150.6927490234375,-0.43373493975903615,20,23.39,0.9861400000000001,8,83,33,22,0,35
8,140.30203247070312,-0.3263157894736842,20,24.49,0.9841600000000001,8,95,36,32,0,31
9,166.07058715820312,1.55,20,28.13,0.9821800000000002,4,60,19,18,0,25
10,147.052978515625,1.9397590361445782,20,21.67,0.9802000000000002,2,83,25,34,0,26
11,108.28620910644531,-0.5384615384615384,20,31.17,0.9782200000000002,8,104,45,23,0,41
12,144.32997131347656,1.3333333333333333,21,27.64,0.9762400000000002,6,57,18,23,0,19
13,97.54899597167969,0.6986301369863014,20,24.96,0.9742600000000002,6,73,34,23,0,18
14,95.76420593261719,0.391304347826087,21,31.67,0.9722800000000003,6,115,36,42,0,41
15,122.26994323730469,-1.3870967741935485,21,29.85,0.9703000000000003,12,93,34,33,0,32
16,104.41545867919922,0.9041095890410958,20,31.21,0.9683200000000003,6,73,18,27,0,33
17,105.46046447753906,-0.3956043956043956,21,35.75,0.9663400000000003,10,91,35,26,0,38
18,100.57328796386719,1.1470588235294117,20,28.76,0.9643600000000003,4,102,30,46,0,34
19,92.67266082763672,1.6964285714285714,21,33.07,0.9623800000000003,4,56,19,16,0,23
20,78.32742309570312,2.1136363636363638,20,26.01,0.9604000000000004,4,44,21,10,0,13
21,96.36283874511719,0.23893805309734514,20,34.3,0.9584200000000004,6,113,42,42,0,31
22,104.47500610351562,2.3066666666666666,21,36.28,0.9564400000000004,2,75,27,27,0,23
23,82.15835571289062,1.0784313725490196,21,29.5,0.9544600000000004,4,102,28,49,0,30
24,74.57186889648438,-0.14893617021276595,21,28.73,0.9524800000000004,8,94,33,32,0,34
25,90.32598114013672,-0.21551724137931033,20,35.72,0.9505000000000005,8,116,42,40,0,42
26,93.66532897949219,1.1666666666666667,20,40.72,0.9485200000000005,2,96,35,30,0,35
27,61.82322311401367,0.6158940397350994,20,34.63,0.9465400000000005,4,151,47,46,0,63
28,77.02762603759766,0.8043478260869565,20,26.82,0.9445600000000005,6,92,32,26,0,39
29,95.34757232666016,1.518987341772152,20,31.51,0.9425800000000005,2,79,24,38,0,19
30,90.69822692871094,0.18181818181818182,20,30.36,0.9406000000000005,8,99,42,34,0,25
31,92.80040740966797,-0.10185185185185185,21,33.98,0.9386200000000006,8,108,32,48,0,31
32,109.59585571289062,1.3636363636363635,20,30.57,0.9366400000000006,4,88,26,33,0,32
33,73.51280975341797,1.2714285714285714,20,27.63,0.9346600000000006,4,70,27,21,0,30
34,67.8162841796875,1.6153846153846154,20,25.63,0.9326800000000006,6,39,10,16,0,13
35,75.65105438232422,0.04310344827586207,20,27.45,0.9307000000000006,7,116,44,35,0,44
36,65.5306625366211,1.290909090909091,21,25.06,0.9287200000000007,6,55,18,18,0,21
37,71.88066864013672,1.292929292929293,21,28.34,0.9267400000000007,4,99,37,37,0,29
38,94.67942810058594,0.7012987012987013,21,39.69,0.9247600000000007,6,77,26,28,0,25
39,93.09054565429688,0.4567901234567901,20,21.35,0.9227800000000007,8,81,23,29,0,29
40,78.40678405761719,-0.42528735632183906,22,38.51,0.9208000000000007,11,87,28,35,0,29
41,83.70347595214844,0.27049180327868855,20,30.87,0.9188200000000007,6,122,45,39,0,41
42,76.06771087646484,-0.5,20,31.15,0.9168400000000008,8,72,33,20,0,22
43,94.19882202148438,0.2153846153846154,20,25.01,0.9148600000000008,8,65,23,18,0,24
44,95.15658569335938,0.32098765432098764,20,24.61,0.9128800000000008,7,81,31,29,0,29
45,81.5160903930664,0.7903225806451613,20,25.08,0.9109000000000008,6,62,14,27,0,21
46,53.703731536865234,1.4545454545454546,21,30.49,0.9089200000000008,2,110,39,37,0,37
47,72.48390197753906,0.3924050632911392,21,24.63,0.9069400000000009,7,79,20,26,0,33
48,65.08868408203125,0.6612903225806451,20,28.26,0.9049600000000009,6,62,17,20,0,27
49,67.78981018066406,-0.45454545454545453,20,25.85,0.9029800000000009,10,110,35,41,0,40
50,118.29264831542969,0.4818181818181818,20,26.94,0.9010000000000009,5,110,46,25,0,40
51,75.81163787841797,0.16842105263157894,20,27.88,0.8990200000000009,8,95,30,24,0,41
52,126.1884765625,1.2272727272727273,21,27.84,0.897040000000001,4,88,35,29,0,36
53,94.08901977539062,1.146341463414634,20,29.18,0.895060000000001,4,82,37,29,0,18
54,86.91290283203125,-0.6470588235294118,21,29.17,0.893080000000001,10,68,20,26,0,27
55,95.29135131835938,0.5052631578947369,20,25.77,0.891100000000001,6,95,30,35,0,35
56,65.66072845458984,0.6666666666666666,20,22.42,0.889120000000001,6,66,24,26,0,18
57,81.81039428710938,1.7195121951219512,21,29.81,0.887140000000001,4,82,29,26,0,33
58,105.13268280029297,0.956989247311828,20,25.96,0.8851600000000011,4,93,33,25,0,35
59,73.6265640258789,1.978021978021978,20,25.63,0.8831800000000011,1,91,32,33,0,32
60,82.26289367675781,0.6,21,34.15,0.8812000000000011,6,65,25,23,0,19
61,95.08377075195312,2.232876712328767,20,29.58,0.8792200000000011,2,73,28,27,0,22
62,75.80876159667969,0.43548387096774194,21,23.6,0.8772400000000011,8,62,19,16,0,27
63,64.9580307006836,-0.5892857142857143,20,34.45,0.8752600000000011,10,112,42,25,0,55
64,62.102020263671875,1.5862068965517242,21,37.6,0.8732800000000012,4,58,18,18,0,22
65,84.3317642211914,1.2394366197183098,21,26.25,0.8713000000000012,6,71,24,24,0,28
66,71.06497955322266,-0.9404761904761905,21,28.26,0.8693200000000012,12,84,34,25,0,29
67,105.55305480957031,1.2589928057553956,20,41.62,0.8673400000000012,0,139,48,39,0,58
68,75.50761413574219,1.2,20,25.35,0.8653600000000012,4,80,28,28,0,27
69,78.21978759765625,0.30275229357798167,23,25.49,0.8633800000000013,8,109,32,40,0,46
70,92.99668884277344,2.1818181818181817,21,30.23,0.8614000000000013,4,55,16,18,0,25
71,71.00718688964844,0.22826086956521738,20,24.71,0.8594200000000013,8,92,36,21,0,38
72,80.17024230957031,1.1551724137931034,21,26.29,0.8574400000000013,4,116,42,34,0,43
73,90.29061889648438,-0.1375,20,23.21,0.8554600000000013,8,80,21,29,0,33
74,65.4354248046875,1.0229885057471264,20,34.82,0.8534800000000013,4,87,31,28,0,33
75,90.6944580078125,0.816,20,31.3,0.8515000000000014,4,125,38,44,0,45
76,86.45701599121094,1.6129032258064515,20,32.7,0.8495200000000014,4,62,21,18,0,23
77,79.80196380615234,1.1,20,34.68,0.8475400000000014,6,70,29,16,0,29
78,69.13862609863281,0.34444444444444444,20,22.62,0.8455600000000014,8,90,36,30,0,27
79,77.08182525634766,0.8529411764705882,21,37.59,0.8435800000000014,6,68,23,23,0,24
80,87.82357025146484,0.4594594594594595,20,32.56,0.8416000000000015,6,111,47,32,0,42
81,75.05022430419922,0.4782608695652174,20,30.64,0.8396200000000015,8,69,21,25,0,25
82,95.01254272460938,0.18333333333333332,20,32.49,0.8376400000000015,6,120,43,39,0,45
83,83.2012939453125,0.4339622641509434,20,27.04,0.8356600000000015,6,106,37,25,0,46
84,75.23961639404297,1.4722222222222223,20,25.86,0.8336800000000015,6,36,9,16,0,11
85,89.19569396972656,0.6666666666666666,21,23.4,0.8317000000000015,6,99,31,30,0,43
86,56.503761291503906,0.7528089887640449,20,27.76,0.8297200000000016,6,89,22,31,0,38
87,87.61212921142578,0.9354838709677419,21,29.43,0.8277400000000016,6,62,22,24,0,18
88,80.350830078125,-0.941747572815534,20,25.64,0.8257600000000016,12,103,37,28,0,43
89,87.09651184082031,0.38235294117647056,20,23.82,0.8237800000000016,7,68,26,30,0,16
90,46.66982650756836,0.5,20,25.14,0.8218000000000016,6,86,27,29,0,35
91,67.89051055908203,1.375,21,24.95,0.8198200000000017,4,96,36,35,0,29
92,99.28742218017578,-0.6774193548387096,20,25.69,0.8178400000000017,10,62,25,20,0,19
93,71.58193969726562,1.5106382978723405,20,28.96,0.8158600000000017,2,94,30,40,0,26
94,77.86698913574219,1.5478260869565217,20,30.28,0.8138800000000017,0,115,37,43,0,38
95,78.10372924804688,0.8135593220338984,20,39.33,0.8119000000000017,6,59,20,24,0,17
96,56.22352981567383,-0.28205128205128205,20,34.58,0.8099200000000017,8,78,25,25,0,30
97,56.84342575073242,-0.021052631578947368,20,26.35,0.8079400000000018,8,95,41,29,0,29
98,61.019920349121094,0.31645569620253167,21,27.95,0.8059600000000018,8,79,31,21,0,32
99,68.55189514160156,-1.5316455696202531,21,28.6,0.8039800000000018,12,79,28,18,0,37
100,73.78327941894531,0.36470588235294116,20,39.21,0.8020000000000018,6,85,26,31,0,33
101,53.36487579345703,1.1333333333333333,20,26.61,0.8000200000000018,6,75,25,27,0,28
102,109.70763397216797,-0.12987012987012986,20,26.43,0.7980400000000019,9,77,31,25,0,25
103,49.00550079345703,0.4489795918367347,20,32.02,0.7960600000000019,6,98,21,41,0,40
104,71.90447235107422,0.3515625,21,33.46,0.7940800000000019,8,128,34,42,0,56
105,71.67266082763672,1.0357142857142858,21,24.36,0.7921000000000019,6,84,26,25,0,36
106,65.7352523803711,0.9523809523809523,20,32.09,0.7901200000000019,6,63,15,19,0,29
107,52.654754638671875,1.9058823529411764,20,32.38,0.788140000000002,2,85,31,26,0,30
108,60.99109649658203,0.45588235294117646,20,23.83,0.786160000000002,6,68,24,25,0,19
109,61.176055908203125,1.0338983050847457,20,36.7,0.784180000000002,6,59,24,18,0,19
110,73.48047637939453,1.3846153846153846,20,29.73,0.782200000000002,2,117,38,35,0,48
111,74.88710021972656,-0.5517241379310345,21,29.32,0.780220000000002,10,116,43,31,0,42
112,81.74151611328125,0.1,20,25.58,0.778240000000002,8,90,32,23,0,41
113,44.16339874267578,0.9473684210526315,21,38.01,0.7762600000000021,4,133,45,41,0,55
114,69.00328063964844,1.828125,20,31.65,0.7742800000000021,4,64,26,17,0,21
115,91.86576843261719,0.40816326530612246,20,26.4,0.7723000000000021,6,98,32,36,0,36
116,69.90243530273438,-1.2790697674418605,21,27.72,0.7703200000000021,12,86,41,33,0,17
117,79.47742462158203,-0.045454545454545456,20,30.86,0.7683400000000021,8,110,54,32,0,31
118,64.71786499023438,0.8503937007874016,20,26.19,0.7663600000000022,4,127,56,36,0,41
119,81.09974670410156,0.4025974025974026,21,29.41,0.7643800000000022,6,77,36,25,0,19
120,51.470252990722656,1.3571428571428572,20,30.16,0.7624000000000022,2,98,38,34,0,31
121,68.46575164794922,0.5428571428571428,20,28.94,0.7604200000000022,6,70,25,25,0,28
122,49.32159423828125,0.6698113207547169,21,27.65,0.7584400000000022,5,106,37,38,0,34
123,74.72279357910156,-0.09375,21,33.4,0.7564600000000022,8,96,29,37,0,32
124,88.81707763671875,-0.5042735042735043,20,30.14,0.7544800000000023,9,117,36,42,0,47
125,91.11668395996094,0.0875,21,35.59,0.7525000000000023,8,80,21,29,0,32
126,55.381935119628906,0.5057471264367817,20,28.72,0.7505200000000023,6,87,31,35,0,25
127,72.90708923339844,0.3,20,26.62,0.7485400000000023,6,120,34,46,0,50
128,59.478851318359375,-0.4636363636363636,21,33.32,0.7465600000000023,10,110,38,34,0,42
129,95.93678283691406,0.5151515151515151,20,31.84,0.7445800000000024,4,99,32,41,0,31
130,62.45627212524414,-0.7602739726027398,21,32.0,0.7426000000000024,12,146,52,38,0,64
131,64.97261047363281,0.18633540372670807,20,30.08,0.7406200000000024,4,161,51,47,0,71
132,84.16075134277344,-0.2916666666666667,20,36.32,0.7386400000000024,8,96,42,28,0,36
133,72.44447326660156,0.3983739837398374,21,34.87,0.7366600000000024,6,123,45,37,0,52
134,57.64584732055664,0.0,21,28.04,0.7346800000000024,8,125,54,38,0,40
135,64.53004455566406,0.9764705882352941,20,33.48,0.7327000000000025,6,85,28,28,0,31
136,45.69287872314453,-1.569767441860465,23,21.03,0.7307200000000025,15,86,36,24,0,30
137,45.819671630859375,-0.054945054945054944,20,35.46,0.7287400000000025,8,91,28,32,0,35
138,58.744407653808594,0.1791044776119403,20,26.44,0.7267600000000025,6,67,24,18,0,27
139,54.37960433959961,0.421875,22,30.16,0.7247800000000025,8,128,52,39,0,39
140,64.49635314941406,-0.32456140350877194,20,28.12,0.7228000000000026,8,114,44,33,0,41
141,45.397491455078125,1.1785714285714286,20,30.77,0.7208200000000026,2,112,44,34,0,41
142,52.07994842529297,0.3838383838383838,20,33.67,0.7188400000000026,6,99,34,35,0,37
143,63.03335952758789,0.04878048780487805,21,39.94,0.7168600000000026,8,82,29,31,0,31
144,79.64462280273438,0.1016949152542373,20,32.37,0.7148800000000026,8,118,48,34,0,39
145,69.28455352783203,0.07936507936507936,21,30.16,0.7129000000000026,8,63,22,21,0,23
146,53.111141204833984,-0.8235294117647058,20,28.66,0.7109200000000027,10,85,33,27,0,25
147,57.46617126464844,-0.3804347826086957,21,33.08,0.7089400000000027,10,92,29,31,0,34
148,63.138526916503906,1.4025974025974026,20,27.55,0.7069600000000027,4,77,23,39,0,19
149,67.8160629272461,0.35911602209944754,20,32.39,0.7049800000000027,6,181,53,65,0,73
150,50.031715393066406,0.5538461538461539,20,32.12,0.7030000000000027,6,65,23,20,0,24
151,64.91446685791016,0.29850746268656714,20,21.56,0.7010200000000028,8,67,21,23,0,29
152,51.33085250854492,-1.7804878048780488,21,31.3,0.6990400000000028,12,82,34,22,0,28
153,43.98065948486328,1.1272727272727272,20,33.45,0.6970600000000028,6,55,16,13,0,27
154,61.571380615234375,1.524390243902439,20,24.7,0.6950800000000028,2,82,35,22,0,27
155,67.59231567382812,1.0675675675675675,20,26.18,0.6931000000000028,4,74,27,20,0,31
156,45.86427307128906,1.3243243243243243,22,30.34,0.6911200000000028,4,111,44,28,0,42
157,33.90255355834961,0.3888888888888889,20,25.12,0.6891400000000029,6,108,44,35,0,36
158,52.79072189331055,-0.2857142857142857,20,29.31,0.6871600000000029,8,98,34,30,0,41
159,54.317176818847656,1.2682926829268293,21,26.5,0.6851800000000029,4,82,31,28,0,23
160,63.526031494140625,-1.1868131868131868,20,33.08,0.6832000000000029,10,91,35,38,0,21
161,66.61910247802734,1.635135135135135,20,25.9,0.6812200000000029,4,74,31,31,0,12
162,70.48513793945312,0.9861111111111112,20,26.3,0.679240000000003,4,72,22,32,0,18
163,64.2444076538086,2.3333333333333335,20,25.84,0.677260000000003,2,66,21,24,0,23
164,61.85742950439453,0.7727272727272727,20,31.48,0.675280000000003,2,132,55,56,0,29
165,52.833839416503906,0.8765432098765432,21,33.1,0.673300000000003,6,81,28,35,0,18
166,58.77325439453125,1.3636363636363635,21,26.49,0.671320000000003,4,66,30,23,0,15
167,41.8752326965332,1.2580645161290323,21,34.61,0.669340000000003,6,62,22,28,0,14
168,55.83320999145508,0.6235294117647059,20,25.66,0.6673600000000031,4,85,31,32,0,24
169,54.20142364501953,-0.17391304347826086,21,33.23,0.6653800000000031,8,92,32,38,0,26
170,52.91783142089844,0.3333333333333333,20,29.93,0.6634000000000031,6,105,49,33,0,27
171,45.85123062133789,-0.20279720279720279,21,28.24,0.6614200000000031,8,143,55,55,0,41
172,56.36410903930664,0.7682926829268293,21,29.15,0.6594400000000031,6,82,33,28,0,24
173,53.50049591064453,-0.7078651685393258,20,22.38,0.6574600000000032,10,89,32,37,0,22
174,69.41886138916016,-0.09615384615384616,20,26.76,0.6554800000000032,8,104,42,29,0,38
175,52.92705154418945,-1.0317460317460319,21,30.83,0.6535000000000032,12,63,16,24,0,29
176,75.14678955078125,0.9436619718309859,21,36.32,0.6515200000000032,6,71,25,25,0,27
