episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,938.9584350585938,0.45454545454545453,20,31.82,0.99802,8,88,29,33,0,31
2,935.4412231445312,2.1052631578947367,20,30.22,0.99604,6,38,8,20,0,10
3,857.1978759765625,0.5154639175257731,21,26.9,0.99406,8,97,37,31,0,34
4,777.4835205078125,0.8421052631578947,20,31.18,0.9920800000000001,6,95,43,31,0,26
5,785.9410400390625,0.5194805194805194,20,25.52,0.9901000000000001,8,77,31,29,0,21
6,743.6199951171875,1.3953488372093024,20,32.61,0.9881200000000001,4,86,30,33,0,28
7,717.4866943359375,1.263157894736842,20,28.62,0.9861400000000001,4,95,44,25,0,31
8,698.76318359375,1.1267605633802817,20,35.01,0.9841600000000001,6,71,23,26,0,24
9,612.915771484375,1.2037037037037037,21,31.45,0.9821800000000002,4,108,45,45,0,21
10,568.1869506835938,2.051282051282051,20,26.89,0.9802000000000002,6,39,16,9,0,16
11,636.7491455078125,0.5194805194805194,20,36.78,0.9782200000000002,8,77,19,31,0,27
12,662.0042724609375,2.0,20,30.57,0.9762400000000002,4,60,22,18,0,25
13,539.5518798828125,0.6410256410256411,21,28.12,0.9742600000000002,8,78,21,27,0,32
14,575.4595336914062,1.0714285714285714,21,31.93,0.9722800000000003,6,84,26,32,0,29
15,582.1329345703125,0.5494505494505495,21,39.52,0.9703000000000003,8,91,29,38,0,29
16,537.018310546875,1.4678899082568808,20,25.25,0.9683200000000003,2,109,52,29,0,36
17,489.3033447265625,0.7207207207207207,20,38.1,0.9663400000000003,6,111,36,38,0,44
18,468.00787353515625,0.6666666666666666,20,29.62,0.9643600000000003,6,120,49,27,0,47
19,540.80517578125,-0.5691056910569106,21,30.98,0.9623800000000003,14,123,48,37,0,42
20,501.2613525390625,0.9523809523809523,20,31.51,0.9604000000000004,6,84,28,36,0,27
21,511.72662353515625,0.8411214953271028,21,35.08,0.9584200000000004,6,107,42,34,0,38
22,449.6629638671875,0.12987012987012986,21,33.6,0.9564400000000004,10,77,33,19,0,29
23,421.16168212890625,1.0810810810810811,20,37.42,0.9544600000000004,6,74,18,31,0,28
24,427.29742431640625,-0.32786885245901637,20,31.14,0.9524800000000004,11,61,16,20,0,27
25,524.4547119140625,1.0126582278481013,20,30.19,0.9505000000000005,6,79,32,27,0,24
26,416.11651611328125,1.2658227848101267,20,29.44,0.9485200000000005,5,79,29,23,0,31
27,417.9193115234375,0.5,20,41.64,0.9465400000000005,8,80,29,20,0,31
28,408.46746826171875,1.411764705882353,20,31.7,0.9445600000000005,4,85,39,21,0,28
29,394.7431335449219,0.7692307692307693,21,24.38,0.9425800000000005,8,65,19,24,0,24
30,338.40350341796875,1.1428571428571428,20,29.69,0.9406000000000005,4,105,40,37,0,34
31,349.9998779296875,0.0,20,27.38,0.9386200000000006,10,82,32,30,0,22
32,414.92315673828125,1.5,20,32.7,0.9366400000000006,4,80,32,26,0,28
33,367.9625244140625,1.2328767123287672,21,25.79,0.9346600000000006,6,73,26,24,0,25
34,385.01739501953125,1.2264150943396226,21,33.73,0.9326800000000006,4,106,38,40,0,35
