episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,499.7354431152344,4.666666666666667,2,65.13,0.99802,0,6,1,4,0,1
2,454.26702880859375,-0.5,12,65.39,0.99604,6,36,12,14,0,10
3,443.435302734375,2.6666666666666665,2,67.15,0.99406,0,12,2,5,0,5
4,447.312255859375,-0.16666666666666666,10,66.53,0.9920800000000001,4,24,8,6,0,12
5,451.4364318847656,1.8620689655172413,10,66.26,0.9901000000000001,2,58,20,20,0,18
6,407.9056091308594,1.2105263157894737,10,67.27,0.9881200000000001,2,38,18,7,0,15
7,400.567138671875,2.090909090909091,8,66.11,0.9861400000000001,2,22,8,9,0,5
8,391.3527526855469,3.3,6,66.69,0.9841600000000001,0,20,5,3,0,12
9,394.5521545410156,1.32,14,66.49,0.9821800000000002,4,50,25,8,0,17
10,416.443359375,0.8,13,66.69,0.9802000000000002,4,95,32,28,0,35
11,330.84808349609375,0.16666666666666666,4,66.49,0.9782200000000002,2,12,5,4,0,3
12,360.3919677734375,-6.8,10,66.94,0.9762400000000002,10,20,10,4,0,6
13,304.68450927734375,1.1111111111111112,16,65.9,0.9742600000000002,4,72,28,17,0,29
14,388.5150451660156,-0.75,6,66.58,0.9722800000000003,2,16,5,8,0,5
15,343.4930419921875,-7.5,4,66.6,0.9703000000000003,4,8,2,3,0,3
16,310.08612060546875,-0.15384615384615385,12,66.07,0.9683200000000003,6,52,21,18,0,13
17,354.23406982421875,-7.5,4,67.16,0.9663400000000003,4,8,3,2,0,3
18,372.1131896972656,1.1754385964912282,16,66.88,0.9643600000000003,4,57,23,24,0,12
19,294.09326171875,0.3,10,66.79,0.9623800000000003,4,40,14,9,0,17
20,363.21331787109375,1.4166666666666667,6,66.58,0.9604000000000004,2,24,7,8,0,9
21,318.4423828125,-7.5,4,67.13,0.9584200000000004,4,8,4,3,0,1
22,313.1265563964844,0.59375,20,52.92,0.9564400000000004,6,96,41,32,0,27
23,352.44622802734375,-1.1724137931034482,18,63.64,0.9544600000000004,10,58,20,19,0,19
24,362.2591857910156,0.0967741935483871,10,67.23,0.9524800000000004,4,62,31,16,0,15
25,303.1039123535156,0.047619047619047616,12,67.55,0.9505000000000005,6,42,14,15,0,13
26,318.300537109375,-0.875,6,66.87,0.9485200000000005,4,16,5,7,0,4
27,301.4713134765625,3.176470588235294,8,66.75,0.9465400000000005,0,34,13,10,0,11
28,324.2708740234375,2.076923076923077,8,65.95,0.9445600000000005,2,26,7,10,0,9
29,304.0782165527344,-1.2173913043478262,10,65.83,0.9425800000000005,6,46,16,14,0,16
