episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,167.59970092773438,-0.6304347826086957,12,68.58,0.99802,6,46,16,9,0,21
2,167.69044494628906,3.5,8,70.36,0.99604,0,24,5,15,0,4
3,148.3580780029297,2.142857142857143,8,71.6,0.99406,0,28,8,8,0,12
4,138.55941772460938,-0.15384615384615385,4,70.7,0.9920800000000001,2,26,7,9,0,10
5,121.84591674804688,3.35,6,71.4,0.9901000000000001,0,20,2,9,0,9
6,126.24044799804688,2.625,4,71.49,0.9881200000000001,0,16,5,8,0,3
8,66.59071350097656,0.43,20,4792.28,0.9841600000000001,6,100,40,23,0,41
9,79.31523895263672,-5.0,2,66.86,0.9821800000000002,2,6,2,2,0,2
10,67.38095092773438,-5.0,2,70.47,0.9802000000000002,2,6,4,1,0,1
11,89.8320541381836,2.4,2,69.91,0.9782200000000002,0,10,3,3,0,4
12,91.08941650390625,0.8125,10,70.64,0.9762400000000002,2,48,19,15,0,14
13,66.78715515136719,-0.5384615384615384,18,69.96,0.9742600000000002,6,52,22,16,0,20
14,48.81549072265625,2.625,2,70.15,0.9722800000000003,0,8,1,5,0,2
15,36.684226989746094,-0.5833333333333334,4,69.63,0.9703000000000003,2,12,3,3,0,6
16,32.249786376953125,2.625,2,69.55,0.9683200000000003,0,8,3,4,0,1
17,28.85848045349121,3.0714285714285716,4,70.26,0.9663400000000003,0,14,1,9,0,4
18,30.86758041381836,1.0,10,69.75,0.9643600000000003,2,42,16,12,0,16
19,23.047527313232422,2.025,12,68.99,0.9623800000000003,2,40,14,8,0,18
20,18.60127067565918,1.8636363636363635,12,69.94,0.9604000000000004,2,44,15,13,0,16
21,22.308326721191406,0.2647058823529412,18,69.32,0.9584200000000004,6,68,21,26,0,23
22,28.69353675842285,0.9310344827586207,12,69.51,0.9564400000000004,0,58,19,20,0,21
23,33.03318786621094,2.8636363636363638,6,69.09,0.9544600000000004,0,22,5,14,0,3
25,34.56278991699219,-1.625,20,66120.86,0.9505000000000005,10,48,15,21,0,14
26,35.3261604309082,1.75,12,63.57,0.9485200000000005,2,40,13,13,0,14
27,20.631994247436523,0.52,12,66.59,0.9465400000000005,4,50,14,15,0,21
28,25.497783660888672,-1.3461538461538463,10,68.52,0.9445600000000005,4,26,10,9,0,9
29,28.19042205810547,-5.8,4,72.9,0.9425800000000005,4,10,5,1,0,4
30,23.557384490966797,2.625,4,72.73,0.9406000000000005,0,16,2,9,0,5
31,27.206701278686523,2.2,2,74.01,0.9386200000000006,0,10,3,4,0,3
32,23.1580867767334,0.23076923076923078,4,72.92,0.9366400000000006,2,26,9,9,0,8
33,23.07076072692871,0.5263157894736842,6,73.04,0.9346600000000006,0,38,16,9,0,15
34,21.78672218322754,-0.5714285714285714,8,73.21,0.9326800000000006,4,28,12,9,0,7
35,21.801969528198242,-0.7,4,73.36,0.9307000000000006,2,10,2,2,0,6
36,29.280925750732422,-0.5,6,72.98,0.9287200000000007,2,12,6,3,0,5
