episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,386.8277587890625,1.1111111111111112,6,63.71,0.99802,2,18,6,3,0,9
2,365.2695007324219,0.7142857142857143,6,66.82,0.99604,2,28,10,4,0,14
3,315.74658203125,-2.5,8,66.98,0.99406,6,24,9,10,0,7
4,325.0984802246094,-1.1111111111111112,6,65.96,0.9920800000000001,4,18,4,6,0,8
5,263.046630859375,1.4516129032258065,14,66.13,0.9901000000000001,2,62,21,19,0,22
6,275.4495849609375,1.5,12,65.78,0.9881200000000001,2,40,11,15,0,16
7,256.8275146484375,-1.6666666666666667,10,66.98,0.9861400000000001,6,24,12,8,0,6
8,208.68551635742188,0.0,8,66.95,0.9841600000000001,4,30,11,6,0,13
9,263.7223205566406,0.0,8,66.26,0.9821800000000002,4,28,6,13,0,9
10,242.69140625,2.857142857142857,4,67.1,0.9802000000000002,0,14,4,4,0,6
11,227.05686950683594,3.3333333333333335,2,66.98,0.9782200000000002,0,6,1,4,0,1
12,238.0163116455078,0.0,4,66.84,0.9762400000000002,2,8,1,3,0,4
13,191.896728515625,0.9090909090909091,6,67.56,0.9742600000000002,2,22,8,8,0,6
14,186.0558624267578,0.7692307692307693,6,67.26,0.9722800000000003,2,26,10,8,0,8
15,198.5306396484375,2.857142857142857,12,65.79,0.9703000000000003,0,42,10,11,0,21
16,215.53485107421875,0.0,4,66.34,0.9683200000000003,2,10,3,3,0,4
17,227.96786499023438,1.0,6,67.9,0.9663400000000003,2,20,5,6,0,9
18,172.8317108154297,0.0,8,66.93,0.9643600000000003,4,50,17,18,0,15
19,163.14476013183594,0.0,6,67.01,0.9623800000000003,2,24,8,7,0,11
20,204.24346923828125,-5.0,2,66.52,0.9604000000000004,2,4,2,1,0,1
21,157.87864685058594,2.9411764705882355,10,66.75,0.9584200000000004,0,34,9,19,0,6
22,192.16552734375,0.0,4,66.28,0.9564400000000004,2,14,5,6,0,3
23,191.08731079101562,-3.3333333333333335,2,66.48,0.9544600000000004,2,6,2,2,0,2
24,199.8743133544922,0.5555555555555556,10,67.03,0.9524800000000004,4,36,13,11,0,12
25,138.93411254882812,0.0,4,66.79,0.9505000000000005,2,12,3,3,0,6
26,172.5465087890625,0.0,4,66.53,0.9485200000000005,2,12,6,3,0,3
27,172.306884765625,0.625,4,66.74,0.9465400000000005,0,32,12,8,0,14
28,184.12518310546875,1.8181818181818181,10,66.58,0.9445600000000005,2,22,9,10,0,5
29,149.6954345703125,2.142857142857143,6,66.25,0.9425800000000005,0,28,10,5,0,13
30,149.09051513671875,0.0,4,66.94,0.9406000000000005,2,10,3,2,0,5
31,183.59910583496094,0.0,6,67.42,0.9386200000000006,2,32,9,11,0,14
32,207.1473846435547,3.3333333333333335,2,67.62,0.9366400000000006,0,6,1,3,0,2
33,178.76034545898438,-4.0,4,67.07,0.9346600000000006,4,10,6,2,0,2
34,180.1793975830078,0.7692307692307693,6,66.89,0.9326800000000006,2,26,6,5,0,15
35,124.3189468383789,2.0689655172413794,20,65.44,0.9307000000000006,2,58,18,18,0,26
36,156.4677276611328,2.0,4,63.7,0.9287200000000007,0,20,5,4,0,11
37,155.87208557128906,0.0,4,67.28,0.9267400000000007,2,26,8,10,0,8
38,143.208251953125,1.4285714285714286,4,67.19,0.9247600000000007,0,14,2,5,0,9
39,129.841552734375,-0.5263157894736842,10,66.59,0.9227800000000007,4,38,17,8,0,15
40,166.82693481445312,-1.25,8,66.93,0.9208000000000007,6,32,10,11,0,11
41,150.72213745117188,-5.0,8,66.46,0.9188200000000007,6,12,7,3,0,4
42,169.33135986328125,1.4285714285714286,12,67.13,0.9168400000000008,0,56,20,12,0,28
43,127.76798248291016,2.6315789473684212,10,65.95,0.9148600000000008,0,38,11,11,0,16
44,159.9275665283203,0.8333333333333334,6,67.05,0.9128800000000008,2,24,11,2,0,11
45,145.84429931640625,-4.285714285714286,6,66.95,0.9109000000000008,6,14,8,3,0,3
46,130.41207885742188,0.0,4,66.38,0.9089200000000008,2,16,5,3,0,8
47,167.3852996826172,1.4285714285714286,8,66.73,0.9069400000000009,2,28,10,8,0,10
48,173.90122985839844,-3.3333333333333335,2,66.92,0.9049600000000009,2,6,2,2,0,2
49,132.535888671875,0.0,8,66.31,0.9029800000000009,4,24,6,7,0,11
50,137.1595001220703,1.1764705882352942,10,66.67,0.9010000000000009,2,34,12,6,0,18
51,147.86842346191406,-1.0,8,67.08,0.8990200000000009,6,40,17,8,0,15
52,148.57919311523438,1.1111111111111112,6,66.17,0.897040000000001,2,18,5,6,0,7
53,167.1197967529297,4.0,4,66.14,0.895060000000001,0,10,3,4,0,3
54,128.93673706054688,2.5,2,66.78,0.893080000000001,0,8,0,3,0,5
55,163.75845336914062,2.857142857142857,12,66.88,0.891100000000001,0,42,14,13,0,15
56,150.17153930664062,-2.142857142857143,10,66.37,0.889120000000001,8,28,8,8,0,12
57,155.06886291503906,1.6666666666666667,8,66.78,0.887140000000001,0,36,8,15,0,15
58,140.77923583984375,0.9615384615384616,16,66.09,0.8851600000000011,4,52,14,16,0,24
59,149.00436401367188,0.0,8,66.99,0.8831800000000011,4,28,12,6,0,10
60,141.41043090820312,-0.9090909090909091,6,67.22,0.8812000000000011,4,22,5,8,0,9
61,146.392578125,0.7142857142857143,6,66.54,0.8792200000000011,0,28,5,6,0,21
62,116.85832214355469,0.0,6,66.83,0.8772400000000011,2,18,4,7,0,9
63,159.855712890625,0.5,10,67.09,0.8752600000000011,4,40,17,8,0,15
64,159.09774780273438,0.8,14,65.79,0.8732800000000012,4,50,17,16,0,17
65,111.55925750732422,-5.0,4,67.3,0.8713000000000012,2,4,3,0,0,3
66,156.02740478515625,-1.4285714285714286,8,67.73,0.8693200000000012,4,14,8,3,0,5
67,117.03634643554688,0.0,12,66.83,0.8673400000000012,2,44,13,15,0,20
68,133.82809448242188,2.1052631578947367,8,66.22,0.8653600000000012,0,38,12,8,0,18
69,137.96206665039062,1.25,10,66.13,0.8633800000000013,2,48,14,14,0,20
70,115.28054809570312,1.0344827586206897,18,66.0,0.8614000000000013,6,58,21,20,0,17
71,138.95240783691406,0.625,10,66.4,0.8594200000000013,4,32,10,7,0,15
72,139.33493041992188,0.5882352941176471,10,66.32,0.8574400000000013,4,34,7,8,0,19
73,135.75929260253906,1.5384615384615385,8,66.2,0.8554600000000013,2,26,8,13,0,5
74,99.92753601074219,2.2222222222222223,4,67.47,0.8534800000000013,0,18,5,6,0,7
75,136.65438842773438,2.2222222222222223,8,66.38,0.8515000000000014,0,36,8,12,0,16
76,115.14671325683594,1.1111111111111112,6,66.18,0.8495200000000014,2,18,2,10,0,6
77,135.1985321044922,2.857142857142857,4,66.44,0.8475400000000014,0,14,3,5,0,6
78,102.21311950683594,1.3333333333333333,10,67.09,0.8455600000000014,2,30,10,11,0,9
79,131.5848846435547,0.9090909090909091,6,66.7,0.8435800000000014,2,22,3,5,0,14
80,131.20826721191406,2.0,2,66.7,0.8416000000000015,0,10,2,4,0,4
81,110.31553649902344,2.5,8,66.02,0.8396200000000015,0,32,5,9,0,18
82,143.7835235595703,-5.0,2,67.31,0.8376400000000015,2,4,2,0,0,2
83,119.7963638305664,0.7692307692307693,8,67.16,0.8356600000000015,2,26,8,5,0,15
84,128.39654541015625,1.1111111111111112,4,67.49,0.8336800000000015,0,18,4,3,0,13
86,114.72218322753906,1.3333333333333333,20,4041.54,0.8297200000000016,4,60,22,15,0,27
87,133.6444549560547,0.0,6,62.98,0.8277400000000016,2,22,5,7,0,12
88,133.8072052001953,1.4285714285714286,8,66.21,0.8257600000000016,2,28,7,8,0,13
89,100.40550994873047,-5.0,6,66.55,0.8237800000000016,6,12,5,2,0,5
90,117.70690155029297,0.0,12,66.73,0.8218000000000016,6,40,10,10,0,20
91,147.71865844726562,1.6,14,66.37,0.8198200000000017,2,50,15,16,0,21
92,133.16146850585938,1.6666666666666667,8,66.11,0.8178400000000017,2,24,5,10,0,9
93,111.1676254272461,3.3333333333333335,2,67.12,0.8158600000000017,0,6,2,2,0,2
94,121.18972778320312,1.6666666666666667,2,67.37,0.8138800000000017,0,12,0,6,0,6
95,135.22242736816406,-2.5,10,66.46,0.8119000000000017,8,24,7,6,0,11
96,121.79930877685547,0.0,4,65.76,0.8099200000000017,2,14,5,2,0,7
97,117.4674301147461,0.5882352941176471,10,65.73,0.8079400000000018,4,34,8,10,0,16
98,118.7685546875,-5.0,4,66.15,0.8059600000000018,4,8,4,2,0,2
99,121.39081573486328,0.9523809523809523,6,66.68,0.8039800000000018,0,42,14,10,0,20
101,131.5081787109375,0.5714285714285714,20,65993.16,0.8000200000000018,6,70,20,24,0,30
102,122.58021545410156,0.0,12,63.06,0.7980400000000019,6,38,9,12,0,17
103,125.58718872070312,0.45454545454545453,8,65.68,0.7960600000000019,2,44,9,12,0,25
104,95.18765258789062,2.5,2,66.64,0.7940800000000019,0,8,1,1,0,6
105,112.970458984375,0.0,4,66.95,0.7921000000000019,2,10,2,4,0,4
106,114.69805908203125,0.3076923076923077,9,67.12,0.7901200000000019,2,65,18,21,0,29
107,127.34523010253906,2.727272727272727,6,66.87,0.788140000000002,0,22,4,12,0,6
108,112.23542022705078,1.0,12,66.27,0.786160000000002,4,40,10,11,0,19
109,102.29442596435547,0.7407407407407407,12,66.29,0.784180000000002,4,54,10,18,0,26
110,137.425048828125,3.3333333333333335,2,66.34,0.782200000000002,0,6,1,2,0,3
111,100.37153625488281,1.25,8,66.46,0.780220000000002,0,48,13,10,0,27
112,91.75714111328125,0.7692307692307693,12,66.07,0.778240000000002,4,26,7,10,0,11
113,98.54629516601562,-1.4285714285714286,8,67.14,0.7762600000000021,6,28,10,7,0,11
114,108.55691528320312,-0.9090909090909091,8,66.71,0.7742800000000021,4,22,10,2,0,12
115,104.41691589355469,5.0,2,66.22,0.7723000000000021,0,4,0,2,0,2
116,99.93533325195312,1.1627906976744187,8,66.52,0.7703200000000021,0,43,14,9,0,22
117,122.13742065429688,1.4285714285714286,10,66.83,0.7683400000000021,2,42,11,11,0,20
118,94.46317291259766,0.625,6,66.43,0.7663600000000022,2,32,8,8,0,16
119,107.89997863769531,5.0,2,67.73,0.7643800000000022,0,4,0,4,0,0
120,95.67747497558594,0.8,12,66.88,0.7624000000000022,2,50,14,13,0,25
121,88.29856872558594,-3.3333333333333335,4,67.22,0.7604200000000022,4,12,4,3,0,5
122,109.20591735839844,2.5,6,66.15,0.7584400000000022,0,24,5,9,0,10
123,88.1509017944336,2.380952380952381,10,66.06,0.7564600000000022,0,42,13,9,0,20
124,110.00313568115234,1.1764705882352942,16,66.26,0.7544800000000023,2,68,29,11,0,32
125,97.88760375976562,1.9047619047619047,12,66.45,0.7525000000000023,0,42,10,14,0,20
126,83.00654602050781,0.0,10,66.33,0.7505200000000023,4,42,10,16,0,18
127,92.87494659423828,0.0,6,67.59,0.7485400000000023,2,24,9,6,0,11
128,89.11663818359375,-1.1111111111111112,6,66.97,0.7465600000000023,4,18,5,4,0,9
129,77.56748962402344,-1.25,4,66.07,0.7445800000000024,2,16,5,3,0,10
130,73.57227325439453,2.5,4,67.48,0.7426000000000024,0,16,3,6,0,7
131,93.2889404296875,2.857142857142857,4,67.23,0.7406200000000024,0,14,2,4,0,8
132,91.18714904785156,-1.1111111111111112,4,66.97,0.7386400000000024,2,18,6,6,0,8
133,79.55372619628906,0.5555555555555556,6,66.12,0.7366600000000024,2,36,9,12,0,15
134,86.48353576660156,-0.45454545454545453,10,66.3,0.7346800000000024,6,44,12,11,0,21
135,83.72637939453125,0.0,4,66.43,0.7327000000000025,2,10,4,2,0,4
136,68.98948669433594,2.0,4,67.01,0.7307200000000025,0,10,2,0,0,10
137,69.53946685791016,2.2222222222222223,4,67.13,0.7287400000000025,0,18,5,5,0,8
138,71.59471893310547,0.8,12,66.17,0.7267600000000025,4,50,11,15,0,24
139,78.02245330810547,2.962962962962963,8,67.26,0.7247800000000025,0,27,8,7,0,12
140,52.474884033203125,2.857142857142857,4,67.57,0.7228000000000026,0,14,3,4,0,7
141,74.30936431884766,-5.0,2,66.63,0.7208200000000026,2,4,2,0,0,2
142,77.18858337402344,-1.1111111111111112,6,66.03,0.7188400000000026,4,18,5,2,0,11
143,67.51909637451172,2.0,19,66.38,0.7168600000000026,2,75,24,15,0,36
144,68.12265014648438,1.25,4,66.7,0.7148800000000026,0,16,4,0,0,14
145,63.55461883544922,0.6666666666666666,19,66.39,0.7129000000000026,6,60,22,19,0,21
146,54.66859436035156,1.0526315789473684,8,66.5,0.7109200000000027,2,38,13,8,0,17
147,76.4935073852539,2.0,2,66.92,0.7089400000000027,0,10,3,6,0,1
148,58.899925231933594,0.8333333333333334,6,66.56,0.7069600000000027,2,24,7,10,0,7
149,58.929203033447266,1.7391304347826086,12,66.35,0.7049800000000027,0,46,15,11,0,24
150,59.69963836669922,1.25,10,66.53,0.7030000000000027,2,32,12,6,0,16
151,59.79997253417969,1.0526315789473684,8,66.32,0.7010200000000028,2,38,11,10,0,17
152,69.94355773925781,-1.5384615384615385,6,66.93,0.6990400000000028,4,26,9,5,0,14
153,69.29324340820312,1.5625,16,66.56,0.6970600000000028,2,64,23,12,0,31
154,61.61433029174805,-0.4166666666666667,16,66.53,0.6950800000000028,8,48,15,11,0,22
155,69.193603515625,1.25,6,66.9,0.6931000000000028,2,16,4,7,0,5
156,56.02568817138672,0.0,8,66.26,0.6911200000000028,4,30,15,4,0,11
157,64.05638122558594,2.0,4,67.53,0.6891400000000029,0,20,7,7,0,6
158,52.10966110229492,-1.8181818181818181,10,66.0,0.6871600000000029,6,22,12,7,0,5
159,56.81740951538086,-5.0,6,67.88,0.6851800000000029,4,8,5,1,0,4
160,72.70903778076172,2.1052631578947367,8,66.92,0.6832000000000029,0,38,10,11,0,17
161,59.652557373046875,0.0,4,66.26,0.6812200000000029,2,12,3,4,0,5
162,60.82353210449219,3.3333333333333335,2,66.56,0.679240000000003,0,6,0,4,0,2
163,57.180904388427734,2.2222222222222223,10,66.76,0.677260000000003,0,36,12,6,0,18
