episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-0.12090076642201336,50,49,98,96,0,107,48.26,1.0
2,1.721342921257019,-0.9806470419829335,52,48,56,51,0,53,42.9,0.91
3,,-0.3655229484052539,52,42,67,68,0,69,33.45,0.91
4,1.684053659439087,-0.22202548659863552,50,30,66,50,0,56,37.28,0.8200000000000001
5,,0.2550945879863942,50,32,122,74,0,100,39.4,0.8200000000000001
6,1.9098871946334839,0.1891587615964799,51,32,107,82,0,95,36.46,0.7300000000000001
7,,0.0533501469892168,50,35,80,53,0,105,37.71,0.7300000000000001
8,1.7628576755523682,0.30892854555215804,50,32,132,72,0,118,38.82,0.6400000000000001
9,,0.02992748382242686,53,46,130,63,0,125,43.24,0.6400000000000001
10,1.431908369064331,0.5090078714284261,51,25,149,78,0,146,40.02,0.5500000000000002
11,,-0.3953739930031209,51,52,93,48,0,101,35.8,0.5500000000000002
12,1.477522850036621,-0.18714267853723643,51,48,106,58,0,108,38.43,0.46000000000000013
13,,-0.09891614044558099,51,46,124,47,0,133,45.73,0.46000000000000013
14,1.56092369556427,-0.05642251882732224,50,41,112,40,0,106,40.65,0.3700000000000001
15,,0.328516377905106,50,24,115,28,0,115,33.36,0.3700000000000001
16,1.6717673540115356,-0.6453577721365193,51,44,75,16,0,84,35.22,0.2800000000000001
17,,0.2874782993434159,50,33,136,24,0,156,39.52,0.2800000000000001
18,1.731169581413269,-0.6419948345477898,50,43,84,15,0,69,34.04,0.19000000000000006
19,,0.1481301789029857,53,45,171,24,0,159,36.21,0.19000000000000006
20,1.3482539653778076,-0.4209248145086794,50,40,87,9,0,85,35.81,0.10000000000000005
21,,0.041342690832532406,50,35,130,4,0,111,37.49,0.10000000000000005
22,1.3351627588272095,-0.15194202135025103,51,47,113,8,0,146,46.81,0.1
23,,-0.34909653565634724,51,35,81,2,0,90,39.99,0.1
