episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,0.15990237800187998,53,33,87,108,0,81,33.97,1.0
2,1.368094801902771,-0.16565136299939062,51,35,63,64,0,70,40.1,0.91
3,,0.5539520852112967,51,18,91,91,0,102,44.11,0.91
4,1.0284521579742432,0.10593452051677524,50,35,87,85,0,89,35.48,0.8200000000000001
5,,0.28817302348017587,50,32,90,96,0,152,36.27,0.8200000000000001
6,1.220646858215332,0.45766635615811707,50,27,104,125,0,135,34.45,0.7300000000000001
7,,0.20390699072830887,51,32,72,92,0,109,38.44,0.7300000000000001
8,1.561924934387207,0.42341868119411386,50,30,88,125,0,149,39.3,0.6400000000000001
9,,0.42185589523159633,51,22,55,95,0,130,34.97,0.6400000000000001
10,1.358961582183838,0.6197319976364941,50,19,78,112,0,186,36.53,0.5500000000000002
11,,0.37042732392104327,51,22,51,86,0,113,36.44,0.5500000000000002
12,1.2396414279937744,0.5333764561837195,51,18,61,89,0,126,36.43,0.46000000000000013
13,,0.21823701265121082,50,20,31,53,0,99,36.99,0.46000000000000013
14,1.4357777833938599,0.11137864598801277,50,27,37,89,0,87,34.69,0.3700000000000001
15,,0.31998660613826,50,21,22,104,0,90,33.61,0.3700000000000001
16,1.3950239419937134,0.4472479342076134,52,21,38,102,0,122,36.93,0.2800000000000001
17,,0.5337777248719062,50,15,26,81,0,122,37.6,0.2800000000000001
18,1.1428416967391968,0.4393692753144405,51,19,35,62,0,160,35.23,0.19000000000000006
19,,0.38923726211108817,51,18,18,73,0,111,34.23,0.19000000000000006
20,1.8605602979660034,0.19168610478689616,51,24,18,88,0,87,36.15,0.10000000000000005
21,,0.5412419082285057,50,12,16,110,0,106,33.94,0.10000000000000005
22,0.8489319682121277,0.5088287180112642,51,15,20,77,0,133,33.57,0.1
23,,0.4734077933010319,50,14,14,57,0,125,35.36,0.1
24,0.940588116645813,0.2837582682889975,50,19,22,89,0,79,33.45,0.1
25,,0.39935943359547,50,18,24,95,0,104,36.38,0.1
26,0.7342889904975891,0.26983383839895103,50,23,13,119,0,89,37.65,0.1
27,,0.3568900606836716,50,17,16,74,0,92,35.32,0.1
28,0.8906999826431274,0.5653073426197822,50,13,27,101,0,120,33.95,0.1
29,,0.38679735258372994,50,17,16,95,0,93,35.9,0.1
30,1.759682536125183,0.3375037317095023,53,19,20,84,0,97,35.4,0.1
31,,0.2525768378208958,51,23,12,91,0,105,37.31,0.1
32,1.132300853729248,0.0837231144607549,50,27,20,93,0,91,36.52,0.1
33,,0.30854689058477236,50,21,22,82,0,100,37.27,0.1
34,0.8707796335220337,0.47440036991581563,51,13,18,80,0,87,33.5,0.1
35,,0.4632948632579522,53,22,22,91,0,167,35.2,0.1
36,1.3671890497207642,0.2660901874667607,53,25,26,93,0,131,37.22,0.1
37,,0.6232672383284178,50,16,24,113,0,182,38.15,0.1
38,0.7807738184928894,0.4608180336461219,51,16,15,116,0,88,37.13,0.1
39,,0.34038874120259766,53,19,19,83,0,103,34.94,0.1
40,0.9531978368759155,0.46473032850382406,50,21,32,91,0,156,35.13,0.1
41,,0.5320580793670838,51,20,23,110,0,178,36.15,0.1
42,1.0822473764419556,0.25056751207292066,50,18,10,83,0,86,35.82,0.1
43,,0.28599176612896116,50,28,17,111,0,157,38.19,0.1
44,1.0165388584136963,0.26834029206869453,50,20,11,69,0,102,35.66,0.1
45,,0.5985416578379105,50,13,21,81,0,149,36.64,0.1
46,1.3756049871444702,0.2280189106429014,50,20,13,61,0,103,33.59,0.1
47,,0.35528621541875394,51,21,14,105,0,107,35.04,0.1
48,1.2391481399536133,0.5864149304214427,50,10,15,70,0,97,35.43,0.1
49,,0.4992774550408806,51,15,18,107,0,101,34.65,0.1
50,1.1454193592071533,0.20815557497501616,50,25,21,102,0,98,36.8,0.1
51,,0.21410390830413786,51,28,17,101,0,130,36.94,0.1
52,1.2711758613586426,0.19258349515116246,50,28,26,126,0,84,37.03,0.1
53,,0.34991050959969666,50,19,14,84,0,109,36.2,0.1
54,1.1349632740020752,0.42142981791256795,52,17,26,96,0,93,36.98,0.1
55,,0.5465055808141511,51,14,25,74,0,131,35.86,0.1
56,1.019174575805664,0.3155568267275765,50,20,15,84,0,107,39.31,0.1
57,,0.5062529519388077,55,17,23,72,0,155,36.74,0.1
58,1.0417866706848145,0.27735198019595975,50,24,17,110,0,94,35.0,0.1
59,,0.464210481086818,51,14,19,83,0,92,35.55,0.1
60,0.9936667680740356,0.6281250063580484,50,16,30,130,0,190,37.52,0.1
61,,0.5600887561824212,51,15,25,101,0,127,34.75,0.1
62,0.748371422290802,0.19208195771502481,50,22,23,84,0,81,34.63,0.1
63,,0.2349457056331054,53,21,18,77,0,90,33.89,0.1
64,1.4071210622787476,0.23558350268700734,51,22,19,92,0,90,34.46,0.1
65,,0.39282296428734415,50,27,30,89,0,194,41.44,0.1
66,1.5214192867279053,0.47782557574747486,51,14,27,66,0,109,35.89,0.1
67,,0.4463987541717447,50,17,26,59,0,134,34.0,0.1
68,1.186462163925171,0.3287869785409099,51,20,29,83,0,98,35.15,0.1
69,,0.49166789228387714,50,18,24,66,0,164,38.09,0.1
70,1.2636977434158325,0.35778636259462715,50,22,24,98,0,117,37.42,0.1
71,,0.45768504850532843,50,16,30,98,0,101,34.79,0.1
72,1.3590139150619507,0.531323104912345,50,14,29,101,0,109,35.27,0.1
73,,0.37010718784165436,51,16,18,79,0,86,33.9,0.1
74,0.9157044291496277,0.0005908349530930846,50,24,14,61,0,78,37.07,0.1
75,,0.4860763413818078,50,15,25,98,0,93,35.1,0.1
76,0.9538060426712036,0.4756561722627932,50,16,27,94,0,93,37.13,0.1
77,,0.40863368338905653,50,17,16,93,0,99,36.95,0.1
78,0.9982553720474243,0.4942693711980721,50,19,22,108,0,146,35.69,0.1
79,,0.26597289997226875,51,17,15,85,0,74,36.18,0.1
80,1.401942253112793,0.4930039749589966,51,19,34,101,0,139,35.61,0.1
81,,0.45965164450436485,51,20,24,92,0,163,36.12,0.1
82,0.6776787638664246,0.5375085900136567,51,17,27,88,0,152,38.2,0.1
83,,0.36273413786731434,51,17,14,75,0,106,36.48,0.1
84,1.1211295127868652,0.35414558092131243,51,20,30,104,0,96,37.54,0.1
85,,0.4637542272631361,51,15,18,73,0,108,37.61,0.1
86,0.954268217086792,0.32585575206304795,50,19,19,82,0,93,35.47,0.1
87,,0.29634626418552185,50,22,22,81,0,111,36.8,0.1
88,0.9237591624259949,0.3363229739158153,53,25,30,115,0,133,36.59,0.1
89,,0.3359062331357183,50,25,19,67,0,171,35.32,0.1
90,1.5101408958435059,0.5127198251692812,50,15,24,91,0,104,37.07,0.1
91,,0.3979994353137895,51,19,25,108,0,101,37.84,0.1
92,0.9381275773048401,0.408886587866613,50,17,25,66,0,108,38.53,0.1
93,,0.2620888192315843,50,21,27,96,0,74,35.13,0.1
94,1.3134660720825195,0.19150705743592933,51,24,18,89,0,94,37.82,0.1
95,,0.4249415335793264,51,22,31,122,0,123,38.08,0.1
96,1.114952564239502,0.19947062526375,51,25,19,76,0,109,39.94,0.1
97,,0.4090459303267088,51,14,22,71,0,88,34.53,0.1
98,0.8367726802825928,0.5276276622616147,52,18,25,101,0,162,37.93,0.1
99,,0.3910632348515285,50,16,22,75,0,88,33.53,0.1
100,1.0466089248657227,0.31711018628543663,50,19,19,74,0,104,41.18,0.1
101,,0.17237508923612513,53,21,10,79,0,89,35.88,0.1
102,0.836313784122467,0.5047601497484365,50,22,24,108,0,181,37.26,0.1
103,,0.34447967627568366,50,18,24,74,0,94,34.25,0.1
104,1.2076359987258911,0.34039696781251844,51,19,23,78,0,105,37.36,0.1
105,,0.4242674446085244,50,23,28,72,0,175,38.41,0.1
106,0.6999672055244446,0.46670718064711575,50,20,26,94,0,142,40.36,0.1
107,,0.13822806072517482,51,24,19,78,0,86,35.42,0.1
108,1.7271709442138672,0.5497836312341045,51,13,19,63,0,123,34.88,0.1
109,,0.355610915027787,51,22,19,71,0,146,36.72,0.1
110,1.2298364639282227,0.1706777415412959,51,24,15,102,0,84,43.51,0.1
111,,0.4676606506990433,50,16,19,77,0,118,39.55,0.1
112,0.8456712961196899,0.39383592485552965,50,20,24,110,0,99,37.56,0.1
113,,0.38989522659043035,51,16,17,69,0,104,35.9,0.1
114,0.8182276487350464,0.029229229703146564,51,29,14,98,0,95,36.83,0.1
115,,0.3077937927467994,52,21,19,93,0,105,36.25,0.1
116,1.1130895614624023,0.3998378725150393,50,16,16,88,0,95,37.21,0.1
117,,0.2583993900096328,50,22,18,105,0,90,35.04,0.1
118,1.120395541191101,0.404809179381108,52,19,14,116,0,104,37.46,0.1
119,,0.36254118910638333,51,21,15,88,0,131,34.81,0.1
120,0.8922117352485657,0.28118279668866325,51,21,21,87,0,93,35.88,0.1
121,,0.21874208684521534,52,25,17,109,0,105,35.04,0.1
122,0.8767781257629395,0.3275816781062556,50,17,19,81,0,83,35.77,0.1
123,,0.39329135169190405,51,22,29,105,0,123,38.57,0.1
124,1.4495477676391602,0.1988502628619361,50,24,22,92,0,97,36.48,0.1
125,,0.5040149239416355,50,12,12,83,0,97,36.08,0.1
126,1.0423709154129028,0.6083028125803858,50,20,26,101,0,244,37.99,0.1
127,,0.33736416809771436,50,27,10,93,0,182,38.45,0.1
128,1.1570632457733154,0.2612519872035626,50,19,17,81,0,79,33.57,0.1
129,,0.3904337814116049,51,23,20,66,0,176,37.27,0.1
130,1.1555463075637817,0.34744805403498225,50,16,12,77,0,88,35.39,0.1
131,,0.2656951690244525,51,26,27,111,0,110,34.81,0.1
132,0.8767914772033691,0.4260493050534217,52,16,18,90,0,102,33.64,0.1
133,,0.32936213436646095,50,16,9,89,0,90,35.78,0.1
134,1.2379462718963623,0.4112913309468159,50,15,13,94,0,82,33.61,0.1
135,,0.06367020996948099,50,27,5,106,0,81,37.74,0.1
136,1.4130892753601074,0.34978188685758754,50,17,11,87,0,86,33.58,0.1
137,,0.39531318373420277,51,16,5,101,0,98,36.15,0.1
138,0.7459383010864258,0.48892827862102894,51,14,4,99,0,110,36.4,0.1
