episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-1.1723939490916349,50,29,86,29,37,0,20,36.56,1.0
2,3.318631649017334,-1.5956589007807944,51,40,96,31,29,0,36,41.89,0.905
3,,-0.9692918829198468,50,29,93,36,28,0,29,38.4,0.905
4,3.2770721912384033,-0.9834023449309249,51,32,101,36,41,0,24,36.16,0.81
5,,-1.408618634855639,50,29,79,30,26,0,23,32.83,0.81
6,3.466920852661133,-2.0231907353745067,53,49,100,43,31,0,26,37.45,0.7150000000000001
7,,-1.4212364244595617,52,33,87,38,27,0,22,37.09,0.7150000000000001
8,3.258596897125244,-1.3151750145274084,51,30,82,39,26,0,17,40.3,0.6200000000000001
9,,-1.5324845728431071,50,35,86,23,40,0,23,41.43,0.6200000000000001
10,3.315463066101074,-1.6991189517334582,52,29,69,23,30,0,16,31.66,0.5250000000000001
11,,-1.3134620216039794,52,32,88,42,28,0,18,37.82,0.5250000000000001
12,3.7647299766540527,-1.324202572908283,50,36,96,35,42,0,19,39.22,0.43000000000000016
13,,-1.3363335768728914,50,32,86,36,38,0,12,37.13,0.43000000000000016
14,3.694824457168579,-1.214453364555697,50,31,88,36,31,0,21,33.17,0.3350000000000002
15,,-1.1844728728884373,51,33,95,42,48,0,5,32.95,0.3350000000000002
16,2.9124538898468018,-1.9852172603841378,50,40,84,33,39,0,12,35.4,0.24000000000000019
17,,-0.969219176301401,51,28,88,48,35,0,5,32.84,0.24000000000000019
18,3.9012043476104736,-1.4270423309539413,51,32,84,34,40,0,10,37.58,0.14500000000000018
19,,-2.536250726545056,50,40,71,38,28,0,5,35.03,0.14500000000000018
20,3.376305103302002,-2.140625,50,32,64,31,29,0,4,34.91,0.05000000000000018
21,,-0.7052859214648584,52,21,84,43,37,0,4,39.0,0.05000000000000018
22,3.860238552093506,-1.8918701902311934,50,38,81,53,26,0,2,37.97,0.05
23,,-1.873153796965885,50,40,86,34,48,0,4,36.33,0.05
24,3.082470417022705,-1.8382552808866774,50,38,82,46,36,0,0,35.1,0.05
25,,-1.1763419066560303,51,27,77,33,44,0,0,36.05,0.05
26,3.8279941082000732,-0.8069712460922982,50,23,83,39,42,0,2,34.2,0.05
27,,-1.4086815177124947,51,37,94,51,43,0,0,38.16,0.05
28,3.4524807929992676,-1.1894281774189315,50,28,79,38,41,0,0,35.97,0.05
29,,-2.0055197622917658,51,35,73,32,39,0,2,34.33,0.05
30,3.4175291061401367,-2.46794724593922,51,39,72,34,34,0,4,33.92,0.05
31,,-1.9435123296752315,50,39,81,38,42,0,1,30.74,0.05
32,4.1669440269470215,-0.9902899104910102,50,32,101,40,58,0,3,35.86,0.05
33,,-1.5715554100705194,50,28,67,35,28,0,4,36.07,0.05
34,3.984515428543091,-1.5822994031340796,50,34,82,42,39,0,1,33.9,0.05
35,,-0.8068335842422175,51,22,81,33,46,0,2,31.54,0.05
36,3.9589452743530273,-1.8315316108337436,51,36,79,36,42,0,1,34.44,0.05
37,,-1.4740053114376785,50,36,93,41,45,0,7,35.98,0.05
38,4.112014293670654,-1.985523315218946,51,42,87,44,41,0,2,37.21,0.05
39,,-1.0860177502047035,53,29,86,36,45,0,5,36.88,0.05
40,4.052497863769531,-1.0363125228760628,50,23,73,35,36,0,2,36.5,0.05
41,,-1.3087322522535783,52,25,69,36,32,0,1,34.82,0.05
42,3.9593162536621094,-0.7739379831092472,51,22,80,35,44,0,1,36.27,0.05
43,,-1.2249717738463324,53,29,84,42,38,0,4,36.21,0.05
44,4.197748184204102,-1.539287014764148,51,37,92,46,44,0,2,38.84,0.05
45,,-1.5769497188135913,51,37,90,39,48,0,3,42.28,0.05
46,3.5963659286499023,-1.1903841078514572,54,34,98,51,42,0,5,37.51,0.05
47,,-1.6303742382119748,50,37,87,43,43,0,1,38.76,0.05
48,3.6180636882781982,-1.644773064365341,51,30,72,30,40,0,2,36.29,0.05
49,,-1.581154179779395,51,31,73,29,44,0,0,34.69,0.05
50,4.059695720672607,-1.4428318901185144,50,35,90,33,52,0,5,37.23,0.05
51,,-1.8872328277020112,51,32,69,31,38,0,0,37.95,0.05
52,3.7191288471221924,-0.2380125204568389,52,18,97,45,49,0,3,34.29,0.05
53,,-2.0192718185907017,50,36,73,21,49,0,3,36.7,0.05
54,3.3364033699035645,-1.6166722639889468,50,38,91,46,42,0,3,36.78,0.05
55,,-1.5605225154045754,50,38,93,41,49,0,3,34.66,0.05
56,3.597486734390259,-2.381014858398704,50,40,74,21,51,0,2,32.15,0.05
57,,-1.4068227057526224,50,31,79,40,39,0,0,37.14,0.05
58,3.872368574142456,-1.2279769135544156,53,31,89,42,46,0,1,37.28,0.05
