episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-1.5299114204775155,50,37,90,26,27,0,37,35.38,1.0
2,3.366218090057373,-1.4132526957642921,53,35,90,31,29,0,30,45.91,0.99525
3,,-1.6389727433886303,50,29,68,24,22,0,22,34.82,0.99525
4,2.983954668045044,-0.6790419290018089,51,20,75,31,23,0,21,38.84,0.9904999999999999
5,,-1.2792756971932542,50,31,86,28,32,0,26,35.07,0.9904999999999999
6,3.4845423698425293,-1.4493312718320082,51,29,75,26,25,0,24,37.58,0.9857499999999999
7,,-1.0588011507461093,51,34,103,46,24,0,33,43.01,0.9857499999999999
8,3.4825239181518555,-1.6261709330608372,51,42,98,33,34,0,31,35.89,0.9809999999999999
9,,-2.048633015554992,50,36,73,36,20,0,17,35.81,0.9809999999999999
10,3.018908739089966,-1.340931418679401,50,29,78,24,20,0,34,33.9,0.9762499999999998
11,,-1.1597452432608966,50,27,78,29,26,0,23,38.83,0.9762499999999998
12,3.1282217502593994,-1.51670441608532,51,32,80,32,23,0,25,34.74,0.9714999999999998
13,,-1.8176167406823056,50,34,75,27,21,0,27,43.07,0.9714999999999998
14,3.3777828216552734,-1.7507539047463514,50,32,72,23,28,0,21,36.24,0.9667499999999998
15,,-0.8728242444783887,50,26,88,33,28,0,27,35.83,0.9667499999999998
16,3.2332534790039062,-1.0366727619212155,52,25,79,26,29,0,24,34.53,0.9619999999999997
17,,-1.655380801553679,51,28,66,20,23,0,23,35.3,0.9619999999999997
18,2.9030139446258545,-1.3569541896061688,50,31,81,36,23,0,22,37.73,0.9572499999999997
19,,-0.6231659055474863,51,22,87,30,27,0,30,36.83,0.9572499999999997
20,2.616752862930298,-0.20144220198148444,51,17,89,29,29,0,31,34.1,0.9524999999999997
21,,-1.1277794481475478,50,28,84,42,23,0,19,39.15,0.9524999999999997
22,2.9461750984191895,-1.28861701808086,50,25,68,24,22,0,22,36.85,0.9477499999999996
23,,-0.7954319436925744,50,24,86,36,24,0,26,34.09,0.9477499999999996
24,2.845278739929199,-1.2995159834291075,50,28,76,26,25,0,25,36.83,0.9429999999999996
25,,-1.1625280797433162,50,27,78,33,24,0,21,36.21,0.9429999999999996
26,3.0011281967163086,-0.38907535939798316,51,24,113,42,38,0,33,38.92,0.9382499999999996
27,,-1.4041118162146278,50,27,70,20,30,0,20,37.57,0.9382499999999996
28,3.2402584552764893,-1.3889618733460993,50,34,88,38,25,0,25,33.39,0.9334999999999996
29,,-1.691025986177447,50,35,82,31,28,0,23,39.1,0.9334999999999996
30,3.364042282104492,-1.4500017352639303,50,28,73,30,21,0,22,35.86,0.9287499999999995
31,,-1.6758076187381556,50,31,72,22,20,0,30,31.85,0.9287499999999995
32,3.43095064163208,-1.6166574278765127,50,32,76,22,26,0,28,33.27,0.9239999999999995
33,,-0.991769859571997,50,26,84,32,28,0,24,37.64,0.9239999999999995
34,3.4215943813323975,-2.002934067106988,52,36,75,33,22,0,20,34.34,0.9192499999999995
35,,-1.0498780656846707,51,26,81,30,31,0,20,34.83,0.9192499999999995
36,3.279484510421753,-1.2947651938345746,50,37,100,43,24,0,33,32.39,0.9144999999999994
37,,-1.5526355397251212,50,33,81,28,35,0,18,36.04,0.9144999999999994
38,3.349255084991455,-0.21031511332438774,50,18,108,47,27,0,34,35.07,0.9097499999999994
39,,-0.27373651070332106,52,18,97,40,21,0,36,35.93,0.9097499999999994
40,3.2246642112731934,-1.2848484236076143,51,29,81,30,24,0,27,33.34,0.9049999999999994
41,,-0.4156259064319472,50,20,91,41,24,0,26,37.64,0.9049999999999994
42,2.7743825912475586,-1.8638212713171662,50,34,75,30,24,0,21,32.84,0.9002499999999993
43,,-0.5739212515603123,51,19,81,29,27,0,25,33.69,0.9002499999999993
44,2.688093662261963,-0.8533961370849855,50,27,94,40,21,0,33,37.9,0.8954999999999993
45,,-1.401762595176988,50,31,82,28,26,0,28,41.93,0.8954999999999993
46,3.413116931915283,-1.0275194512880754,51,29,90,35,31,0,24,36.58,0.8907499999999993
47,,-1.572845580851204,50,36,87,35,28,0,24,37.67,0.8907499999999993
48,2.775557279586792,-0.4486794816607961,50,23,103,44,27,0,32,37.94,0.8859999999999992
49,,-1.1807547494614126,50,38,108,45,31,0,32,42.15,0.8859999999999992
50,2.9630393981933594,-1.707997117387762,51,34,77,36,28,0,13,33.18,0.8812499999999992
51,,-1.4686223904659117,50,30,78,35,22,0,21,33.28,0.8812499999999992
52,2.9595367908477783,-1.5514596816758182,50,28,68,26,19,0,23,35.53,0.8764999999999992
53,,-1.4882836017053909,53,38,97,39,28,0,30,37.96,0.8764999999999992
54,3.0847220420837402,-1.0406739928487267,50,28,85,39,22,0,24,38.13,0.8717499999999991
55,,-1.573103863263356,51,32,76,33,19,0,24,40.61,0.8717499999999991
56,3.008481025695801,-0.8166920400636504,50,24,85,37,24,0,24,35.81,0.8669999999999991
57,,-1.5577273228290067,50,37,95,38,23,0,34,33.48,0.8669999999999991
58,2.8161659240722656,-1.4515838684016633,51,30,76,33,19,0,24,34.08,0.8622499999999991
59,,-1.340214842486118,50,35,94,43,29,0,22,38.72,0.8622499999999991
60,2.9737679958343506,-1.315604376564079,50,34,90,33,28,0,29,41.43,0.857499999999999
61,,-2.1458243706910083,50,45,87,35,32,0,20,39.43,0.857499999999999
62,3.0909423828125,-1.042593177686416,50,31,97,42,19,0,36,45.32,0.852749999999999
63,,-1.9308271661398004,52,39,83,37,28,0,18,34.93,0.852749999999999
64,3.5441734790802,-1.5717382011184418,50,33,81,33,20,0,28,35.58,0.847999999999999
65,,-0.8476335983344977,51,24,84,33,21,0,30,37.52,0.847999999999999
66,3.296006202697754,-1.3937506648009566,50,30,79,26,23,0,30,35.65,0.843249999999999
67,,-1.758373462148274,50,35,80,27,20,0,33,33.19,0.843249999999999
68,3.717041492462158,-1.1918582211968458,50,31,89,43,24,0,22,36.82,0.8384999999999989
69,,-1.3239964988829243,51,28,76,31,24,0,21,41.5,0.8384999999999989
70,3.0229406356811523,-0.8549791632959431,51,29,100,36,37,0,27,36.31,0.8337499999999989
71,,-1.4926967344243374,51,31,77,31,28,0,18,38.54,0.8337499999999989
