episode,loss,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV
1,2743.466064453125,645,393,645,471,174,0
2,1395.2744140625,654,483,654,0,654,0
3,1157.1944580078125,511,334,551,5,466,0
4,754.3666381835938,1294,1043,2076,421,91,0
5,624.76318359375,900,566,1673,0,127,0
6,637.5604248046875,1376,604,2483,38,231,0
7,675.2929077148438,713,430,1125,141,160,0
8,497.7912292480469,551,318,623,40,439,0
9,312.6449279785156,482,357,625,169,170,0
10,406.8204650878906,885,620,914,182,674,0
11,306.391845703125,1085,880,1622,65,478,5
12,246.71116638183594,638,459,644,448,184,0
13,249.27725219726562,407,260,396,0,407,11
14,234.2904815673828,739,590,1098,96,284,0
15,229.45059204101562,783,564,1088,45,433,0
16,149.72344970703125,682,476,712,416,236,0
17,140.9959716796875,626,414,789,21,442,0
18,145.81100463867188,839,663,1519,42,117,0
19,156.69110107421875,702,573,1144,127,133,0
20,145.0161895751953,533,344,585,21,460,0
21,105.68402099609375,1109,785,1109,38,1071,0
22,108.52123260498047,606,444,672,181,359,0
23,133.9987030029297,537,344,665,73,336,0
24,128.27145385742188,1497,832,2459,157,378,0
25,105.26225280761719,721,531,989,234,219,0
26,130.43362426757812,922,611,1328,195,321,0
27,96.79468536376953,729,493,1324,93,41,0
28,125.486572265625,706,426,786,289,337,0
29,95.34172058105469,1187,1034,2229,65,80,0
30,103.69133758544922,663,557,897,0,429,0
31,80.72813415527344,972,617,1549,73,322,0
32,65.98747253417969,709,488,728,178,512,0
33,92.0127182006836,432,250,445,65,354,0
34,76.33015441894531,735,517,860,105,505,0
35,60.67268371582031,640,399,910,100,270,0
36,60.55521774291992,674,433,976,97,275,0
37,75.7448501586914,731,558,1133,21,308,0
38,79.84449768066406,720,476,835,302,303,0
39,95.34649658203125,745,472,746,73,671,0
40,56.05785369873047,1454,1020,1659,52,1197,0
41,71.56271362304688,443,281,443,312,131,0
42,112.94392395019531,451,310,543,22,337,0
43,97.18716430664062,916,621,1124,197,511,0
44,98.78407287597656,892,694,1296,62,426,0
45,113.1804428100586,1441,1158,2649,31,202,0
46,88.53326416015625,900,643,957,339,504,0
47,129.49212646484375,581,402,654,0,508,0
48,99.33251190185547,863,611,1530,75,121,0
49,52.68805694580078,809,615,1292,0,326,0
50,78.54651641845703,603,441,603,76,527,0
51,76.44868469238281,1413,1036,2290,9,527,0
52,76.16698455810547,805,459,1343,37,230,0
53,65.04295349121094,556,350,685,234,193,0
54,72.60020446777344,714,502,1244,80,104,0
55,76.2626724243164,1591,1191,2175,38,969,0
56,77.8418197631836,459,305,479,54,385,0
57,55.719200134277344,562,381,562,105,457,0
58,67.57921600341797,594,332,620,375,193,0
59,71.73306274414062,891,635,1226,226,330,0
60,56.2421989440918,805,505,1160,39,411,0
61,51.69731903076172,633,403,859,58,349,0
62,66.236328125,429,228,636,7,215,0
63,57.64400863647461,704,448,741,257,410,0
64,79.88777160644531,856,607,856,0,856,0
65,82.1224136352539,1126,801,1425,131,696,0
66,98.70173645019531,405,270,662,25,123,0
67,52.812461853027344,1031,815,1789,63,210,0
68,80.91279602050781,347,191,409,140,145,0
69,92.32752227783203,909,650,1512,21,285,0
70,89.78038024902344,1012,603,1824,156,44,0
71,106.97087860107422,470,302,572,193,175,0
72,67.22866821289062,205,138,302,18,90,0
73,60.53124237060547,828,606,1217,3,436,0
74,88.0976791381836,812,574,1270,95,259,0
75,63.42646789550781,2495,1961,4868,38,84,0
76,81.70489501953125,546,329,555,280,257,0
77,84.00421142578125,1118,743,2057,69,110,0
78,54.639427185058594,545,387,545,0,545,0
79,76.892822265625,600,392,609,114,477,0
80,64.53312683105469,540,297,540,302,238,0
81,60.71852111816406,1545,982,2917,68,105,0
82,38.83406066894531,1550,1129,1854,74,1172,0
83,47.37615966796875,542,309,625,312,147,0
84,42.30675506591797,519,298,654,95,289,0
85,45.90904235839844,668,435,735,151,450,0
86,45.917015075683594,597,372,757,250,187,0
87,44.74042510986328,494,309,513,3,472,0
88,58.52956008911133,744,511,860,80,548,0
89,58.53850555419922,430,285,549,86,225,0
90,32.025604248046875,512,374,640,70,314,0
91,58.915870666503906,628,439,790,56,410,0
92,60.92961120605469,818,608,1326,0,310,0
93,68.22117614746094,968,631,1467,19,450,0
94,97.45645141601562,598,377,604,24,568,0
95,73.56890869140625,514,333,664,51,313,0
96,64.84597778320312,667,478,707,36,591,0
97,58.509056091308594,455,318,705,143,62,0
98,77.31048583984375,952,645,1660,95,149,0
99,59.47830581665039,467,328,477,42,415,0
100,66.60199737548828,1471,1195,2873,0,69,0
101,53.884620666503906,790,514,863,66,651,0
102,44.62920379638672,1380,995,2486,69,205,0
103,46.08456039428711,827,494,955,363,336,0
104,58.37635803222656,743,510,1071,227,188,0
