episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
1,,-0.3840378197997775,101,78,295,1099,0,2202,65.64
2,,-0.3723021582733813,100,83,303,1191,0,2398,62.51
3,,-0.38366788321167883,103,100,467,1683,0,2234,72.58
4,1923.2236328125,-0.39933230611196713,101,84,409,1226,0,2259,72.46
5,,-0.40392609699769055,101,94,645,1002,0,2683,73.26
6,,-0.407329401853412,105,93,483,1146,0,3119,69.52
7,,-0.4216085989621942,100,96,492,1211,0,3693,99.04
8,1185.120849609375,-0.3834745762711864,101,85,410,851,0,2515,65.03
9,,-0.4164496527777778,100,93,468,1064,0,3076,76.76
10,,-0.37902504472271914,101,92,486,920,0,3066,72.15
11,,-0.4036276223776224,102,88,607,1143,0,2826,73.75
12,823.228515625,-0.3981348637015782,103,91,397,902,0,2883,66.07
13,,-0.3945127719962157,100,93,414,1332,0,2482,75.98
14,,-0.39631336405529954,103,85,483,1213,0,2644,70.89
15,,-0.40687992988606486,102,95,570,1212,0,2782,76.78
16,468.6374206542969,-0.3792947558770344,100,86,543,1469,0,2412,82.12
17,,-0.35592686002522067,100,85,801,1059,0,1312,64.19
18,,-0.36077608809648665,102,93,954,1317,0,1543,72.26
19,,-0.3853522867737948,101,86,743,1048,0,1445,70.48
20,567.0440063476562,-0.39176090468497576,100,90,1013,1029,0,1672,69.53
21,,-0.39379347244515783,100,83,821,1294,0,1623,75.99
22,,-0.378727634194831,103,84,756,1466,0,1802,71.53
23,,-0.3510054844606947,100,84,778,1166,0,1338,70.21
24,482.58721923828125,-0.3710675605982465,100,83,875,1493,0,1510,75.24
25,,-0.3758308157099698,102,92,645,1272,0,1393,64.97
26,,-0.3750711439954468,100,92,633,1064,0,1817,62.55
27,,-0.39061805246776343,105,92,792,1421,0,2285,73.71
28,299.2425537109375,-0.3911411411411411,102,87,831,1242,0,1923,66.01
29,,-0.3893421723610403,100,90,813,1328,0,1781,74.61
30,,-0.39335394126738793,100,92,678,1132,0,2072,66.88
31,,-0.39080459770114945,101,95,898,1075,0,2377,70.18
32,427.95556640625,-0.36478201634877383,102,93,606,925,0,1405,60.34
33,,-0.3829479768786127,100,92,744,1499,0,1909,68.82
34,,-0.3715025906735751,101,90,775,1206,0,1879,65.92
35,,-0.37595983461311283,100,88,614,1202,0,1570,66.66
36,266.1012878417969,-0.39510671525247265,100,83,663,1202,0,1977,66.63
37,,-0.3629379225568531,100,85,557,1251,0,1446,64.17
38,,-0.39106583072100315,102,94,652,1204,0,1972,67.88
39,,-0.37368972746331236,101,93,746,1483,0,1587,68.99
40,196.21282958984375,-0.3613662456946039,102,82,592,1294,0,1598,64.72
41,,-0.3892479435957697,101,89,784,996,0,1624,64.11
42,,-0.40579022306597057,101,92,757,982,0,2475,65.09
43,,-0.3928231939163498,100,95,749,974,0,2485,67.45
44,272.72650146484375,-0.4072880515617253,103,103,1246,884,0,1904,69.45
45,,-0.37956021989005495,104,92,648,1499,0,1855,69.05
46,,-0.39744272775705913,100,93,677,1482,0,1595,65.53
47,,-0.368125,102,78,604,1158,0,1438,66.41
48,180.60699462890625,-0.3776978417266187,100,90,659,1326,0,1073,61.54
49,,-0.3637295081967213,101,83,1095,706,0,1127,63.88
50,,-0.3534356725146199,100,86,1043,671,0,1022,60.9
51,,-0.338379705400982,102,81,1038,638,0,768,60.74
52,154.93121337890625,-0.35769980506822613,100,85,1161,892,0,1025,65.66
53,,-0.3774175199089875,103,83,384,1824,0,1308,66.25
54,,-0.38911060433295325,102,88,505,1593,0,1410,65.28
55,,-0.37786259541984735,103,84,503,1988,0,1701,72.05
56,131.49017333984375,-0.3821599045346062,101,86,366,1830,0,1156,66.07
57,,-0.3741324921135647,100,92,1487,675,0,1008,68.52
58,,-0.3682572614107884,101,83,1311,671,0,910,63.76
59,,-0.3870694522868436,101,84,1620,816,0,1106,70.36
60,174.38136291503906,-0.38393367638650655,101,83,1466,804,0,1228,69.57
61,,-0.40644244433917576,100,98,704,1368,0,2150,70.71
62,,-0.392498997192138,102,96,874,1683,0,2429,76.07
63,,-0.38099084544964995,100,91,646,1120,0,1948,66.14
64,71.17585754394531,-0.39553314121037464,100,80,744,1452,0,1968,67.6
65,,-0.3750815394651011,100,80,1277,581,0,1208,66.44
66,,-0.353515625,103,81,1048,549,0,963,59.29
67,,-0.36888731396172925,100,78,1305,749,0,768,60.58
68,89.54327392578125,-0.35115303983228513,100,81,1250,607,0,1005,62.25
69,,-0.36979752530933635,102,87,602,1403,0,1551,66.88
70,,-0.38273708120386146,101,89,688,1211,0,1623,60.84
71,,-0.3706060606060606,101,90,570,1331,0,1399,60.91
72,47.93872833251953,-0.3845152895250488,103,91,666,1122,0,1286,59.09
73,,-0.41379310344827586,101,91,893,1159,0,2124,69.12
74,,-0.38118175979447655,101,84,697,758,0,1659,60.61
75,,-0.376097057305111,101,87,1065,1096,0,1713,66.61
76,78.173095703125,-0.3987676056338028,104,86,866,937,0,1605,62.34
77,,-0.3555030384875084,101,79,743,1078,0,1141,59.43
78,,-0.37784256559766766,100,88,866,1201,0,1363,63.84
79,,-0.3642483171278983,102,80,763,847,0,1064,60.76
80,55.85521697998047,-0.38287514318442156,101,86,821,1364,0,1307,63.7
81,,-0.40798169801728523,101,83,917,963,0,2054,71.24
82,,-0.34851621808143546,101,75,732,775,0,1391,59.39
83,,-0.3915094339622642,103,88,835,868,0,1477,63.66
84,58.09312438964844,-0.39166140240050534,101,79,692,840,0,1634,61.32
85,,-0.3771215207060421,101,89,700,1048,0,1198,63.62
86,,-0.3701923076923077,102,83,704,1228,0,1604,64.07
87,,-0.3670424403183024,101,78,755,1109,0,1152,65.18
88,70.59004211425781,-0.37186544342507644,101,87,726,1221,0,1323,65.2
89,,-0.3731105807478122,100,87,752,664,0,1098,60.59
90,,-0.4084372003835091,103,83,966,1165,0,2041,71.72
91,,-0.4155440414507772,103,89,977,932,0,1951,66.51
92,74.59564208984375,-0.3809669522643819,102,88,855,808,0,1605,63.01
93,,-0.36789181692094314,102,87,446,1463,0,975,63.22
94,,-0.375,100,94,551,1351,0,1042,61.7
95,,-0.36894882434301524,101,79,454,1335,0,1103,62.74
96,80.83515167236328,-0.36289726533628974,101,85,446,1492,0,768,59.03
97,,-0.3802017654476671,103,88,408,1550,0,1214,64.45
98,,-0.37438423645320196,102,80,408,1527,0,1313,63.53
99,,-0.3952922077922078,100,98,398,1938,0,1360,64.35
100,86.54066467285156,-0.36788021139166177,101,97,419,1932,0,1055,66.18
101,,-0.3529986962190352,101,81,848,877,0,1343,64.24
102,,-0.3854106835152211,100,83,858,946,0,1678,68.2
103,,-0.3839861179970253,103,91,788,947,0,2299,70.75
104,50.231597900390625,-0.38030998851894376,100,95,844,856,0,1784,67.91
105,,-0.349291975724882,101,82,884,708,0,1374,63.32
106,,-0.36888239590942296,100,81,1007,636,0,1095,60.33
107,,-0.37678207739307534,101,80,1143,742,0,1061,63.24
108,47.20994186401367,-0.3646875,102,89,1050,845,0,1305,65.81
109,,-0.4018330921369995,101,87,761,1213,0,2172,74.95
110,,-0.38919065725149377,101,90,704,1055,0,1923,66.22
111,,-0.3793393057110862,100,91,683,1021,0,1868,67.57
112,68.52117156982422,-0.38771683075480545,100,92,776,1292,0,2198,73.34
113,,-0.38654934003771213,100,88,312,1786,0,1084,67.56
114,,-0.3721875,100,88,359,1379,0,1462,63.54
115,,-0.42007797270955166,100,91,309,1424,0,1345,62.67
116,57.709999084472656,-0.3632680621201891,100,70,271,1599,0,1092,71.31
117,,-0.39801395598497047,102,88,649,1504,0,1573,69.83
118,,-0.3848752598752599,100,92,652,1523,0,1673,69.38
119,,-0.39621749408983453,100,80,692,1144,0,2394,68.67
120,55.57884979248047,-0.4008968609865471,103,101,737,1926,0,1797,77.63
121,,-0.3953883495145631,100,97,714,1157,0,2249,71.6
122,,-0.3747841105354059,102,89,684,1079,0,1711,65.61
123,,-0.39302949061662196,101,87,680,1086,0,1964,68.87
124,96.28935241699219,-0.38610963278339544,101,89,715,1194,0,1849,69.03
125,,-0.3397003745318352,103,74,1242,527,0,901,65.94
126,,-0.38149466192170817,100,85,1380,548,0,882,60.56
127,,-0.3623789764868603,101,72,1418,577,0,897,64.1
128,112.16001892089844,-0.3492407809110629,100,70,1205,481,0,1080,62.88
129,,-0.3747051886792453,100,87,697,1061,0,1634,65.8
130,,-0.39600470035252644,100,87,622,1030,0,1752,65.27
131,,-0.3922454804947669,100,90,872,1257,0,2075,74.06
132,181.26913452148438,-0.38370165745856355,101,84,655,1095,0,1870,68.29
133,,-0.3915601023017903,104,92,797,1087,0,2026,71.61
134,,-0.362086258776329,103,89,858,1230,0,1900,72.03
135,,-0.3821473951715375,100,82,601,935,0,1612,64.36
136,158.3294219970703,-0.3795766590389016,103,86,689,1070,0,1737,64.86
137,,-0.3879656160458453,101,84,666,1019,0,1805,68.54
138,,-0.35734624145785876,101,84,595,936,0,1981,64.83
139,,-0.36625,101,79,653,1033,0,1514,64.82
140,110.53807830810547,-0.3921848260125499,100,84,624,1129,0,1753,64.89
141,,-0.3562277580071174,103,94,731,1225,0,854,64.27
142,,-0.3574438202247191,101,84,809,1100,0,939,60.87
143,,-0.4,100,92,782,1888,0,960,71.13
144,100.71171569824219,-0.3801369863013699,104,80,769,1531,0,912,66.08
145,,-0.3765234124438743,101,80,969,642,0,1507,65.59
146,,-0.3584442887175893,101,85,816,772,0,1266,63.06
147,,-0.3755186721991701,100,86,819,893,0,1662,68.75
148,92.44966125488281,-0.36707238949391413,100,87,820,684,0,1618,66.84
149,,-0.40217391304347827,100,86,922,1598,0,1896,76.4
150,,-0.38191089640365,103,87,705,1433,0,1588,67.87
151,,-0.3585443037974684,104,82,688,1170,0,1302,64.94
152,106.33125305175781,-0.38215102974828374,100,83,571,1350,0,1575,63.84
153,,-0.3826530612244898,100,84,1263,663,0,1406,66.69
154,,-0.3898550724637681,102,81,1033,701,0,1716,66.07
155,,-0.3843599033816425,102,87,1482,679,0,1151,69.07
156,69.15383911132812,-0.37273991655076494,102,83,1145,619,0,1112,61.94
157,,-0.37524900398406374,100,85,933,1113,0,1970,72.23
158,,-0.3933500627352572,100,84,823,935,0,1430,66.05
159,,-0.3680089485458613,100,81,788,863,0,1925,68.96
