epoch,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
1,,-0.37191011235955057,100,79,1473,535,0,662,68.26
2,,-0.3492675404780262,100,70,1427,501,0,666,62.95
3,,-0.3393994540491356,101,80,1175,492,0,531,59.81
4,,-0.36714399363564043,101,83,1332,586,0,596,61.39
5,8400.7392578125,-0.3677304964539007,100,81,1529,590,0,701,81.84
6,,-0.37552447552447554,100,92,2026,0,0,834,56.38
7,,-0.35910224438902744,101,83,1605,0,0,801,68.43
8,,-0.38187451587916343,101,87,1758,0,0,824,57.16
9,,-0.37254237288135594,102,80,2028,0,0,922,63.9
10,5202.22998046875,-0.36603910209992757,100,87,1881,0,0,881,61.26
11,,-0.347148288973384,100,85,2244,0,0,386,56.22
12,,-0.38014440433213,102,89,2121,0,0,649,56.59
13,,-0.39316239316239315,101,86,2334,0,0,474,60.07
14,,-0.3916058394160584,103,91,1891,0,0,849,65.47
15,3000.241943359375,-0.35337552742616035,100,88,2026,0,0,818,62.06
16,,-0.36999182338511855,101,89,1640,0,0,806,59.19
17,,-0.3380338436744561,105,81,1710,0,0,772,58.35
18,,-0.3625541125541126,100,80,1856,0,0,916,60.24
19,,-0.3731936416184971,101,79,1832,0,0,936,72.69
20,894.7342529296875,-0.4106429349800218,103,90,4673,0,0,833,81.88
21,,-0.35415162454873644,101,82,1295,94,0,1381,73.58
22,,-0.3579447322970639,101,79,1291,66,0,959,54.3
23,,-0.3602065131056394,100,80,1284,94,0,1140,59.47
24,,-0.37109375,100,88,1222,74,0,1264,61.29
25,438.4869384765625,-0.37316176470588236,100,83,1307,30,0,1383,63.4
26,,-0.3517823639774859,100,82,970,84,0,1078,60.79
27,,-0.364853195164076,101,80,1033,142,0,1141,59.77
28,,-0.3837018837018837,101,79,1091,143,0,1208,57.5
29,,-0.36826843413421706,100,83,1093,99,0,1222,58.29
30,521.4951171875,-0.3652173913043478,100,84,1081,237,0,1212,63.14
31,,-0.35815102328863796,100,76,1241,0,0,1593,69.93
32,,-0.3616935483870968,101,75,1100,0,0,1380,58.98
33,,-0.3732394366197183,101,76,1049,0,0,1365,63.34
34,,-0.3532740501212611,100,75,1082,0,0,1392,68.22
35,542.0869140625,-0.3896276595744681,100,83,1276,0,0,1732,74.71
36,,-0.33785942492012777,100,70,1046,0,0,1458,62.38
37,,-0.34018456375838924,100,72,987,0,0,1397,62.76
38,,-0.3580071174377224,101,80,1201,0,0,1609,68.54
39,,-0.3872239747634069,102,79,1065,0,0,1471,55.56
40,749.2354736328125,-0.36246081504702193,100,73,1051,0,0,1501,64.63
41,,-0.3864035087719298,101,88,974,560,0,746,59.65
42,,-0.34255129348795715,100,80,963,551,0,728,63.71
43,,-0.3528938906752412,101,80,1001,547,0,940,64.0
44,,-0.3637370753323486,101,86,1070,581,0,1057,62.63
45,635.2411499023438,-0.3642979452054795,101,82,976,531,0,829,61.14
46,,-0.35452961672473865,101,83,1073,288,0,935,57.46
47,,-0.3584070796460177,100,80,928,150,0,956,63.67
48,,-0.3504446240905416,100,74,1057,101,0,1316,64.5
49,,-0.3503787878787879,101,78,1122,207,0,1311,72.17
50,401.0216064453125,-0.36062557497700093,100,79,974,180,0,1020,60.8
51,,-0.36187113857016767,100,73,1029,0,0,1237,63.51
52,,-0.3893992932862191,101,86,1253,0,0,1577,64.1
53,,-0.39890534449452675,100,85,1349,0,0,1757,75.58
54,,-0.37104072398190047,100,76,1136,0,0,1516,68.19
55,307.0567626953125,-0.38166089965397926,102,86,1199,0,0,1691,76.9
56,,-0.352068345323741,100,75,1003,341,0,880,59.38
57,,-0.33663366336633666,100,72,862,250,0,706,56.77
58,,-0.3620546810273405,100,79,1074,304,0,1036,62.28
59,,-0.35714285714285715,100,71,1039,242,0,1029,62.74
60,117.2640609741211,-0.3560794044665012,100,90,1131,305,0,982,60.38
61,,-0.38068669527897,100,85,1443,41,0,846,55.31
62,,-0.37214791502753736,101,81,1298,54,0,1190,66.17
63,,-0.36423584173778123,100,76,1372,26,0,1180,66.28
64,,-0.3650611620795107,101,78,1237,69,0,1310,68.36
65,153.9078369140625,-0.3907446068197634,100,82,1484,47,0,1343,64.73
66,,-0.352132701421801,100,74,1245,0,0,865,55.51
67,,-0.36824324324324326,101,80,1331,0,0,1037,73.09
68,,-0.3637916310845431,100,77,1367,0,0,975,62.05
69,,-0.37269076305220883,100,86,1419,0,0,1071,62.0
70,143.74197387695312,-0.363901018922853,100,77,1569,2,0,1177,76.97
71,,-0.35073409461663946,102,75,1115,343,0,994,60.86
72,,-0.34991496598639454,100,78,1062,320,0,970,63.75
73,,-0.3585069444444444,100,86,1052,409,0,843,59.7
74,,-0.3422727272727273,101,78,962,373,0,865,59.07
75,170.32957458496094,-0.35281195079086114,100,77,1040,364,0,872,63.98
76,,-0.34911242603550297,100,79,1092,439,0,835,64.86
77,,-0.36341698841698844,101,86,995,343,0,734,54.72
78,,-0.34933920704845817,100,82,1060,354,0,856,57.13
79,,-0.34797297297297297,100,75,1046,331,0,991,65.6
80,74.5823974609375,-0.37266553480475384,100,85,1025,326,0,1005,58.89
81,,-0.37794216543375925,100,85,1427,0,0,1547,67.74
82,,-0.3546837469975981,100,72,1140,0,0,1358,62.65
83,,-0.3730703259005146,100,78,1130,0,0,1202,58.25
84,,-0.35565356856455493,100,68,1134,0,0,1360,64.88
85,102.07289123535156,-0.36930455635491605,100,77,1139,0,0,1363,63.17
86,,-0.35714285714285715,101,82,993,339,0,726,58.94
87,,-0.3538011695906433,100,84,1143,366,0,885,60.61
88,,-0.34575389948006935,100,79,1134,410,0,764,56.87
89,,-0.35372112917023096,101,82,1088,279,0,971,61.85
90,149.2277374267578,-0.3597222222222222,100,79,1054,304,0,802,56.56
91,,-0.35842293906810035,101,74,1208,376,0,648,57.4
92,,-0.35137457044673537,100,79,1292,292,0,744,57.5
93,,-0.3786733837111671,100,83,1362,302,0,718,57.94
94,,-0.3610210696920583,104,83,1405,355,0,708,62.8
95,93.96743774414062,-0.35804263565891475,100,81,1208,300,0,556,56.11
96,,-0.35938759065269943,103,81,1438,419,0,625,62.18
97,,-0.34322453016815035,102,83,1156,303,0,563,61.07
98,,-0.36082474226804123,100,87,1412,343,0,573,57.95
99,,-0.35344827586206895,100,82,1293,371,0,540,60.68
100,74.92546081542969,-0.33460076045627374,100,78,1191,385,0,528,55.96
101,,-0.3814472671285604,100,80,1289,35,0,1274,68.57
102,,-0.3892935178441369,103,83,1333,74,0,1339,67.42
103,,-0.3474178403755869,102,77,1211,42,0,1303,66.0
104,,-0.36613351877607786,101,78,1434,50,0,1392,71.07
105,56.8592529296875,-0.3805970149253731,100,82,1397,40,0,1243,68.46
106,,-0.37628865979381443,100,84,1252,0,0,1464,68.65
107,,-0.35930918281381635,100,75,1064,0,0,1310,63.47
108,,-0.3638845553822153,101,72,1144,0,0,1420,64.61
109,,-0.37150127226463103,101,82,1117,0,0,1241,62.02
110,40.182891845703125,-0.3848895224518888,101,80,1270,0,0,1536,68.98
111,,-0.31852551984877125,100,70,1174,411,0,531,55.17
112,,-0.35813148788927335,100,78,1282,422,0,608,61.64
113,,-0.3375,102,78,1263,496,0,561,65.68
114,,-0.37598597721297106,100,76,1220,428,0,634,58.07
115,47.061317443847656,-0.3491541353383459,100,76,1156,376,0,596,64.53
116,,-0.35714285714285715,101,76,1311,0,0,1517,65.46
117,,-0.3782442748091603,100,82,1255,0,0,1365,67.75
118,,-0.37254187909686814,100,82,1254,0,0,1492,60.84
119,,-0.3529182879377432,100,67,1256,0,0,1314,67.27
120,40.41401672363281,-0.3679890560875513,100,79,1289,0,0,1635,71.53
121,,-0.35714285714285715,100,79,1047,354,0,853,66.84
122,,-0.33495145631067963,100,78,1027,363,0,876,63.34
123,,-0.38456420492348636,101,81,1318,359,0,1329,72.8
124,,-0.37921146953405016,100,84,1303,343,0,1144,65.37
125,45.52572250366211,-0.3707165109034268,100,83,1192,369,0,1007,62.96
126,,-0.3542009884678748,100,82,1377,0,0,1051,59.44
127,,-0.37768817204301075,100,86,1634,0,0,1342,73.97
128,,-0.3693054518297237,100,77,1571,0,0,1107,63.0
129,,-0.361,100,80,1664,0,0,1336,65.68
130,36.731224060058594,-0.3683806600153492,101,79,1672,0,0,934,67.13
131,,-0.35413153456998314,101,86,1060,488,0,824,61.05
132,,-0.3487603305785124,102,75,1115,504,0,801,58.81
133,,-0.3497835497835498,100,80,1053,477,0,780,63.23
134,,-0.3527257933279089,102,80,1087,521,0,850,64.51
135,29.57540512084961,-0.33424657534246577,102,69,1094,389,0,707,63.29
136,,-0.36461967899511516,102,83,1454,61,0,1351,72.71
137,,-0.3529647435897436,100,79,1357,23,0,1116,61.22
138,,-0.35671417854463616,100,82,1349,65,0,1252,67.19
139,,-0.35207336523126,101,72,1254,40,0,1214,71.47
140,27.038925170898438,-0.35759244689221087,103,76,1263,65,0,1214,61.4
141,,-0.3706189410887398,100,84,1200,0,0,1482,73.0
142,,-0.3699619771863118,100,79,1309,0,0,1321,64.57
143,,-0.37342215988779803,101,82,1349,0,0,1503,66.56
144,,-0.37990936555891236,100,89,1331,0,0,1317,65.03
145,17.62179183959961,-0.3741438356164384,100,84,1130,0,0,1206,62.33
146,,-0.37299771167048057,100,77,1152,0,0,1470,63.52
147,,-0.3916849015317287,100,91,1137,0,0,1605,74.67
148,,-0.3720754716981132,100,77,1176,0,0,1474,63.57
149,,-0.3706106870229008,100,73,1054,0,0,1566,70.33
150,27.661502838134766,-0.3908216136195411,100,82,1182,0,0,1520,67.25
151,,-0.38254310344827586,100,93,1201,443,0,1140,63.14
152,,-0.3799654576856649,100,83,1068,310,0,938,63.45
153,,-0.3634064080944351,100,76,1030,345,0,997,63.75
154,,-0.36677240285487706,101,87,1117,367,0,1038,68.55
155,30.09857940673828,-0.3657917019475021,100,73,1035,335,0,992,59.91
156,,-0.3733221476510067,100,80,1382,0,0,1002,57.56
157,,-0.3591184096802074,100,80,1437,0,0,877,65.59
158,,-0.3907335907335907,100,80,1642,0,0,948,58.88
159,,-0.38107511045655373,100,81,1602,0,0,1114,69.82
160,30.136892318725586,-0.3396305625524769,100,71,1480,0,0,902,59.16
161,,-0.37991718426501037,100,85,1315,0,0,1583,69.33
162,,-0.37355907780979825,100,82,1259,0,0,1517,64.23
163,,-0.3708133971291866,100,80,1176,0,0,1332,63.36
164,,-0.35719754977029095,100,77,1102,0,0,1510,64.04
165,45.65973663330078,-0.35084882780921584,100,79,1123,0,0,1351,63.31
166,,-0.36296033994334276,100,83,1244,0,0,1580,71.61
167,,-0.33416046319272125,100,74,1113,0,0,1305,65.86
168,,-0.3915960451977401,100,85,1260,0,0,1572,67.76
169,,-0.3685145700071073,101,80,1268,0,0,1546,69.01
170,25.808509826660156,-0.3714699493120927,101,83,1224,0,0,1538,65.19
171,,-0.36501597444089456,102,74,1110,0,0,1394,65.05
172,,-0.3590289608177172,100,81,1094,0,0,1254,64.3
173,,-0.3779869659666908,102,81,1286,0,0,1476,64.84
174,,-0.36106811145510836,100,76,1070,0,0,1514,66.55
175,39.11817932128906,-0.3725296442687747,101,84,1258,0,0,1778,76.12
176,,-0.3555767397521449,100,75,955,27,0,1116,58.37
177,,-0.3722264728385616,101,75,1151,34,0,1429,60.79
178,,-0.362555720653789,100,81,1191,38,0,1463,66.23
179,,-0.35714285714285715,100,82,1094,29,0,1299,64.38
180,30.270790100097656,-0.3584905660377358,101,76,1216,49,0,1597,69.74
181,,-0.3661753297129558,100,77,1181,0,0,1397,68.67
182,,-0.3549124143183549,100,75,1358,0,0,1268,61.66
183,,-0.3812636165577342,100,84,1296,0,0,1458,67.82
184,,-0.36142172523961663,100,74,1143,0,0,1361,61.03
185,32.93587875366211,-0.37367624810892586,101,78,1275,0,0,1369,67.63
186,,-0.36813643926788686,100,77,1393,0,0,1011,59.46
187,,-0.376056338028169,101,85,1639,0,0,1201,66.14
188,,-0.35284552845528455,100,79,1441,0,0,1019,58.92
189,,-0.35083848190644307,100,74,1268,0,0,998,60.12
190,29.602638244628906,-0.3708301008533747,100,81,1406,0,0,1172,61.93
191,,-0.3560732113144759,100,82,1090,47,0,1267,65.59
192,,-0.36356209150326796,100,87,1080,95,0,1273,61.59
193,,-0.3797224363916731,101,85,1161,106,0,1327,69.03
194,,-0.36973180076628354,100,75,1127,104,0,1379,67.34
195,31.388195037841797,-0.3340909090909091,102,69,1023,75,0,1102,83.36
196,,-0.38666180758017493,100,82,1614,0,0,1130,63.9
197,,-0.358974358974359,102,78,1628,7,0,1095,64.72
198,,-0.36357986326911124,100,88,2045,9,0,1164,69.82
199,,-0.3923658872077029,100,82,1569,18,0,1321,66.79
200,38.139122009277344,-0.36163522012578614,100,78,1328,10,0,1206,64.19
201,,-0.3646341463414634,100,76,1131,170,0,1159,58.35
202,,-0.36248073959938365,100,85,1218,125,0,1253,61.39
203,,-0.36725325172149964,100,82,1188,175,0,1251,65.07
204,,-0.3546666666666667,100,83,1053,168,0,1029,59.29
205,26.083297729492188,-0.3524720893141946,100,73,1044,159,0,1305,65.18
206,,-0.36528497409326427,101,77,1630,312,0,760,63.23
207,,-0.37011070110701105,101,89,1790,244,0,676,62.74
208,,-0.34782608695652173,100,82,1469,170,0,569,60.75
209,,-0.38545953360768176,100,89,2037,180,0,699,69.53
210,56.16343688964844,-0.33202742409402547,100,73,1320,185,0,537,57.01
211,,-0.3956884561891516,100,80,1269,0,0,1607,67.4
212,,-0.3907649896623019,101,86,1272,0,0,1630,68.83
213,,-0.3893026404874746,100,79,1287,0,0,1667,67.87
214,,-0.4014184397163121,100,85,1286,0,0,1534,69.07
215,65.4723129272461,-0.3709319526627219,100,80,1197,0,0,1507,68.12
216,,-0.3882907133243607,100,78,1272,83,0,1617,70.63
217,,-0.36498761354252685,100,73,1099,75,0,1248,58.88
218,,-0.37389558232931724,101,75,1145,45,0,1300,61.02
219,,-0.3794851794071763,100,82,1165,85,0,1314,63.73
220,32.232688903808594,-0.34472573839662446,101,85,1018,64,0,1288,60.18
221,,-0.3595106550907656,100,76,1123,0,0,1411,63.02
222,,-0.38109495295124035,101,82,1064,0,0,1274,63.34
223,,-0.3498402555910543,100,73,1095,0,0,1409,71.84
224,,-0.3556430446194226,101,77,1017,0,0,1269,61.58
225,31.275739669799805,-0.37184115523465705,101,82,1244,0,0,1526,68.8
226,,-0.3635996771589992,100,72,1167,0,0,1311,60.43
227,,-0.37059294871794873,101,77,1108,0,0,1388,73.24
228,,-0.3773987206823028,100,79,1243,0,0,1571,63.85
229,,-0.3538102643856921,100,77,1183,0,0,1389,64.41
230,25.007646560668945,-0.3563129357087529,100,74,1180,0,0,1402,63.97
231,,-0.3443238731218698,100,74,1050,0,0,1346,68.46
232,,-0.35398230088495575,100,78,1103,0,0,1383,66.83
233,,-0.3702485380116959,100,85,1242,0,0,1494,67.26
234,,-0.3827948910593539,101,81,1237,0,0,1425,68.25
235,15.325745582580566,-0.3796829971181556,100,76,1202,0,0,1574,67.24
236,,-0.3704954954954955,100,87,1205,0,0,1459,64.8
237,,-0.36610169491525424,100,81,1436,0,0,1514,66.85
238,,-0.3640495867768595,101,75,1227,0,0,1193,61.92
239,,-0.3766851704996035,100,79,1237,0,0,1285,65.37
240,25.139907836914062,-0.37694588584136396,100,75,1390,0,0,1308,60.69
241,,-0.3580301685891748,101,83,988,105,0,1161,60.8
242,,-0.38,101,82,1101,122,0,1377,63.9
243,,-0.3549000951474786,101,78,964,91,0,1047,58.49
244,,-0.32942238267148016,100,71,1021,152,0,1043,59.61
245,16.008886337280273,-0.3731800766283525,100,78,1129,145,0,1336,75.0
246,,-0.34889867841409694,100,78,1387,299,0,584,62.56
247,,-0.3542770628311885,100,86,1735,355,0,552,60.17
248,,-0.36732533521524346,100,80,1812,357,0,665,63.24
249,,-0.3718454258675079,102,75,1533,354,0,649,63.58
250,18.32676887512207,-0.36199664429530204,100,77,1556,288,0,540,65.44
251,,-0.3763265306122449,100,77,1059,0,0,1391,79.35
252,,-0.37373343725643027,101,73,1098,1,0,1467,64.61
253,,-0.37146321746160066,100,82,1091,0,0,1383,64.71
254,,-0.37882547559966917,101,78,1115,0,0,1303,64.63
255,17.863445281982422,-0.38256227758007116,100,80,1190,0,0,1620,104.45
256,,-0.38536409516943043,101,85,1183,4,0,1587,65.68
257,,-0.34955028618152084,100,77,1105,0,0,1341,64.66
258,,-0.3541341653666147,100,79,1165,0,0,1399,62.8
259,,-0.37261146496815284,100,75,1122,0,0,1390,63.85
260,20.061355590820312,-0.3652024117140396,100,82,1098,0,0,1224,59.91
261,,-0.3459967320261438,100,77,1358,0,0,1090,63.38
262,,-0.3740768094534712,102,79,1400,0,0,1308,60.2
263,,-0.3755813953488372,100,80,1457,0,0,1123,61.72
264,,-0.3509991311902693,100,68,1395,0,0,907,56.37
265,26.15289306640625,-0.3707354056103108,102,86,1320,0,0,1318,68.58
266,,-0.37467277486910994,102,84,1779,23,0,1254,69.83
267,,-0.3821656050955414,100,74,1641,119,0,1066,67.02
268,,-0.3412576687116564,101,76,1501,50,0,1057,61.4
269,,-0.3781609195402299,100,85,1465,47,0,1098,66.53
270,18.533954620361328,-0.3871886120996441,101,87,1646,42,0,1122,67.29
271,,-0.37030075187969924,104,89,1526,0,0,1134,63.44
272,,-0.3780584056827151,101,85,1471,0,0,1063,64.9
273,,-0.35495118549511856,101,82,1634,0,0,1234,65.21
274,,-0.3784046692607004,100,82,1705,0,0,1379,71.97
275,27.32132911682129,-0.3674033149171271,100,76,1543,0,0,1353,68.97
276,,-0.34300184162062614,100,75,1014,8,0,1150,55.16
277,,-0.3547979797979798,101,71,1124,16,0,1236,62.08
278,,-0.35141509433962265,100,76,1112,49,0,1383,63.77
279,,-0.36171875,101,76,1126,29,0,1405,64.52
280,20.825820922851562,-0.387987012987013,100,86,1102,25,0,1337,60.62
281,,-0.3740399385560676,100,84,1190,0,0,1414,62.87
282,,-0.37974230493915534,100,86,1208,0,0,1586,85.02
283,,-0.36387434554973824,101,76,992,0,0,1300,66.27
284,,-0.37933425797503467,100,80,1325,0,0,1559,63.1
285,19.49380111694336,-0.37591776798825255,100,77,1264,0,0,1460,80.57
286,,-0.3751962323390895,100,81,1109,20,0,1419,70.74
287,,-0.37321711568938193,101,79,1101,35,0,1388,62.14
288,,-0.37942477876106195,101,77,1246,37,0,1429,62.32
289,,-0.3889293517844137,100,80,1210,11,0,1525,64.39
290,31.82908821105957,-0.38062700964630225,100,81,1028,44,0,1416,80.63
291,,-0.37337192474674386,100,82,1540,0,0,1224,65.68
292,,-0.3863065326633166,102,90,1675,0,0,1509,67.06
293,,-0.3925081433224756,100,87,1643,0,0,1427,67.97
294,,-0.36752136752136755,100,75,1421,0,0,1153,62.06
295,27.573034286499023,-0.3946095369730477,100,86,1576,0,0,1318,89.44
296,,-0.3823321554770318,100,74,1241,0,0,1589,85.06
297,,-0.38766368022053754,100,75,1250,0,0,1652,71.83
298,,-0.3671875,100,81,1211,0,0,1605,65.2
299,,-0.3446139180171592,100,79,987,0,0,1111,72.89
300,34.006927490234375,-0.3759305210918114,100,80,1050,0,0,1368,80.38
301,,-0.36953184957789714,100,81,1325,130,0,1151,72.44
302,,-0.36791730474732004,100,75,1339,131,0,1142,63.64
303,,-0.36958234830575254,100,80,1284,131,0,1123,60.49
304,,-0.36637239165329055,101,81,1300,121,0,1071,58.02
305,18.425643920898438,-0.3569206842923795,100,75,1330,150,0,1092,78.98
306,,-0.37453737971872686,102,81,1757,69,0,876,61.83
307,,-0.3727469358327325,100,80,1894,109,0,771,62.27
308,,-0.3599374021909233,101,82,1760,48,0,748,57.54
309,,-0.38366666666666666,100,87,1982,96,0,922,69.83
310,30.259876251220703,-0.34330143540669855,100,79,1734,87,0,687,58.05
311,,-0.32911944202266785,100,74,1005,0,0,1289,74.09
312,,-0.37440191387559807,100,80,1108,0,0,1400,65.0
313,,-0.3745247148288973,101,88,1207,0,0,1423,64.14
314,,-0.33965244865718797,100,73,1123,0,0,1409,71.75
315,29.373241424560547,-0.3671135646687697,101,83,1171,0,0,1365,90.33
316,,-0.36094920899250627,100,77,1443,0,0,959,55.33
317,,-0.35732113144758737,100,83,1318,0,0,1086,65.35
318,,-0.3653523489932886,100,84,1349,0,0,1035,65.21
319,,-0.3822314049586777,101,85,1313,0,0,1107,62.57
320,24.876449584960938,-0.3563786008230453,100,76,1560,0,0,870,57.66
321,,-0.3702485380116959,100,80,1133,0,0,1603,66.04
322,,-0.3682699210337401,102,83,1195,0,0,1591,62.06
323,,-0.3726872246696035,100,81,1018,0,0,1252,55.89
324,,-0.37797619047619047,100,81,1208,0,0,1480,63.12
325,29.566585540771484,-0.36092468307233405,100,72,1201,0,0,1481,61.71
326,,-0.3408289241622575,101,76,1009,93,0,1166,64.68
327,,-0.36,100,84,1112,119,0,1269,62.02
328,,-0.3663453111305872,103,79,1004,56,0,1222,80.42
329,,-0.36418359668924005,101,79,1202,110,0,1346,69.68
330,34.57439422607422,-0.35279685966633956,102,80,927,99,0,1012,75.94
331,,-0.34814495254529765,100,83,1046,0,0,1272,71.39
332,,-0.35052377115229655,102,76,1169,0,0,1313,87.64
333,,-0.3585714285714286,100,83,1270,0,0,1530,66.06
334,,-0.3718518518518519,100,76,1263,0,0,1437,65.29
335,35.781211853027344,-0.37054631828978624,101,79,1243,0,0,1283,89.08
336,,-0.39517291066282423,101,90,1230,195,0,1351,61.13
337,,-0.38765432098765434,100,84,1156,193,0,1081,64.8
338,,-0.3679727427597956,100,86,1072,220,0,1056,53.78
339,,-0.375487900078064,101,82,1157,140,0,1265,58.86
