episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV
1,14019.099609375,-0.8084532374100719,1112,899,1698,0,331,195
2,7945.3857421875,-0.6812749003984063,1506,1026,2415,259,0,338
3,3173.72900390625,-0.7288851351351351,2368,1726,4672,12,0,52
4,1502.674560546875,-0.589416763229046,2589,1526,3187,1940,51,0
5,1973.47314453125,-0.7406181015452539,906,671,595,1090,127,0
6,1789.64794921875,-0.6165489404641776,991,611,319,1371,292,0
7,1927.426025390625,-0.5944954128440367,545,324,443,346,257,44
8,1121.434326171875,-0.5842450765864332,457,267,387,263,244,20
9,987.0814819335938,-0.7142857142857143,805,575,538,616,395,61
10,733.8950805664062,-0.711755233494364,621,442,576,105,536,25
11,635.4058227539062,-0.7639243740419008,1957,1495,830,3048,7,29
12,400.349853515625,-0.8795355587808418,689,606,1126,125,117,10
13,455.47308349609375,-0.7076461769115442,667,472,568,127,601,38
14,404.8962097167969,-0.7294642857142857,1120,817,913,267,1018,42
15,239.97923278808594,-0.710828025477707,785,558,1147,238,30,155
