episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,384.9293212890625,-2.6153846153846154,8,61.61,0.99802,6,26,10,12,0,6
2,395.2635498046875,0.8888888888888888,11,60.11,0.99604,4,45,13,19,0,15
3,363.45526123046875,-3.3,4,60.25,0.99406,4,20,7,6,0,7
4,329.15594482421875,0.6229508196721312,20,55.54,0.9920800000000001,8,61,22,21,0,20
5,300.2156677246094,-0.3235294117647059,20,56.73,0.9901000000000001,10,68,25,18,0,25
6,308.20166015625,0.6060606060606061,10,60.37,0.9881200000000001,4,66,26,21,0,21
7,373.2352600097656,-0.09523809523809523,12,60.56,0.9861400000000001,6,42,16,15,0,11
8,356.92657470703125,-1.1153846153846154,8,60.41,0.9841600000000001,6,52,24,14,0,18
9,326.79058837890625,1.6071428571428572,10,60.35,0.9821800000000002,2,56,18,19,0,21
10,343.0251770019531,-1.9375,10,60.02,0.9802000000000002,6,32,9,14,0,9
11,290.38067626953125,-0.47619047619047616,12,60.1,0.9782200000000002,6,42,13,14,0,15
12,325.603759765625,0.20689655172413793,12,61.63,0.9762400000000002,4,58,16,18,0,28
13,318.08026123046875,0.04878048780487805,16,63.82,0.9742600000000002,6,82,19,25,0,38
14,373.4503173828125,0.875,6,62.86,0.9722800000000003,2,32,11,10,0,11
15,365.095947265625,1.2222222222222223,20,41.96,0.9703000000000003,4,90,30,30,0,32
16,279.30902099609375,1.6,6,62.98,0.9683200000000003,0,50,16,16,0,20
17,321.6794128417969,-0.02857142857142857,12,63.46,0.9663400000000003,6,70,24,23,0,25
18,361.4654846191406,0.8076923076923077,10,63.15,0.9643600000000003,4,52,20,16,0,18
19,315.75823974609375,0.2857142857142857,12,63.31,0.9623800000000003,4,56,15,23,0,18
20,339.8208923339844,-4.285714285714286,12,63.14,0.9604000000000004,10,28,9,14,0,7
21,345.68475341796875,0.3333333333333333,10,62.97,0.9584200000000004,4,78,27,19,0,32
22,323.7443542480469,1.891304347826087,18,63.43,0.9564400000000004,2,92,29,32,0,35
23,290.4624938964844,1.588235294117647,14,63.14,0.9544600000000004,4,68,23,21,0,26
24,324.443603515625,0.9404761904761905,20,58.79,0.9524800000000004,6,84,23,38,0,29
25,334.14581298828125,0.22105263157894736,14,63.71,0.9505000000000005,6,95,37,26,0,36
26,291.4040222167969,0.9516129032258065,12,63.25,0.9485200000000005,4,124,40,30,0,58
27,349.2374572753906,1.967741935483871,16,63.4,0.9465400000000005,4,62,20,21,0,21
28,281.04443359375,1.0,10,63.18,0.9445600000000005,4,38,7,12,0,19
29,283.96173095703125,0.6989247311827957,17,60.51,0.9425800000000005,6,93,26,31,0,36
30,307.13946533203125,1.4545454545454546,13,59.89,0.9406000000000005,4,55,21,16,0,22
31,327.7513427734375,-0.49411764705882355,20,56.18,0.9386200000000006,10,85,28,27,0,32
32,294.9395446777344,-0.5526315789473685,16,60.08,0.9366400000000006,8,76,26,14,0,36
33,261.7556457519531,1.9666666666666666,18,59.96,0.9346600000000006,4,60,21,15,0,24
34,271.89111328125,-0.34782608695652173,10,59.8,0.9326800000000006,6,46,15,16,0,17
35,279.72216796875,1.8222222222222222,18,59.88,0.9307000000000006,2,90,29,30,0,31
36,258.1583251953125,-2.0,8,60.01,0.9287200000000007,6,38,9,12,0,19
37,259.12188720703125,0.8787878787878788,12,60.03,0.9267400000000007,4,66,21,13,0,32
38,304.36651611328125,-0.08333333333333333,16,59.75,0.9247600000000007,8,72,22,22,0,28
39,269.537841796875,-2.380952380952381,10,59.91,0.9227800000000007,8,42,13,11,0,18
40,255.70814514160156,1.2692307692307692,14,59.88,0.9208000000000007,4,52,14,18,0,20
41,271.3739318847656,2.05,10,60.13,0.9188200000000007,2,40,9,19,0,12
42,285.88055419921875,1.1044776119402986,14,59.78,0.9168400000000008,4,67,21,21,0,27
43,265.6347961425781,1.3461538461538463,12,59.86,0.9148600000000008,4,52,17,17,0,18
44,237.83773803710938,1.0,10,59.82,0.9128800000000008,2,50,13,18,0,21
45,271.85150146484375,-1.1428571428571428,10,59.85,0.9109000000000008,6,42,14,12,0,16
46,249.35189819335938,1.92,20,55.01,0.9089200000000008,2,100,33,35,0,34
47,234.5319366455078,-1.3181818181818181,12,60.12,0.9069400000000009,8,44,14,14,0,18
48,230.51895141601562,0.05128205128205128,14,59.89,0.9049600000000009,6,78,22,27,0,29
49,247.0526123046875,0.8620689655172413,14,59.89,0.9029800000000009,4,58,19,17,0,26
50,247.81277465820312,0.05263157894736842,14,60.03,0.9010000000000009,6,76,26,21,0,33
