episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-5.391304347826087,18,60.85,1.0,16,46,17,7,0,22
2,922189.75,-0.8108108108108109,20,59.72,0.9981,8,74,31,27,0,20
3,,-3.8461538461538463,20,57.4,0.9981,14,52,20,19,0,17
4,757400.8125,1.5,20,30.78,0.9962,2,64,18,29,0,21
5,,-0.15151515151515152,20,43.66,0.9962,6,66,28,17,0,23
6,472166.40625,0.5795454545454546,21,19.13,0.9943,6,88,34,27,0,29
7,,-1.5348837209302326,20,58.43,0.9943,12,86,27,37,0,24
8,347633.375,-3.819672131147541,18,61.03,0.9924,16,61,16,23,0,22
9,,-0.24242424242424243,20,49.68,0.9924,6,66,26,20,0,22
10,175358.21875,-3.0,18,60.93,0.9904999999999999,14,64,27,14,0,23
11,,-1.8918918918918919,20,57.33,0.9904999999999999,12,74,27,23,0,26
12,113749.859375,-1.6551724137931034,20,57.42,0.9885999999999999,12,58,22,16,0,22
13,,-2.7058823529411766,20,57.81,0.9885999999999999,14,68,21,19,0,30
14,65788.46875,-0.9587628865979382,20,39.77,0.9866999999999999,8,97,32,42,0,27
15,,0.9302325581395349,20,51.12,0.9866999999999999,2,86,41,21,0,26
16,34454.2421875,-0.7254901960784313,20,42.8,0.9847999999999999,8,51,26,13,0,16
