episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-6.166666666666667,20,50.12,1.0,18,48,16,14,0,20
2,11.691309928894043,-0.8604651162790697,20,22.63,0.9981,6,43,22,9,0,16
3,,-2.782608695652174,20,29.65,0.9981,12,46,17,17,0,14
4,10.797186851501465,-2.0,20,34.62,0.9962,12,60,23,20,0,19
5,,-3.7419354838709675,20,39.85,0.9962,16,62,23,22,0,19
6,10.919063568115234,-1.9090909090909092,20,34.89,0.9943,10,66,22,22,0,28
7,,-3.0357142857142856,20,40.69,0.9943,12,56,15,25,0,18
8,9.945104598999023,-2.338235294117647,21,34.25,0.9924,14,68,27,22,0,21
9,,-3.7962962962962963,20,34.16,0.9924,13,54,25,18,0,15
10,9.422968864440918,-2.6052631578947367,20,39.94,0.9904999999999999,14,76,23,25,0,30
11,,-1.9137931034482758,20,32.73,0.9904999999999999,10,58,28,22,0,14
12,11.28338623046875,-2.68,20,33.98,0.9885999999999999,10,50,20,15,0,21
13,,-1.9795918367346939,20,33.41,0.9885999999999999,10,49,15,19,0,17
14,11.065417289733887,-0.42857142857142855,21,20.93,0.9866999999999999,4,56,21,26,0,14
15,,0.7976190476190477,23,19.32,0.9866999999999999,2,84,36,24,0,33
16,9.605260848999023,-1.2535211267605635,21,39.18,0.9847999999999999,10,71,20,28,0,27
17,,-1.0229885057471264,20,27.4,0.9847999999999999,8,87,39,23,0,27
18,8.498490333557129,-0.7794117647058824,20,15.89,0.9828999999999999,6,68,23,20,0,30
19,,-1.492063492063492,20,33.87,0.9828999999999999,8,63,21,25,0,21
20,9.79223918914795,-5.076923076923077,20,42.87,0.9809999999999999,16,52,17,18,0,19
21,,-1.435483870967742,20,28.76,0.9809999999999999,10,62,25,24,0,15
22,7.284427642822266,-3.1739130434782608,20,43.09,0.9790999999999999,12,46,14,18,0,18
23,,0.208955223880597,21,28.22,0.9790999999999999,4,67,23,26,0,20
24,8.300312995910645,-0.7922077922077922,21,26.26,0.9771999999999998,8,77,26,27,0,30
25,,-1.303370786516854,20,34.16,0.9771999999999998,10,89,36,31,0,26
26,7.9755730628967285,-1.3375,21,24.07,0.9752999999999998,10,80,38,22,0,24
27,,-2.7,21,39.66,0.9752999999999998,12,60,23,17,0,24
28,8.589896202087402,-1.0,21,30.89,0.9733999999999998,8,75,24,27,0,26
29,,-3.433333333333333,20,39.99,0.9733999999999998,14,60,21,21,0,22
30,8.762031555175781,-2.8260869565217392,20,29.82,0.9714999999999998,10,46,11,25,0,16
31,,-0.8,20,17.17,0.9714999999999998,6,50,19,23,0,12
32,8.344583511352539,-1.9264705882352942,20,30.2,0.9695999999999998,10,68,22,27,0,23
33,,0.22972972972972974,20,21.39,0.9695999999999998,4,74,24,26,0,28
34,6.839895725250244,-1.1584158415841583,20,29.59,0.9676999999999998,8,101,27,48,0,31
35,,-3.1818181818181817,21,39.9,0.9676999999999998,10,44,17,15,0,17
36,7.29197883605957,-1.1428571428571428,20,24.52,0.9657999999999998,8,63,24,25,0,18
37,,-1.0135135135135136,20,27.67,0.9657999999999998,8,74,20,26,0,34
38,10.957864761352539,-2.4307692307692306,20,44.39,0.9638999999999998,12,65,21,19,0,27
39,,-2.3703703703703702,20,34.58,0.9638999999999998,10,54,20,17,0,21
40,9.284948348999023,-1.9491525423728813,20,34.73,0.9619999999999997,12,59,18,25,0,18
41,,-1.3880597014925373,21,39.68,0.9619999999999997,12,67,28,25,0,16
42,8.925052642822266,-1.3333333333333333,20,25.16,0.9600999999999997,8,57,21,15,0,23
43,,-2.4383561643835616,20,34.83,0.9600999999999997,14,73,21,26,0,28
44,7.87765645980835,-0.4117647058823529,20,22.3,0.9581999999999997,6,68,25,25,0,23
45,,-2.238095238095238,20,29.42,0.9581999999999997,12,63,28,21,0,18
46,8.125312805175781,-0.25396825396825395,21,29.55,0.9562999999999997,6,63,21,24,0,24
47,,-0.5230769230769231,21,24.4,0.9562999999999997,6,65,20,36,0,18
48,8.397448539733887,-2.2,20,35.13,0.9543999999999997,12,65,17,28,0,22
49,,0.38,21,18.92,0.9543999999999997,4,50,16,28,0,12
50,7.885468482971191,0.09375,20,21.85,0.9524999999999997,4,64,21,23,0,26
51,,-3.6271186440677967,20,39.03,0.9524999999999997,14,59,17,24,0,20
52,8.137812614440918,-0.04918032786885246,21,29.53,0.9505999999999997,4,61,19,24,0,20
53,,-4.763636363636364,20,35.33,0.9505999999999997,14,55,21,22,0,16
54,9.412031173706055,-0.6428571428571429,20,34.92,0.9486999999999997,6,56,25,16,0,19
55,,-0.7894736842105263,20,29.39,0.9486999999999997,6,76,30,23,0,26
56,8.575312614440918,-2.1864406779661016,21,39.45,0.9467999999999996,12,59,15,20,0,26
57,,-2.347826086956522,20,30.23,0.9467999999999996,10,46,17,19,0,14
58,8.915937423706055,-0.9166666666666666,20,24.71,0.9448999999999996,6,48,16,27,0,11
59,,0.36619718309859156,22,18.89,0.9448999999999996,4,71,23,34,0,17
60,7.717761039733887,-3.3125,20,44.55,0.9429999999999996,14,64,20,22,0,24
61,,-1.6,20,27.44,0.9429999999999996,7,40,16,16,0,13
62,8.141488075256348,-3.2666666666666666,20,44.25,0.9410999999999996,12,60,21,25,0,18
63,,-2.6818181818181817,20,34.59,0.9410999999999996,10,44,14,15,0,21
64,7.482083320617676,-2.9571428571428573,20,34.52,0.9391999999999996,14,70,24,22,0,28
65,,-4.645161290322581,20,47.87,0.9391999999999996,16,62,25,24,0,15
66,8.263334274291992,-0.9411764705882353,21,28.82,0.9372999999999996,8,51,11,24,0,18
67,,-0.5641025641025641,20,34.57,0.9372999999999996,6,78,26,23,0,31
68,7.60812520980835,-2.7083333333333335,20,34.37,0.9353999999999996,12,48,16,17,0,17
69,,-0.6607142857142857,20,22.16,0.9353999999999996,6,56,15,26,0,19
70,8.972448348999023,-2.185185185185185,20,29.92,0.9334999999999996,11,54,15,28,0,17
71,,-2.966666666666667,20,36.46,0.9334999999999996,12,60,20,22,0,21
72,7.868541717529297,-1.8666666666666667,21,24.68,0.9315999999999995,8,45,17,23,0,12
73,,-1.922077922077922,20,30.3,0.9315999999999995,8,77,25,30,0,26
74,8.605260848999023,-1.4383561643835616,20,30.35,0.9296999999999995,6,73,29,30,0,21
75,,-2.4038461538461537,21,38.57,0.9296999999999995,12,52,16,14,0,24
76,7.62557315826416,-0.9436619718309859,20,19.12,0.9277999999999995,8,71,26,25,0,25
77,,-2.0,20,25.63,0.9277999999999995,10,78,35,29,0,20
78,8.852657318115234,-5.439024390243903,20,40.39,0.9258999999999995,16,41,14,19,0,10
79,,-2.4545454545454546,20,37.22,0.9258999999999995,12,66,21,27,0,20
80,8.44354248046875,-1.0441176470588236,21,24.38,0.9239999999999995,8,68,27,25,0,18
81,,-1.0909090909090908,20,24.02,0.9239999999999995,8,77,29,28,0,22
82,9.130260467529297,-0.046153846153846156,21,32.15,0.9220999999999995,6,65,18,36,0,13
83,,-4.545454545454546,20,41.23,0.9220999999999995,14,44,13,20,0,14
84,9.364635467529297,-1.5797101449275361,21,29.49,0.9201999999999995,10,69,23,29,0,21
85,,-3.9655172413793105,21,34.55,0.9201999999999995,14,58,19,27,0,17
86,7.2612504959106445,-6.12,20,49.84,0.9182999999999995,18,50,9,18,0,25
87,,-7.5,20,49.65,0.9182999999999995,18,36,12,15,0,11
88,8.416979789733887,-0.7931034482758621,20,34.59,0.9163999999999994,8,58,17,21,0,24
89,,-6.9,20,50.12,0.9163999999999994,18,40,14,16,0,12
90,9.064635276794434,-2.1733333333333333,21,39.56,0.9144999999999994,14,75,29,26,0,22
91,,-5.045454545454546,20,40.85,0.9144999999999994,14,44,14,20,0,14
92,9.200834274291992,-2.1025641025641026,20,27.48,0.9125999999999994,12,78,24,24,0,32
93,,-2.217391304347826,20,35.99,0.9125999999999994,11,69,23,28,0,22
94,8.559947967529297,-4.333333333333333,20,38.88,0.9106999999999994,16,45,13,18,0,16
95,,-1.0655737704918034,21,24.1,0.9106999999999994,8,61,19,26,0,18
96,8.035208702087402,-2.131868131868132,20,40.13,0.9087999999999994,12,91,31,36,0,26
97,,-0.5714285714285714,20,21.42,0.9087999999999994,6,56,16,27,0,18
98,9.642239570617676,-0.29545454545454547,20,26.19,0.9068999999999994,8,88,33,34,0,25
99,,-5.888888888888889,20,49.78,0.9068999999999994,18,54,14,24,0,18
100,8.476353645324707,-1.0,20,24.53,0.9049999999999994,8,71,26,27,0,20
101,,-0.17567567567567569,20,24.81,0.9049999999999994,4,74,23,33,0,25
102,7.778177261352539,-0.7727272727272727,20,20.77,0.9030999999999993,8,66,18,29,0,22
103,,-1.7671232876712328,20,28.39,0.9030999999999993,11,73,20,36,0,21
104,8.889114379882812,-1.4651162790697674,20,44.84,0.9011999999999993,10,86,27,34,0,27
105,,-1.5365853658536586,20,30.18,0.9011999999999993,8,41,14,18,0,13
106,7.324271202087402,-1.4558823529411764,20,32.32,0.8992999999999993,10,68,17,29,0,25
107,,-0.5595238095238095,20,34.58,0.8992999999999993,8,84,29,34,0,23
108,9.10760498046875,-4.857142857142857,20,45.06,0.8973999999999993,14,42,9,18,0,19
109,,-0.8333333333333334,20,31.14,0.8973999999999993,8,54,16,23,0,17
110,7.68807315826416,-3.206896551724138,20,42.7,0.8954999999999993,14,58,19,26,0,16
111,,-0.5,21,29.88,0.8954999999999993,8,68,17,36,0,17
112,8.382864952087402,-2.3902439024390243,20,50.2,0.8935999999999993,12,82,26,37,0,21
113,,-1.088235294117647,21,26.28,0.8935999999999993,8,68,27,26,0,20
114,9.232864379882812,-1.088235294117647,21,24.31,0.8916999999999993,10,68,22,24,0,26
115,,-1.7627118644067796,21,40.29,0.8916999999999993,11,59,15,24,0,24
116,8.273229598999023,-1.04,20,19.74,0.8897999999999993,8,50,16,28,0,12
117,,-4.8,20,50.21,0.8897999999999993,16,50,19,19,0,14
118,7.888854026794434,-1.12987012987013,20,41.17,0.8878999999999992,8,77,27,25,0,29
119,,0.9420289855072463,20,19.23,0.8878999999999992,2,69,23,27,0,24
120,9.221145629882812,-2.3962264150943398,21,35.22,0.8859999999999992,10,53,22,18,0,19
121,,-1.7246376811594204,20,25.65,0.8859999999999992,10,69,17,35,0,21
122,7.80526065826416,0.23728813559322035,21,15.46,0.8840999999999992,4,59,27,24,0,15
123,,-4.531914893617022,20,40.07,0.8840999999999992,14,47,16,18,0,16
124,9.095625877380371,-0.8205128205128205,20,24.55,0.8821999999999992,7,78,27,33,0,20
125,,-3.1785714285714284,20,39.63,0.8821999999999992,14,56,17,30,0,11
126,7.611250400543213,-1.411764705882353,20,29.2,0.8802999999999992,10,51,17,21,0,15
127,,-6.476190476190476,20,50.26,0.8802999999999992,18,42,8,16,0,20
128,8.403437614440918,-0.030303030303030304,20,18.86,0.8783999999999992,6,66,17,36,0,17
129,,0.09433962264150944,20,25.52,0.8783999999999992,2,106,41,43,0,27
130,7.782864570617676,-2.125,20,39.68,0.8764999999999992,12,64,17,32,0,18
131,,-2.0338983050847457,20,18.35,0.8764999999999992,11,59,24,28,0,12
132,9.29901123046875,-0.6078431372549019,21,34.96,0.8745999999999992,6,51,14,26,0,19
133,,-4.590909090909091,20,44.6,0.8745999999999992,14,44,16,19,0,11
134,7.432865142822266,-1.2528735632183907,21,23.91,0.8726999999999991,10,87,24,38,0,27
135,,-2.3582089552238807,21,40.27,0.8726999999999991,10,67,19,30,0,24
136,7.615156173706055,-1.7397260273972603,20,25.26,0.8707999999999991,11,73,29,33,0,15
137,,-3.9130434782608696,20,39.28,0.8707999999999991,12,46,13,19,0,18
138,6.796667098999023,-0.9859154929577465,20,24.2,0.8688999999999991,6,71,24,29,0,24
139,,-0.19230769230769232,20,24.86,0.8688999999999991,6,52,23,20,0,13
140,6.403958797454834,-4.25,20,49.63,0.8669999999999991,16,64,20,24,0,22
141,,-3.6470588235294117,20,32.98,0.8669999999999991,12,51,12,27,0,15
142,8.158124923706055,-3.0444444444444443,20,30.78,0.8650999999999991,12,45,10,19,0,20
143,,-3.4871794871794872,20,29.01,0.8650999999999991,12,39,11,18,0,14
144,8.55135440826416,-1.2678571428571428,20,34.4,0.8631999999999991,8,56,19,19,0,20
145,,-2.7777777777777777,20,39.42,0.8631999999999991,12,54,16,26,0,16
146,9.765676498413086,-0.8888888888888888,22,19.03,0.8612999999999991,10,63,14,31,0,22
147,,-3.1333333333333333,20,44.77,0.8612999999999991,14,60,20,18,0,24
148,8.429739952087402,-2.4150943396226414,20,40.26,0.859399999999999,10,53,14,26,0,17
149,,-1.024390243902439,20,16.23,0.859399999999999,8,41,11,25,0,9
150,7.7797393798828125,-4.48,20,45.7,0.857499999999999,14,50,17,18,0,19
151,,-2.719298245614035,20,38.44,0.857499999999999,14,57,16,25,0,18
152,7.909948348999023,-0.4666666666666667,21,20.91,0.855599999999999,4,60,25,25,0,17
153,,-2.961038961038961,21,43.74,0.855599999999999,14,77,17,36,0,29
154,8.074010848999023,-0.9682539682539683,20,19.81,0.853699999999999,8,63,15,28,0,24
155,,0.32432432432432434,20,25.81,0.853699999999999,4,74,27,33,0,19
156,8.863594055175781,-3.1538461538461537,20,34.19,0.851799999999999,14,65,21,26,0,20
157,,-2.1666666666666665,20,34.05,0.851799999999999,10,60,22,25,0,17
158,9.265156745910645,-2.142857142857143,20,33.83,0.849899999999999,10,56,21,23,0,14
159,,-5.45,20,39.11,0.849899999999999,16,40,8,17,0,17
160,9.088333129882812,0.38095238095238093,20,26.08,0.847999999999999,4,84,33,30,0,28
161,,-0.9733333333333334,20,29.22,0.847999999999999,8,75,19,37,0,21
162,9.242239952087402,-2.7719298245614037,20,39.7,0.846099999999999,13,57,19,29,0,11
163,,-1.8679245283018868,20,29.34,0.846099999999999,12,53,11,27,0,19
164,7.971927642822266,-2.7,21,29.04,0.844199999999999,12,70,22,32,0,21
165,,-0.06666666666666667,21,24.31,0.844199999999999,8,60,23,26,0,14
166,9.557343482971191,-0.47058823529411764,20,28.77,0.8422999999999989,6,68,18,33,0,21
167,,-0.06451612903225806,21,24.92,0.8422999999999989,6,62,22,26,0,19
168,6.8089070320129395,0.4666666666666667,20,20.48,0.8403999999999989,5,45,12,21,0,15
169,,-2.727272727272727,20,34.0,0.8403999999999989,12,55,18,20,0,21
170,8.223750114440918,-0.25925925925925924,21,26.08,0.8384999999999989,6,54,17,19,0,22
171,,-2.2542372881355934,20,29.67,0.8384999999999989,11,59,20,25,0,19
172,7.454999923706055,-1.5180722891566265,20,29.63,0.8365999999999989,8,83,23,40,0,22
173,,-1.1290322580645162,20,29.66,0.8365999999999989,8,62,18,32,0,16
174,8.300052642822266,-0.08695652173913043,20,21.01,0.8346999999999989,4,69,16,46,0,12
175,,-3.25,21,35.29,0.8346999999999989,12,48,15,28,0,10
176,8.906042098999023,-1.6071428571428572,20,21.13,0.8327999999999989,8,56,12,30,0,20
177,,-2.603448275862069,21,29.77,0.8327999999999989,14,58,16,34,0,13
178,7.49666690826416,-1.0823529411764705,20,25.97,0.8308999999999989,10,85,20,43,0,24
179,,-0.9861111111111112,20,26.85,0.8308999999999989,8,72,18,35,0,21
180,8.672187805175781,-0.06779661016949153,20,19.66,0.8289999999999988,6,59,20,27,0,16
181,,1.0,20,17.07,0.8289999999999988,4,46,11,23,0,16
182,7.485468864440918,-2.0142857142857142,21,43.89,0.8270999999999988,12,70,18,29,0,27
183,,-1.8461538461538463,20,39.58,0.8270999999999988,10,52,18,29,0,9
184,10.194583892822266,-1.3333333333333333,20,27.45,0.8251999999999988,8,54,14,28,0,15
185,,-1.278688524590164,21,29.99,0.8251999999999988,8,61,18,31,0,19
186,7.352916717529297,-1.626865671641791,20,39.26,0.8232999999999988,10,67,14,32,0,23
187,,-1.4477611940298507,20,24.15,0.8232999999999988,8,67,20,33,0,20
188,9.220625877380371,-2.63265306122449,20,29.32,0.8213999999999988,8,49,12,29,0,14
189,,-4.659090909090909,20,26.3,0.8213999999999988,12,44,11,19,0,19
190,10.882604598999023,-1.56,20,34.7,0.8194999999999988,8,50,19,23,0,14
191,,-1.2063492063492063,21,19.32,0.8194999999999988,12,63,20,28,0,18
192,8.109427452087402,-3.6785714285714284,21,35.61,0.8175999999999988,17,56,22,22,0,14
193,,-1.0204081632653061,20,24.42,0.8175999999999988,6,49,18,28,0,13
194,8.134166717529297,-2.1481481481481484,20,39.35,0.8156999999999988,10,54,15,25,0,18
195,,-1.2115384615384615,20,21.76,0.8156999999999988,9,52,22,25,0,9
196,9.183385848999023,-1.5,20,18.98,0.8137999999999987,8,62,16,33,0,18
197,,-1.1041666666666667,21,25.93,0.8137999999999987,8,48,14,25,0,13
198,8.629219055175781,-0.7833333333333333,20,29.3,0.8118999999999987,6,60,23,24,0,19
199,,0.5222222222222223,21,24.17,0.8118999999999987,4,90,26,44,0,24
200,8.631823539733887,-1.72,20,31.09,0.8099999999999987,8,50,12,30,0,12
201,,-1.8970588235294117,20,34.73,0.8099999999999987,10,68,24,32,0,18
202,8.409947395324707,-1.6129032258064515,21,44.61,0.8080999999999987,10,62,18,24,0,25
203,,-3.8076923076923075,20,39.25,0.8080999999999987,12,52,15,23,0,20
204,8.182865142822266,-3.522727272727273,20,34.32,0.8061999999999987,13,44,15,13,0,18
205,,-1.8837209302325582,21,44.39,0.8061999999999987,10,86,20,46,0,24
206,8.739635467529297,-1.2470588235294118,21,32.68,0.8042999999999987,10,85,19,40,0,30
207,,-0.24242424242424243,20,18.41,0.8042999999999987,4,66,25,30,0,17
208,7.477396011352539,-1.4576271186440677,21,34.11,0.8023999999999987,9,59,19,26,0,16
209,,-2.1153846153846154,20,34.01,0.8023999999999987,10,52,14,27,0,15
210,10.570364952087402,-2.8518518518518516,20,39.48,0.8004999999999987,14,54,11,28,0,17
211,,-1.725,20,30.9,0.8004999999999987,10,80,22,46,0,16
212,9.281824111938477,-2.1228070175438596,20,44.8,0.7985999999999986,12,57,21,26,0,12
213,,-6.409090909090909,20,49.88,0.7985999999999986,18,44,16,19,0,11
214,8.184687614440918,-7.25,20,49.49,0.7966999999999986,18,40,9,16,0,17
215,,-2.380281690140845,21,34.63,0.7966999999999986,10,71,23,34,0,18
216,9.183125495910645,0.5277777777777778,20,19.51,0.7947999999999986,2,36,5,25,0,13
217,,-2.888888888888889,20,44.84,0.7947999999999986,12,72,23,30,0,23
218,7.511771202087402,-0.574468085106383,20,22.99,0.7928999999999986,6,47,10,22,0,17
219,,-2.021276595744681,20,34.5,0.7928999999999986,11,47,12,21,0,17
220,8.96932315826416,-5.428571428571429,20,49.56,0.7909999999999986,16,42,13,18,0,13
221,,-1.4074074074074074,20,29.16,0.7909999999999986,8,54,16,28,0,18
222,8.967761039733887,-2.2777777777777777,20,30.1,0.7890999999999986,12,54,14,36,0,7
223,,-0.7894736842105263,20,34.32,0.7890999999999986,6,76,19,37,0,22
224,6.620104789733887,-0.2631578947368421,20,25.9,0.7871999999999986,5,57,18,32,0,12
225,,-1.4615384615384615,21,29.82,0.7871999999999986,10,78,21,45,0,16
226,8.503177642822266,-1.8412698412698412,21,39.36,0.7852999999999986,11,63,16,30,0,19
227,,0.4461538461538462,21,24.24,0.7852999999999986,5,65,12,35,0,20
228,9.795624732971191,-6.476190476190476,20,49.12,0.7833999999999985,18,42,14,18,0,12
229,,-0.4057971014492754,20,21.22,0.7833999999999985,8,69,14,41,0,17
230,7.403437614440918,-1.0,20,25.54,0.7814999999999985,8,45,11,23,0,15
231,,0.5512820512820513,23,24.96,0.7814999999999985,6,78,22,48,0,14
232,8.792500495910645,-0.01818181818181818,22,24.63,0.7795999999999985,6,55,10,35,0,17
233,,-2.4177215189873418,20,39.73,0.7795999999999985,14,79,21,35,0,25
234,6.742500305175781,-1.3918918918918919,21,23.81,0.7776999999999985,10,74,23,38,0,15
235,,-1.0806451612903225,21,30.16,0.7776999999999985,10,62,15,31,0,18
236,7.58260440826416,-0.8888888888888888,20,24.37,0.7757999999999985,9,63,23,26,0,16
237,,-2.066666666666667,20,29.06,0.7757999999999985,10,60,15,28,0,19
238,8.891458511352539,-1.088235294117647,20,29.15,0.7738999999999985,8,68,23,28,0,21
239,,-0.40789473684210525,20,23.91,0.7738999999999985,8,76,19,44,0,17
240,8.288333892822266,-2.347826086956522,20,34.17,0.7719999999999985,12,69,14,37,0,20
241,,-0.2857142857142857,21,25.77,0.7719999999999985,4,63,19,28,0,20
242,8.449531555175781,-1.7580645161290323,20,27.67,0.7700999999999985,6,62,17,31,0,22
243,,-1.7241379310344827,20,29.93,0.7700999999999985,8,58,13,36,0,11
244,9.104740142822266,-0.576271186440678,20,30.12,0.7681999999999984,8,59,16,33,0,12
245,,-0.88,21,26.58,0.7681999999999984,8,50,10,33,0,11
246,8.205521583557129,-1.6444444444444444,20,24.25,0.7662999999999984,9,45,9,28,0,12
247,,0.05454545454545454,21,21.39,0.7662999999999984,4,55,11,42,0,7
248,8.236510276794434,-1.72,20,29.46,0.7643999999999984,8,50,14,26,0,16
249,,-2.5454545454545454,22,29.57,0.7643999999999984,10,44,7,30,0,13
250,9.833646774291992,-0.1694915254237288,21,29.2,0.7624999999999984,6,59,21,29,0,13
251,,-2.206896551724138,20,34.64,0.7624999999999984,10,58,17,35,0,11
252,8.491718292236328,-2.116279069767442,20,30.76,0.7605999999999984,8,43,13,21,0,13
