episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,0.3425925925925926,21,41.18,1.0,4,108,37,33,0,42
2,188545.140625,-0.3488372093023256,20,47.87,0.9981,8,86,28,27,0,33
3,,-4.607142857142857,18,57.66,0.9981,16,56,13,17,0,26
4,167680.84375,-1.5769230769230769,20,41.41,0.9962,8,104,37,36,0,35
5,,-3.28125,18,57.72,0.9962,14,64,22,24,0,18
6,176093.8125,-1.4651162790697674,20,60.04,0.9943,10,86,36,26,0,26
7,,-2.586206896551724,18,57.49,0.9943,12,58,15,23,0,20
8,138777.96875,-3.142857142857143,20,60.02,0.9924,14,70,28,21,0,23
9,,-0.17073170731707318,20,31.66,0.9924,8,82,25,29,0,32
10,106994.921875,-4.241379310344827,18,57.56,0.9904999999999999,16,58,15,21,0,22
11,,-3.6333333333333333,20,60.55,0.9904999999999999,14,60,19,23,0,20
12,73039.1328125,-0.9425287356321839,20,21.06,0.9885999999999999,8,87,32,29,0,30
13,,-1.6176470588235294,18,57.98,0.9885999999999999,10,68,23,22,0,25
14,66007.390625,-3.032258064516129,20,60.27,0.9866999999999999,14,62,17,27,0,20
15,,-3.2580645161290325,18,57.5,0.9866999999999999,14,62,17,22,0,23
16,44277.39453125,-4.24,20,54.37,0.9847999999999999,14,50,16,20,0,16
17,,-5.076923076923077,18,57.9,0.9847999999999999,16,52,16,22,0,16
18,19942.076171875,-1.7272727272727273,20,46.65,0.9828999999999999,12,88,24,34,0,32
19,,-4.962962962962963,18,57.9,0.9828999999999999,16,54,20,14,0,20
20,22946.4765625,-1.205128205128205,20,50.38,0.9809999999999999,8,78,26,26,0,28
21,,-2.0,18,57.9,0.9809999999999999,12,96,31,29,0,36
22,14821.552734375,-1.9242424242424243,20,28.45,0.9790999999999999,10,66,19,23,0,28
23,,-3.3,18,57.6,0.9790999999999999,14,60,12,25,0,23
24,13991.607421875,-3.129032258064516,20,60.77,0.9771999999999998,14,62,23,19,0,22
25,,-0.7567567567567568,20,48.2,0.9771999999999998,6,74,24,27,0,25
26,23617.8828125,-3.8125,18,57.8,0.9752999999999998,16,64,21,12,0,31
