episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-3.0256410256410255,18,57.74,1.0,16,78,24,21,0,33
2,,-0.35294117647058826,21,43.84,1.0,8,68,27,26,0,18
3,,0.5058823529411764,21,42.02,1.0,4,85,31,32,0,24
4,34244.60546875,0.14583333333333334,21,42.11,0.9981,6,96,39,27,0,35
5,,-1.8863636363636365,20,48.62,0.9981,12,88,31,25,0,36
6,,-1.65,20,57.27,0.9981,12,80,34,27,0,21
7,,-0.45161290322580644,20,43.83,0.9981,8,62,30,17,0,17
8,12064.439453125,-1.6888888888888889,18,59.18,0.9962,12,90,25,32,0,33
9,,-0.3375,21,45.14,0.9962,8,80,36,24,0,22
10,,-0.9186046511627907,20,29.05,0.9962,8,86,22,29,0,40
11,,-1.0521739130434782,20,36.52,0.9962,10,115,42,37,0,38
12,5314.73779296875,-0.08411214953271028,21,39.01,0.9943,8,107,40,33,0,38
13,,0.5604395604395604,20,34.11,0.9943,4,91,33,29,0,33
14,,-2.533333333333333,20,56.18,0.9943,10,60,21,24,0,17
15,,-1.8333333333333333,18,59.93,0.9943,12,72,23,22,0,27
16,3393.4443359375,0.08235294117647059,21,49.85,0.9924,8,85,30,23,0,34
17,,-0.8478260869565217,20,43.67,0.9924,8,92,30,39,0,27
18,,-1.7837837837837838,20,49.63,0.9924,10,74,22,30,0,28
19,,0.16363636363636364,20,49.79,0.9924,6,110,38,34,0,40
20,3612.362060546875,-1.4324324324324325,20,50.15,0.9904999999999999,8,74,32,24,0,22
21,,-1.4444444444444444,19,60.26,0.9904999999999999,10,90,27,33,0,30
22,,-1.5384615384615385,20,56.27,0.9904999999999999,12,78,24,30,0,26
23,,-3.1714285714285713,18,60.07,0.9904999999999999,14,70,23,22,0,25
24,2597.412353515625,-1.0789473684210527,20,47.03,0.9885999999999999,10,76,21,29,0,28
25,,-0.6938775510204082,20,43.25,0.9885999999999999,6,98,40,27,0,35
26,,-0.9789473684210527,20,45.36,0.9885999999999999,8,95,42,29,0,28
27,,0.21621621621621623,20,56.42,0.9885999999999999,6,74,28,24,0,24
28,2495.37158203125,0.28865979381443296,20,25.54,0.9866999999999999,4,97,34,35,0,33
29,,-2.064516129032258,20,56.01,0.9866999999999999,10,62,13,26,0,27
30,,-0.9636363636363636,18,59.9,0.9866999999999999,10,110,28,39,0,43
31,,-0.8072289156626506,21,49.76,0.9866999999999999,10,83,28,27,0,32
32,2404.25732421875,-2.4,20,55.1,0.9847999999999999,14,70,14,34,0,24
33,,-0.30275229357798167,20,24.2,0.9847999999999999,6,109,45,26,0,42
34,,-0.42990654205607476,20,46.2,0.9847999999999999,8,107,34,37,0,42
35,,-0.6888888888888889,18,59.13,0.9847999999999999,10,90,20,39,0,33
36,1903.15869140625,-0.010638297872340425,21,23.15,0.9828999999999999,4,94,34,34,0,32
37,,-0.425,20,47.54,0.9828999999999999,8,80,27,25,0,30
38,,-1.2105263157894737,20,42.88,0.9828999999999999,8,76,28,23,0,27
39,,0.1875,20,48.98,0.9828999999999999,4,96,32,40,0,30
40,2129.90576171875,-0.21568627450980393,20,55.19,0.9809999999999999,8,102,40,46,0,20
41,,-0.2804878048780488,20,29.14,0.9809999999999999,6,82,27,33,0,27
42,,-0.4745762711864407,20,54.54,0.9809999999999999,8,118,36,42,0,42
43,,-1.435897435897436,20,49.92,0.9809999999999999,10,78,33,25,0,22
44,1985.541259765625,-1.5125,20,30.41,0.9790999999999999,12,80,33,26,0,23
45,,-0.7619047619047619,20,50.04,0.9790999999999999,8,84,27,29,0,32
46,,-0.946236559139785,20,41.24,0.9790999999999999,6,93,30,30,0,35
47,,-0.957983193277311,20,43.32,0.9790999999999999,12,119,44,45,0,32
48,1533.526123046875,-1.3157894736842106,18,57.91,0.9771999999999998,10,76,24,26,0,28
49,,-2.5135135135135136,20,60.9,0.9771999999999998,14,74,29,20,0,27
50,,-4.34375,20,54.59,0.9771999999999998,16,64,16,26,0,24
51,,-0.26,20,29.68,0.9771999999999998,4,100,42,28,0,36
52,1666.546875,-1.5952380952380953,20,56.31,0.9752999999999998,10,84,31,26,0,29
53,,-0.14457831325301204,20,38.02,0.9752999999999998,6,83,33,25,0,29
54,,-0.9285714285714286,20,41.74,0.9752999999999998,8,84,23,34,0,31
55,,-1.9285714285714286,20,46.26,0.9752999999999998,12,84,29,31,0,28
56,2332.111572265625,-1.2153846153846153,20,34.99,0.9733999999999998,8,65,22,22,0,23
57,,-2.2333333333333334,20,54.37,0.9733999999999998,12,60,22,18,0,22
58,,-2.0555555555555554,18,57.53,0.9733999999999998,14,72,20,31,0,21
59,,0.868421052631579,21,44.47,0.9733999999999998,4,76,23,26,0,29
60,1947.460693359375,-3.125,20,54.25,0.9714999999999998,14,64,17,27,0,24
61,,-1.6956521739130435,20,53.85,0.9714999999999998,12,92,35,34,0,25
62,,-0.5294117647058824,20,45.44,0.9714999999999998,8,68,24,20,0,26
63,,-1.488888888888889,20,54.37,0.9714999999999998,12,90,30,32,0,30
64,1659.9102783203125,0.5106382978723404,20,35.52,0.9695999999999998,4,94,32,31,0,33
65,,-2.9743589743589745,20,57.44,0.9695999999999998,14,78,25,24,0,31
66,,-0.09090909090909091,20,28.88,0.9695999999999998,6,55,23,19,0,15
67,,-2.52,20,54.57,0.9695999999999998,12,50,15,16,0,21
68,2183.048095703125,-3.896551724137931,18,57.49,0.9676999999999998,16,58,18,15,0,25
69,,-1.8314606741573034,20,41.09,0.9676999999999998,12,89,33,34,0,24
70,,-2.2777777777777777,18,57.37,0.9676999999999998,14,72,27,21,0,24
71,,-0.15151515151515152,20,50.16,0.9676999999999998,6,66,23,24,0,21
72,1395.425048828125,-1.2285714285714286,20,41.49,0.9657999999999998,8,70,21,30,0,23
73,,-2.4516129032258065,20,54.99,0.9657999999999998,12,62,21,20,0,23
74,,-2.405940594059406,19,58.03,0.9657999999999998,16,101,32,31,0,38
75,,-1.0263157894736843,20,46.07,0.9657999999999998,8,76,28,25,0,25
76,2285.876708984375,0.4431818181818182,20,22.83,0.9638999999999998,2,88,27,36,0,33
77,,-0.7931034482758621,20,44.72,0.9638999999999998,8,87,35,22,0,33
78,,0.3409090909090909,20,35.02,0.9638999999999998,6,88,35,28,0,27
79,,-1.9166666666666667,20,40.39,0.9638999999999998,10,48,17,11,0,22
80,2146.731689453125,-0.8823529411764706,20,36.01,0.9619999999999997,8,68,20,31,0,21
81,,-3.7,18,57.69,0.9619999999999997,16,60,14,14,0,32
82,,-1.2083333333333333,20,60.77,0.9619999999999997,12,96,39,31,0,28
83,,-0.29473684210526313,21,42.71,0.9619999999999997,8,95,39,30,0,28
84,1740.09130859375,-1.4146341463414633,20,46.47,0.9600999999999997,12,82,25,28,0,31
85,,-2.5925925925925926,20,48.79,0.9600999999999997,12,54,22,21,0,13
86,,-0.494949494949495,21,29.41,0.9600999999999997,6,99,33,29,0,39
87,,-0.42857142857142855,20,48.02,0.9600999999999997,6,84,31,28,0,29
88,1509.1634521484375,-0.375,20,34.98,0.9581999999999997,6,64,20,21,0,27
89,,-1.7567567567567568,20,43.33,0.9581999999999997,10,74,30,25,0,24
90,,-0.5196078431372549,21,47.58,0.9581999999999997,8,102,45,30,0,29
91,,-0.3333333333333333,20,54.51,0.9581999999999997,8,96,33,39,0,28
92,1671.5960693359375,0.1935483870967742,21,29.01,0.9562999999999997,4,62,23,19,0,24
93,,-0.5466666666666666,20,22.19,0.9562999999999997,8,75,29,23,0,25
94,,1.044776119402985,20,21.27,0.9562999999999997,2,67,30,14,0,27
95,,-1.3650793650793651,20,54.88,0.9562999999999997,10,63,18,19,0,28
96,1935.318359375,-1.9714285714285715,20,54.53,0.9543999999999997,10,70,29,21,0,24
97,,-1.3428571428571427,18,58.09,0.9543999999999997,12,70,22,22,0,26
98,,-0.8651685393258427,20,30.3,0.9543999999999997,8,89,21,37,0,37
99,,-0.6486486486486487,20,41.98,0.9543999999999997,6,74,32,22,0,26
100,1868.19091796875,-1.05,20,47.87,0.9524999999999997,10,80,29,25,0,28
101,,1.2307692307692308,20,35.6,0.9524999999999997,4,78,26,21,0,33
102,,-2.36,18,57.81,0.9524999999999997,12,75,28,23,0,24
103,,-2.8684210526315788,20,54.39,0.9524999999999997,14,76,26,29,0,23
104,1148.25341796875,0.6481481481481481,20,27.07,0.9505999999999997,2,108,32,40,0,42
105,,-0.972972972972973,20,50.45,0.9505999999999997,10,74,30,26,0,20
106,,-0.4305555555555556,21,33.03,0.9505999999999997,8,72,29,20,0,25
