episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-3.161764705882353,20,44.59,1.0,14,68,28,18,0,24
2,10.746773719787598,-2.7358490566037736,21,35.4,0.9981,10,53,14,28,0,17
3,,-1.5151515151515151,20,19.3,0.9981,6,66,31,20,0,20
4,9.176340103149414,-0.9090909090909091,20,18.71,0.9962,6,66,24,24,0,22
5,,-1.9565217391304348,20,39.68,0.9962,8,69,18,29,0,24
6,9.702735900878906,-2.8205128205128207,20,34.86,0.9943,12,78,34,24,0,24
7,,-2.1739130434782608,21,35.0,0.9943,8,46,17,17,0,17
8,9.762106895446777,-3.225806451612903,20,37.67,0.9924,14,62,15,26,0,23
9,,-3.5211267605633805,21,40.59,0.9924,14,71,21,25,0,28
10,9.330585479736328,-3.870967741935484,20,44.66,0.9904999999999999,14,62,21,21,0,22
11,,-1.6666666666666667,20,24.26,0.9904999999999999,8,60,21,19,0,27
12,9.708555221557617,-3.617021276595745,20,39.98,0.9885999999999999,12,47,20,16,0,13
13,,-1.7123287671232876,20,31.76,0.9885999999999999,9,73,22,29,0,25
14,9.078874588012695,-1.5753424657534247,21,29.73,0.9866999999999999,8,73,24,26,0,25
15,,-0.7352941176470589,20,24.78,0.9866999999999999,6,68,25,26,0,23
16,9.259523391723633,-3.484848484848485,21,44.58,0.9847999999999999,14,66,19,26,0,23
