episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-1.4,20,47.78,1.0,6,50,17,13,0,22
2,7.538467884063721,-2.0,18,70.11,0.9981,10,70,20,16,0,34
3,,-3.6363636363636362,20,68.81,0.9981,16,66,23,22,0,23
4,7.811103343963623,-2.5714285714285716,20,54.77,0.9962,10,70,19,26,0,29
5,,-1.4473684210526316,21,47.29,0.9962,10,114,48,32,0,36
6,8.016584396362305,-3.2142857142857144,20,54.23,0.9943,12,56,18,16,0,24
7,,-3.076923076923077,21,47.68,0.9943,12,65,26,18,0,23
8,6.763161659240723,-1.4285714285714286,20,61.66,0.9924,8,98,32,37,0,33
9,,-5.0,18,65.69,0.9924,16,48,17,15,0,16
10,8.33532428741455,-2.65625,20,62.52,0.9904999999999999,12,64,24,20,0,22
11,,-1.5384615384615385,20,47.91,0.9904999999999999,8,78,24,24,0,32
12,8.503798484802246,-5.0,20,63.21,0.9885999999999999,16,48,17,19,0,16
13,,-1.5,20,48.54,0.9885999999999999,8,80,28,27,0,27
14,7.365687370300293,-1.3636363636363635,20,48.73,0.9866999999999999,6,66,16,37,0,17
15,,-1.6176470588235294,20,47.3,0.9866999999999999,8,68,31,24,0,17
16,6.533149242401123,-0.7377049180327869,20,47.57,0.9847999999999999,6,61,22,22,0,19
17,,-4.444444444444445,20,62.74,0.9847999999999999,14,54,15,27,0,14
18,6.523465156555176,-2.4,20,41.3,0.9828999999999999,10,50,18,19,0,15
19,,-1.4383561643835616,21,54.79,0.9828999999999999,8,73,23,29,0,23
20,7.734125137329102,-1.0465116279069768,20,52.41,0.9809999999999999,6,86,30,34,0,24
21,,-1.2765957446808511,20,62.78,0.9809999999999999,10,94,26,33,0,37
22,6.975935935974121,-4.7727272727272725,20,61.51,0.9790999999999999,14,44,18,14,0,16
23,,-6.0,18,67.19,0.9790999999999999,16,40,10,18,0,12
24,8.463557243347168,-2.9545454545454546,20,63.03,0.9771999999999998,14,88,32,30,0,28
25,,-2.9285714285714284,20,63.65,0.9771999999999998,12,70,24,27,0,21
26,7.924287796020508,-0.9090909090909091,20,48.5,0.9752999999999998,6,66,25,24,0,19
27,,-7.105263157894737,18,67.17,0.9752999999999998,18,38,10,11,0,17
28,8.003512382507324,-2.4324324324324325,20,62.24,0.9733999999999998,12,74,26,26,0,24
29,,-3.103448275862069,18,67.1,0.9733999999999998,12,58,23,16,0,19
30,7.586477279663086,-1.3235294117647058,20,56.02,0.9714999999999998,8,68,24,21,0,25
31,,-2.051282051282051,20,55.85,0.9714999999999998,10,78,26,32,0,24
32,7.206849098205566,-2.272727272727273,20,61.04,0.9695999999999998,12,66,18,22,0,28
33,,-3.0555555555555554,20,52.26,0.9695999999999998,14,72,23,24,0,27
34,7.913208484649658,-6.904761904761905,18,64.17,0.9676999999999998,18,42,13,11,0,18
35,,-1.0843373493975903,20,23.97,0.9676999999999998,6,83,32,25,0,29
36,5.953618049621582,-2.6470588235294117,18,65.95,0.9657999999999998,12,68,22,22,0,24
37,,-1.7105263157894737,20,61.69,0.9657999999999998,8,76,29,26,0,25
38,7.6372857093811035,-1.853932584269663,21,54.61,0.9638999999999998,12,89,28,31,0,32
39,,-2.3333333333333335,20,55.1,0.9638999999999998,10,60,24,28,0,12
40,8.500194549560547,-2.457627118644068,20,55.25,0.9619999999999997,10,59,16,24,0,21
41,,-3.3333333333333335,18,66.65,0.9619999999999997,12,54,15,23,0,16
42,8.120214462280273,-7.142857142857143,20,69.68,0.9600999999999997,18,42,12,14,0,18
43,,-3.625,18,66.8,0.9600999999999997,16,80,28,26,0,26
44,6.924439907073975,-2.2857142857142856,21,39.98,0.9581999999999997,12,70,21,27,0,24
45,,-1.0526315789473684,20,55.43,0.9581999999999997,6,76,27,28,0,23
46,5.759830474853516,-2.96875,18,66.38,0.9562999999999997,12,64,14,22,0,28
47,,-0.9375,21,55.5,0.9562999999999997,6,112,37,48,0,29
48,6.854631423950195,-1.4655172413793103,20,48.32,0.9543999999999997,9,58,25,22,0,13
49,,-1.8888888888888888,20,63.34,0.9543999999999997,10,90,33,33,0,26
50,9.888752937316895,-0.7407407407407407,20,26.56,0.9524999999999997,4,81,33,27,0,25
51,,-1.1627906976744187,20,52.71,0.9524999999999997,6,86,30,36,0,22
52,7.149387359619141,-3.4375,20,63.33,0.9505999999999997,14,64,17,24,0,25
53,,-1.3513513513513513,20,43.41,0.9505999999999997,6,74,28,25,0,23
54,7.213404655456543,-2.7777777777777777,20,54.53,0.9486999999999997,12,54,13,24,0,19
55,,-2.962962962962963,20,61.68,0.9486999999999997,12,54,22,19,0,15
56,7.800975799560547,-0.9375,20,39.18,0.9467999999999996,6,64,24,24,0,21
57,,-5.681818181818182,18,64.86,0.9467999999999996,16,44,14,16,0,14
58,7.493037223815918,-1.5,20,56.18,0.9448999999999996,8,60,20,20,0,22
59,,-2.6363636363636362,20,42.72,0.9448999999999996,11,55,22,20,0,16
60,7.886493682861328,-1.911764705882353,20,46.75,0.9429999999999996,10,68,18,27,0,25
61,,-2.413793103448276,20,61.54,0.9429999999999996,10,58,17,22,0,21
62,7.141216278076172,-2.4074074074074074,20,53.86,0.9410999999999996,10,54,12,22,0,22
63,,-3.4285714285714284,18,65.05,0.9410999999999996,14,70,19,25,0,26
64,8.58171272277832,-5.0,20,67.63,0.9391999999999996,16,54,13,18,0,25
65,,-3.888888888888889,20,54.59,0.9391999999999996,14,54,20,24,0,12
66,7.767467021942139,-3.5,18,64.81,0.9372999999999996,14,60,28,13,0,21
67,,-1.7346938775510203,20,46.74,0.9372999999999996,10,98,32,38,0,32
68,8.684444427490234,-6.136363636363637,18,65.34,0.9353999999999996,18,44,12,14,0,18
69,,-2.317073170731707,20,53.65,0.9353999999999996,12,82,32,28,0,24
70,8.759112358093262,-1.3157894736842106,20,59.72,0.9334999999999996,8,76,21,30,0,27
71,,-1.893939393939394,20,51.69,0.9334999999999996,10,66,22,23,0,25
72,7.378903388977051,-0.9195402298850575,20,37.75,0.9315999999999995,6,87,29,32,0,30
73,,-0.7638888888888888,21,43.56,0.9315999999999995,6,72,22,28,0,24
74,6.540384292602539,-1.7361111111111112,20,51.3,0.9296999999999995,8,72,18,36,0,22
75,,-0.625,20,29.41,0.9296999999999995,4,80,31,34,0,19
76,7.902888298034668,-1.4705882352941178,20,57.77,0.9277999999999995,8,68,19,32,0,21
77,,-1.2857142857142858,20,59.39,0.9277999999999995,8,70,23,26,0,23
78,7.287320613861084,-2.5,20,54.52,0.9258999999999995,10,58,20,25,0,15
79,,-2.317073170731707,20,60.55,0.9258999999999995,10,82,26,32,0,26
80,8.502037048339844,-3.5365853658536586,18,61.27,0.9239999999999995,16,82,26,40,0,16
81,,-1.6666666666666667,21,37.9,0.9239999999999995,8,69,29,24,0,21
82,8.083507537841797,-2.8,20,51.12,0.9220999999999995,10,50,17,22,0,13
83,,-7.045454545454546,18,61.25,0.9220999999999995,18,44,8,17,0,19
84,6.139367580413818,-2.7551020408163267,20,40.18,0.9201999999999995,10,49,16,20,0,17
85,,-3.9285714285714284,18,61.41,0.9201999999999995,14,56,14,22,0,20
86,6.685173988342285,-5.0,20,63.82,0.9182999999999995,16,48,12,16,0,22
87,,-1.3291139240506329,19,61.3,0.9182999999999995,8,79,30,20,0,29
88,9.955410957336426,-0.2777777777777778,20,50.67,0.9163999999999994,4,72,23,31,0,20
89,,-2.5757575757575757,20,57.98,0.9163999999999994,12,66,20,26,0,22
90,8.249048233032227,-1.619718309859155,20,43.48,0.9144999999999994,8,71,29,33,0,13
91,,-4.117647058823529,20,48.84,0.9144999999999994,12,34,11,17,0,8
92,6.5112433433532715,-2.03125,18,61.14,0.9125999999999994,10,64,17,27,0,20
93,,-2.3529411764705883,20,63.67,0.9125999999999994,12,68,23,32,0,15
94,9.319539070129395,-2.4358974358974357,20,57.59,0.9106999999999994,12,78,23,31,0,26
95,,-1.9863013698630136,21,57.79,0.9106999999999994,12,73,20,30,0,25
96,7.652149200439453,-2.4193548387096775,20,43.85,0.9087999999999994,8,62,20,24,0,20
97,,-4.166666666666667,20,57.7,0.9087999999999994,14,48,19,19,0,12
98,9.874942779541016,-1.2162162162162162,20,49.24,0.9068999999999994,8,74,24,30,0,22
99,,-5.0,18,61.19,0.9068999999999994,16,46,9,19,0,18
100,9.203580856323242,-2.625,20,64.42,0.9049999999999994,14,80,22,29,0,31
101,,-0.7894736842105263,20,57.48,0.9049999999999994,6,76,24,36,0,18
102,7.146927356719971,-3.1481481481481484,20,56.82,0.9030999999999993,12,54,14,23,0,19
103,,-1.625,18,61.57,0.9030999999999993,10,80,26,29,0,27
104,5.763854026794434,-2.192982456140351,21,57.05,0.9011999999999993,10,57,20,26,0,13
105,,-3.064516129032258,20,59.08,0.9011999999999993,12,62,21,25,0,18
106,6.938593864440918,-2.7419354838709675,20,45.79,0.8992999999999993,12,62,23,27,0,14
107,,-1.8,20,36.38,0.8992999999999993,10,100,29,35,0,41
108,6.575573444366455,-2.6923076923076925,18,63.37,0.8973999999999993,12,78,27,27,0,26
109,,-3.076923076923077,20,65.66,0.8973999999999993,12,78,25,27,0,28
110,7.546406269073486,-1.6129032258064515,20,58.85,0.8954999999999993,8,62,18,26,0,20
111,,-2.3684210526315788,20,60.2,0.8954999999999993,12,76,28,25,0,27
112,6.026094436645508,-0.2542372881355932,18,64.82,0.8935999999999993,4,118,43,41,0,34
113,,-1.1428571428571428,20,34.03,0.8935999999999993,4,70,25,32,0,17
114,9.035728454589844,-3.5416666666666665,21,33.39,0.8916999999999993,11,48,19,22,0,12
115,,-2.5,20,54.81,0.8916999999999993,10,80,25,40,0,21
116,8.413854598999023,-2.9292929292929295,21,24.06,0.8897999999999993,10,99,31,38,0,34
117,,-3.1578947368421053,20,57.18,0.8897999999999993,16,76,33,27,0,18
118,6.728697776794434,-3.5714285714285716,21,50.17,0.8878999999999992,12,56,20,21,0,17
119,,-4.8,18,60.75,0.8878999999999992,16,50,12,18,0,20
120,6.373489856719971,-2.1311475409836067,20,36.75,0.8859999999999992,8,61,17,29,0,21
121,,-6.5,18,69.69,0.8859999999999992,18,40,12,16,0,12
122,6.2133331298828125,-0.625,20,49.74,0.8840999999999992,6,80,25,35,0,22
123,,-4.375,18,70.02,0.8840999999999992,14,48,16,16,0,16
124,6.3003129959106445,-1.4444444444444444,20,55.94,0.8821999999999992,6,90,37,29,0,28
125,,-0.39473684210526316,20,44.08,0.8821999999999992,4,76,18,38,0,22
126,7.34250020980835,-1.1458333333333333,20,41.54,0.8802999999999992,6,96,34,41,0,27
127,,-0.5,20,40.26,0.8802999999999992,4,100,35,44,0,27
128,7.532864570617676,-3.3333333333333335,20,41.06,0.8783999999999992,12,54,18,20,0,18
129,,-4.696969696969697,18,57.71,0.8783999999999992,18,66,28,21,0,17
130,6.591197967529297,-4.666666666666667,20,60.82,0.8764999999999992,16,60,13,22,0,27
131,,-4.62962962962963,18,57.66,0.8764999999999992,16,54,14,21,0,19
132,7.265156269073486,-5.625,20,60.06,0.8745999999999992,16,48,16,21,0,13
133,,-2.1052631578947367,20,54.27,0.8745999999999992,8,76,23,31,0,24
134,7.859427452087402,-1.056338028169014,20,33.1,0.8726999999999991,6,71,13,46,0,16
135,,-5.416666666666667,18,57.72,0.8726999999999991,16,48,14,18,0,16
136,6.159167289733887,1.3829787234042554,20,16.08,0.8707999999999991,0,47,18,18,0,15
137,,-2.5757575757575757,20,34.13,0.8707999999999991,10,66,24,28,0,18
138,10.226354598999023,-0.9558823529411765,21,28.61,0.8688999999999991,6,68,22,32,0,18
139,,-1.8,20,34.92,0.8688999999999991,8,50,14,21,0,19
140,6.999791622161865,-1.7307692307692308,20,40.16,0.8669999999999991,8,52,17,24,0,13
141,,-1.5942028985507246,20,29.36,0.8669999999999991,6,69,20,33,0,21
142,8.375051498413086,-0.8088235294117647,20,28.75,0.8650999999999991,4,68,21,22,0,30
143,,0.10416666666666667,21,35.49,0.8650999999999991,2,96,25,51,0,25
144,8.258646011352539,-1.9387755102040816,20,45.33,0.8631999999999991,10,98,27,41,0,32
145,,-0.2777777777777778,20,39.75,0.8631999999999991,6,72,21,35,0,18
146,8.529739379882812,-3.59375,18,57.62,0.8612999999999991,14,64,21,29,0,14
147,,-0.9722222222222222,20,35.27,0.8612999999999991,6,72,28,31,0,17
148,7.630260467529297,-3.75,20,47.68,0.859399999999999,12,48,9,26,0,17
149,,-1.3461538461538463,20,41.67,0.859399999999999,8,52,12,26,0,16
150,6.964115142822266,-1.6071428571428572,20,53.78,0.857499999999999,8,56,14,32,0,12
151,,-3.9285714285714284,18,57.39,0.857499999999999,14,56,22,23,0,11
152,5.504479885101318,-1.8656716417910448,21,54.3,0.855599999999999,10,67,14,36,0,19
153,,-1.1979166666666667,20,47.89,0.855599999999999,8,96,36,40,0,22
154,7.085468769073486,-0.7352941176470589,20,29.82,0.853699999999999,6,68,18,36,0,16
155,,-0.9090909090909091,20,17.81,0.853699999999999,6,66,23,29,0,17
156,9.282343864440918,-0.43478260869565216,20,29.58,0.851799999999999,4,46,14,24,0,14
157,,-2.4691358024691357,20,45.23,0.851799999999999,12,81,22,41,0,22
158,7.427916526794434,-5.760869565217392,20,53.41,0.849899999999999,16,46,16,18,0,16
159,,-3.3870967741935485,18,59.55,0.849899999999999,14,62,9,32,0,21
160,7.456823348999023,-0.6043956043956044,21,30.9,0.847999999999999,4,91,18,43,0,34
161,,-2.1052631578947367,20,54.03,0.847999999999999,12,76,19,37,0,22
162,7.2490105628967285,-1.9871794871794872,20,48.1,0.846099999999999,10,78,22,37,0,21
163,,-2.318840579710145,20,46.64,0.846099999999999,10,69,17,33,0,23
164,7.35994815826416,-2.0689655172413794,20,51.33,0.844199999999999,8,58,14,27,0,21
165,,-1.6037735849056605,20,58.63,0.844199999999999,10,106,28,44,0,38
166,8.041197776794434,-1.2777777777777777,20,44.01,0.8422999999999989,8,90,21,32,0,39
167,,-2.5806451612903225,20,51.79,0.8422999999999989,10,62,15,29,0,20
168,7.259166717529297,-1.6176470588235294,20,39.32,0.8403999999999989,6,68,19,35,0,18
169,,-4.2592592592592595,18,63.93,0.8403999999999989,16,54,18,21,0,15
170,8.313854217529297,-2.1052631578947367,20,66.58,0.8384999999999989,12,76,15,33,0,30
171,,-2.727272727272727,20,59.93,0.8384999999999989,12,66,20,32,0,16
172,7.016979217529297,-2.34375,21,52.81,0.8365999999999989,10,64,22,30,0,15
173,,-3.6206896551724137,20,62.98,0.8365999999999989,14,58,20,27,0,13
174,7.410469055175781,-1.4705882352941178,20,60.56,0.8346999999999989,8,68,18,34,0,18
175,,-0.13636363636363635,21,45.96,0.8346999999999989,4,110,30,52,0,32
