episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,0.40407938522566333,26,18,80,25,35,0,22,61.74,1.0
2,3.1433072090148926,0.8902530765225811,30,12,96,35,34,0,31,62.62,0.905
3,,0.2586997467207101,24,14,58,25,14,0,19,61.99,0.905
4,3.795361042022705,-0.09486670837583253,22,18,74,27,21,0,28,62.42,0.81
5,,0.15828359623181712,24,20,98,25,21,0,52,62.34,0.81
6,3.3764166831970215,0.9959265627957222,24,10,76,12,30,0,34,62.3,0.7150000000000001
7,,0.1623927654171844,28,22,106,24,24,0,60,62.38,0.7150000000000001
8,3.0806384086608887,0.25109499460567597,32,26,140,39,35,0,68,62.42,0.6200000000000001
9,,-0.1535551016019111,26,24,100,16,20,0,66,62.21,0.6200000000000001
10,2.8343429565429688,-0.0907781208867506,25,24,110,20,20,0,72,61.82,0.5250000000000001
11,,0.06179210400038016,26,22,100,20,11,0,71,62.09,0.5250000000000001
12,3.6963016986846924,0.21515561324049215,22,20,112,15,21,0,78,61.78,0.43000000000000016
13,,0.5819942886695064,22,14,90,11,22,0,57,61.88,0.43000000000000016
14,3.430546760559082,0.3922552992562155,26,18,104,17,24,0,67,61.84,0.3350000000000002
15,,0.15445480089082547,28,28,162,21,15,0,130,61.99,0.3350000000000002
16,2.9665584564208984,0.21051575975058068,24,22,170,11,25,0,140,61.98,0.24000000000000019
17,,-0.14612221236533923,24,32,180,15,14,0,159,62.09,0.24000000000000019
18,3.245713949203491,-0.04127656226425708,22,26,158,14,6,0,144,61.91,0.14500000000000018
19,,-0.19825960455133154,20,36,214,9,7,0,204,62.16,0.14500000000000018
20,3.6715006828308105,-0.3413210162819293,20,28,138,8,9,0,125,61.87,0.05000000000000018
21,,0.35391433484840956,26,20,236,3,5,0,244,62.38,0.05000000000000018
22,2.586688756942749,0.06533346465042926,18,24,230,3,1,0,238,62.21,0.05
23,,0.19008275012705556,18,20,244,1,3,0,256,62.37,0.05
24,1.8623095750808716,0.27646475632622486,22,20,272,1,3,0,288,62.32,0.05
25,,0.10427220142106125,22,28,254,2,7,0,261,62.5,0.05
26,1.9213439226150513,0.1449226263102157,18,22,244,3,0,0,255,62.3,0.05
27,,0.1191540164017349,18,24,234,3,3,0,238,62.62,0.05
28,2.3873629570007324,0.1212687445113074,22,24,202,8,1,0,203,62.04,0.05
29,,0.021947829512489234,22,28,202,6,6,0,200,62.25,0.05
