episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-0.6283844077943335,51,21,82,25,33,0,24,37.42,1.0
2,2.858915090560913,-1.174443673475794,51,29,85,21,39,0,25,35.59,0.91
3,,-0.9130290628904771,51,31,102,26,29,0,47,37.33,0.91
4,2.6526894569396973,-0.8104576382958262,51,24,84,27,24,0,33,33.92,0.8200000000000001
5,,-1.5552840363070108,50,33,81,18,22,0,41,35.13,0.8200000000000001
6,2.6737542152404785,-0.4599719548764699,50,24,108,29,30,0,49,38.39,0.7300000000000001
7,,-0.6911506748108822,50,21,79,13,17,0,49,34.88,0.7300000000000001
8,2.800002336502075,-1.0652364947268929,53,33,101,21,35,0,45,35.68,0.6400000000000001
9,,-0.9490640863716826,50,24,76,14,20,0,42,39.11,0.6400000000000001
10,2.496157169342041,-0.7801069726926028,50,25,90,21,21,0,48,35.56,0.5500000000000002
11,,-0.46880978479739177,51,20,92,16,17,0,59,34.83,0.5500000000000002
12,2.654743194580078,-0.30752671313708063,50,22,110,23,30,0,57,39.24,0.46000000000000013
13,,-0.931436195023732,50,29,95,10,30,0,55,44.63,0.46000000000000013
14,2.554391384124756,-0.6138460509238789,52,20,81,9,21,0,51,35.26,0.3700000000000001
15,,-0.4369310256864006,52,19,88,5,17,0,66,32.86,0.3700000000000001
16,2.374093532562256,-0.9095183823709987,51,25,83,11,12,0,60,33.31,0.2800000000000001
17,,-0.5366504789568166,51,18,73,12,12,0,49,35.67,0.2800000000000001
18,2.898801326751709,-1.0645050680959751,51,22,68,5,9,0,54,32.95,0.19000000000000006
19,,-1.5153565068767008,50,24,60,2,9,0,49,35.78,0.19000000000000006
20,2.7082133293151855,-0.25041758411905896,50,16,84,9,18,0,57,34.37,0.10000000000000005
21,,-1.1173588753259267,51,23,68,1,10,0,57,33.29,0.10000000000000005
22,2.8796632289886475,-0.8957133555495719,50,21,71,3,11,0,57,32.63,0.1
23,,-1.4499215973052209,51,29,74,0,9,0,65,32.97,0.1
24,2.1762542724609375,-0.583437432410697,51,18,73,3,6,0,64,36.05,0.1
25,,-1.0086235288755754,52,23,72,4,7,0,61,33.19,0.1
26,2.3609447479248047,-1.1260427175185304,51,23,68,3,7,0,58,32.79,0.1
27,,-1.2880430110576868,53,25,69,4,10,0,55,35.01,0.1
28,2.764622926712036,-0.8140851774843368,54,19,67,3,4,0,60,36.56,0.1
29,,-0.83005168781117,50,24,81,7,5,0,69,35.18,0.1
30,2.428105354309082,-0.8573426849117891,51,21,72,2,8,0,62,34.74,0.1
31,,-1.0924348227832912,51,23,71,3,8,0,60,35.2,0.1
32,2.9055075645446777,-0.8969620283143733,51,25,83,2,10,0,71,34.64,0.1
33,,-0.7198348856138986,50,18,69,1,6,0,62,32.49,0.1
34,2.5698060989379883,-0.9719512969918757,54,23,76,1,11,0,64,33.26,0.1
35,,-1.0939849632454113,51,24,71,2,8,0,61,32.67,0.1
36,2.171909809112549,-0.44279746011569543,50,15,65,3,3,0,59,36.45,0.1
37,,-1.3041258385420245,53,25,68,3,9,0,56,33.0,0.1
38,3.1298904418945312,-1.5955087866770579,50,26,62,0,7,0,55,31.5,0.1
39,,-1.1108147080483832,50,23,68,2,7,0,59,34.77,0.1
40,2.896242618560791,-0.9067558657860836,51,26,87,6,6,0,75,32.9,0.1
41,,-1.0843676951606462,54,22,69,3,9,0,57,35.47,0.1
42,2.89676570892334,-0.631435399944574,51,23,91,4,8,0,79,35.24,0.1
43,,-1.2448345145938609,51,24,67,1,4,0,62,32.93,0.1
44,2.6945905685424805,-1.1106753481883784,50,22,65,1,7,0,57,34.37,0.1
45,,-0.9917419812590005,51,21,65,2,4,0,59,37.42,0.1
46,2.304002523422241,-1.0803915181126875,50,23,69,0,7,0,62,35.15,0.1
47,,-1.0795137371509107,52,24,73,4,4,0,65,35.07,0.1
48,3.095261573791504,-1.4656474923351352,51,27,70,2,12,0,56,32.87,0.1
49,,-1.3368098790444092,51,26,69,4,4,0,61,34.68,0.1
50,3.0827136039733887,-0.9502435511544085,51,22,71,5,6,0,60,32.73,0.1
51,,-1.6078309204017704,50,24,57,1,6,0,50,35.05,0.1
