episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-1.4919218611642473,52,35,87,26,33,0,28,43.96,1.0
2,3.895603656768799,-1.8041476220014625,50,44,96,32,30,0,34,48.95,0.99525
3,,-1.7481952889702261,50,38,86,28,35,0,23,41.58,0.99525
4,4.200985431671143,-1.6111037482040758,51,37,88,26,35,0,27,45.84,0.9904999999999999
5,,-0.9795719698329931,50,27,87,29,28,0,30,49.68,0.9904999999999999
6,4.037806510925293,-1.8448195969885763,51,45,97,37,24,0,36,43.07,0.9857499999999999
7,,-1.6757556605707657,51,41,95,36,32,0,27,41.66,0.9857499999999999
8,3.654425859451294,-1.9468402826510072,50,39,81,26,31,0,24,47.32,0.9809999999999999
9,,-1.614729299196894,50,38,90,32,30,0,28,36.42,0.9809999999999999
10,3.6002938747406006,-1.5974698022317682,54,36,86,35,27,0,24,40.92,0.9762499999999998
11,,-0.6507267756639119,53,34,129,31,49,0,49,45.56,0.9762499999999998
12,3.1454222202301025,-1.598724041426892,50,44,104,37,31,0,36,60.19,0.9714999999999998
13,,-1.6699350798313721,51,35,82,21,27,0,34,61.12,0.9714999999999998
14,4.142034530639648,-1.785428318426789,52,38,85,23,27,0,35,37.41,0.9667499999999998
15,,-1.336268565657839,50,34,92,26,32,0,34,51.13,0.9667499999999998
16,3.1517820358276367,-1.387952068224501,50,42,108,40,37,0,31,37.04,0.9619999999999997
17,,-0.6300687813636816,50,30,114,41,34,0,39,43.86,0.9619999999999997
18,3.1696643829345703,-1.576469241445759,50,31,75,34,24,0,17,36.67,0.9572499999999997
19,,-1.9085236576428362,51,44,92,29,28,0,35,51.17,0.9572499999999997
20,3.772245168685913,-1.3311129059694191,51,41,109,35,33,0,41,49.73,0.9524999999999997
21,,-1.0167090657156042,50,32,99,31,29,0,39,37.84,0.9524999999999997
22,3.9498934745788574,-1.6030872140954575,50,32,75,27,25,0,23,41.75,0.9477499999999996
23,,-1.5866811965140886,51,42,100,31,34,0,35,45.39,0.9477499999999996
24,3.646653890609741,-0.8764830679501255,52,35,117,37,34,0,46,36.72,0.9429999999999996
25,,-1.1120061569519204,50,33,96,31,32,0,33,57.5,0.9429999999999996
26,3.3462421894073486,-1.9459165804927423,50,39,81,22,29,0,30,50.61,0.9382499999999996
27,,-1.5968416025520642,52,41,99,36,30,0,33,54.33,0.9382499999999996
28,3.593698263168335,-1.9062082671984073,50,42,89,29,33,0,27,37.69,0.9334999999999996
29,,-1.379976665639957,50,38,99,36,39,0,24,43.74,0.9334999999999996
