episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-0.21646117495902537,50,22,118,35,38,0,45,40.73,1.0
2,2.366596221923828,-1.0381078121349434,50,27,82,27,24,0,31,39.68,0.905
3,,-0.8862557086739152,51,21,72,23,29,0,20,34.4,0.905
4,2.4196362495422363,-1.1732717417768384,50,26,76,26,20,0,30,36.02,0.81
5,,-1.0142138553758406,51,27,86,27,26,0,33,37.6,0.81
6,2.396751880645752,-0.5511016123952146,50,18,76,15,21,0,40,40.41,0.7150000000000001
7,,-0.9689154585662251,50,26,83,26,25,0,32,39.13,0.7150000000000001
8,2.4985859394073486,-1.1663752660876678,50,34,100,27,29,0,44,35.07,0.6200000000000001
9,,-1.529090482248048,50,35,88,32,14,0,42,37.6,0.6200000000000001
10,3.1503148078918457,-0.5338326782977254,51,15,64,22,13,0,29,36.87,0.5250000000000001
11,,-1.507633807243123,51,32,81,28,17,0,36,39.03,0.5250000000000001
12,3.42753267288208,-1.9706088089414553,53,39,81,16,19,0,46,35.01,0.43000000000000016
13,,-0.9822399149632108,51,21,67,13,13,0,41,36.26,0.43000000000000016
14,2.951047420501709,-0.4496672729174646,52,18,80,14,14,0,52,36.91,0.3350000000000002
15,,-0.31616423440532204,51,19,95,20,18,0,57,34.99,0.3350000000000002
16,2.7998428344726562,-0.29376680149698686,50,17,91,16,17,0,58,37.84,0.24000000000000019
17,,-0.8100935081963491,51,21,74,17,12,0,45,34.48,0.24000000000000019
18,2.5227303504943848,-0.9809038142461546,52,23,72,15,13,0,44,33.92,0.14500000000000018
19,,-0.9608180672055793,51,22,71,11,11,0,49,38.34,0.14500000000000018
20,2.4476306438446045,-0.7769788038279503,50,26,92,16,12,0,64,34.96,0.05000000000000018
21,,-0.4082287136552427,52,15,72,10,2,0,60,36.48,0.05000000000000018
22,2.087222099304199,-0.8845487298474328,50,20,67,14,5,0,48,36.41,0.05
