episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-0.5875615855747818,50,18,71,21,19,0,31,33.3,1.0
2,2.4847638607025146,-0.504216596851393,50,20,85,31,27,0,27,30.17,0.905
3,,-0.5406671858775312,52,23,95,41,29,0,25,33.74,0.905
4,2.202040672302246,-0.05263306027573612,50,14,93,22,29,0,42,33.24,0.81
5,,-0.4216254110766034,50,16,74,32,18,0,24,30.43,0.81
6,2.0273752212524414,-0.2965405831044,50,22,110,40,42,0,28,36.56,0.7150000000000001
7,,-0.7569727677094259,50,25,92,31,34,0,27,32.92,0.7150000000000001
8,2.083197593688965,0.02755844111439993,50,14,95,37,40,0,18,43.39,0.6200000000000001
9,,-0.8481662512324967,50,22,76,28,25,0,23,36.32,0.6200000000000001
10,2.2621231079101562,-0.22130539112451686,50,17,89,30,42,0,17,33.54,0.5250000000000001
11,,-1.1977790638848642,50,28,78,40,32,0,6,35.28,0.5250000000000001
12,2.1790518760681152,-0.42508172812731343,50,18,82,35,29,0,18,39.06,0.43000000000000016
13,,-1.3823442728223188,50,32,84,35,37,0,12,39.56,0.43000000000000016
14,2.5547256469726562,-0.5255619459203177,51,22,91,34,40,0,17,32.17,0.3350000000000002
15,,-0.4890002951353757,50,19,80,36,36,0,8,33.07,0.3350000000000002
16,2.0929489135742188,-0.009106256132631768,50,13,83,35,39,0,9,39.5,0.24000000000000019
17,,-1.0940307654452377,50,30,91,33,45,0,13,34.56,0.24000000000000019
18,2.4980642795562744,-1.051675300436737,51,33,102,45,50,0,7,34.69,0.14500000000000018
19,,-0.7756228656971079,53,29,102,55,41,0,6,31.44,0.14500000000000018
20,2.647822380065918,-1.3713000210029929,50,28,73,32,39,0,2,35.02,0.05000000000000018
21,,-0.6664230499035635,50,24,90,44,44,0,2,29.09,0.05000000000000018
22,2.5967864990234375,-0.6995222448412233,50,22,82,42,39,0,1,41.6,0.05
23,,-0.4621584166783407,50,19,84,44,40,0,0,31.5,0.05
1,,-1.215415188085451,50,25,71,24,18,0,29,32.0,1.0
2,2.3989834785461426,-0.6006963751197344,50,23,91,31,25,0,35,43.26,0.905
3,,-1.6283856122132079,51,36,85,30,28,0,27,37.57,0.905
4,2.4639358520507812,-0.6187562874196088,50,23,92,34,31,0,27,37.16,0.81
5,,-1.1369614885470194,50,27,80,35,20,0,25,34.09,0.81
6,2.744786262512207,-0.3989868409643601,51,22,102,45,25,0,32,37.29,0.7150000000000001
7,,-0.04969926554270242,54,18,115,57,29,0,29,43.49,0.7150000000000001
8,2.3289849758148193,-1.4243966562306345,52,38,97,52,23,0,22,39.24,0.6200000000000001
9,,-0.23539675191169834,53,16,86,49,16,0,21,34.74,0.6200000000000001
10,2.135619640350342,-0.9575702083680172,50,26,85,47,16,0,22,35.48,0.5250000000000001
11,,-0.837780402145487,51,22,78,45,16,0,17,36.78,0.5250000000000001
12,2.272142171859741,-0.920353551324267,50,36,117,69,17,0,31,37.87,0.43000000000000016
13,,-1.0197134415054174,51,28,86,66,10,0,10,36.86,0.43000000000000016
14,3.1237149238586426,-0.5790094140109119,51,24,95,66,18,0,11,34.66,0.3350000000000002
15,,-0.1313579431667361,50,17,97,83,8,0,6,43.54,0.3350000000000002
16,2.340118169784546,-0.590957776813081,52,28,117,87,19,0,11,35.2,0.24000000000000019
17,,-0.8173556688633365,52,23,80,68,6,0,6,36.83,0.24000000000000019
18,2.643348217010498,-1.2257447099846674,50,26,74,62,7,0,5,35.83,0.14500000000000018
19,,-0.6859553710699864,50,22,84,77,5,0,2,38.32,0.14500000000000018
20,2.581814765930176,-0.5065841163455862,50,20,83,77,3,0,3,47.31,0.05000000000000018
21,,-0.40590171473914866,50,26,116,113,2,0,1,38.88,0.05000000000000018
22,2.49814772605896,-0.3366213148079064,50,15,75,71,4,0,0,38.62,0.05
23,,0.028083817097191762,51,16,119,116,2,0,1,39.55,0.05
24,2.6844687461853027,-0.6389600940038879,50,21,83,81,1,0,1,36.49,0.05
25,,-0.4220943686981412,51,21,93,90,1,0,2,43.57,0.05
26,2.2179758548736572,-0.34048765102295536,50,19,97,94,1,0,2,38.79,0.05
27,,-0.05387580995148668,50,16,102,98,4,0,0,43.16,0.05
28,2.6555774211883545,-0.4788565365188071,50,24,111,105,2,0,4,40.76,0.05
29,,-1.1995953194712095,51,26,74,70,0,0,4,37.57,0.05
30,2.8251874446868896,-0.15498307626436708,50,18,104,102,1,0,1,38.48,0.05
