episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-0.933104602460548,50,27,86,31,24,0,31,43.76,1.0
1,,0.20187162221792407,50,10,93,31,31,0,31,30.91,1.0
2,1.6476486921310425,-0.27264753503735145,50,14,70,20,23,0,27,39.53,0.91
1,,-0.42599337082655353,51,23,107,33,40,0,34,36.55,1.0
2,1.9072433710098267,0.28177562304382214,50,10,93,31,28,0,34,35.97,0.91
3,,0.3554983990348662,51,10,115,36,37,0,42,35.75,0.91
4,1.666570782661438,-0.1226090164161363,51,20,119,44,39,0,36,37.15,0.8200000000000001
5,,-0.42490875156329194,50,18,83,30,23,0,30,34.42,0.8200000000000001
1,,-2.4314726113142715,53,57,101,31,39,0,31,69.15,1.0
2,4.287018775939941,-2.023483101300191,50,58,118,38,33,0,47,35.22,0.91
3,,-3.2436166976115017,50,117,167,63,49,0,55,26.77,0.91
1,,-0.19855466701994962,51,15,80,26,29,0,25,44.64,1.0
2,2.3557534217834473,-0.5108870291380275,52,24,102,32,40,0,30,40.99,0.91
3,,-0.3874009223478179,50,23,106,36,31,0,39,39.68,0.91
4,2.3075406551361084,-0.8336778424999332,51,27,91,31,31,0,29,36.28,0.8200000000000001
5,,-0.7291904695907555,50,23,85,24,29,0,32,52.12,0.8200000000000001
6,2.3074841499328613,-0.45076180930212273,50,22,98,29,32,0,37,45.92,0.7300000000000001
