episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-5.6521739130434785,20,44.12,1.0,16,46,15,16,0,17
2,8.894583702087402,-2.413793103448276,20,31.19,0.99525,10,87,22,28,0,41
3,,-1.1111111111111112,21,24.5,0.99525,9,63,22,22,0,21
4,8.458906173706055,-1.5625,22,31.07,0.9904999999999999,8,64,15,32,0,22
5,,-3.260869565217391,21,35.12,0.9904999999999999,14,69,27,22,0,22
6,6.441719055175781,-0.4225352112676056,20,17.69,0.9857499999999999,4,71,19,32,0,25
7,,-3.088235294117647,21,40.56,0.9857499999999999,14,68,33,18,0,19
8,7.35604190826416,-3.0357142857142856,20,30.88,0.9809999999999999,10,56,20,25,0,15
9,,-1.9736842105263157,20,38.53,0.9809999999999999,10,76,31,21,0,26
10,8.788854598999023,-1.5625,20,30.9,0.9762499999999998,8,64,18,27,0,24
11,,-3.4,21,31.18,0.9762499999999998,12,50,20,15,0,20
12,7.40135383605957,-3.0,20,35.32,0.9714999999999998,12,60,15,20,0,27
13,,-2.3076923076923075,20,22.66,0.9714999999999998,8,52,12,30,0,15
14,7.821927547454834,-5.853658536585366,21,36.49,0.9667499999999998,17,41,13,17,0,13
15,,-2.314814814814815,21,25.78,0.9667499999999998,10,54,15,18,0,25
16,8.477656364440918,-4.5,20,35.84,0.9619999999999997,12,40,10,22,0,14
17,,-3.3333333333333335,20,40.05,0.9619999999999997,14,63,18,18,0,29
18,8.239896774291992,-3.36734693877551,20,34.11,0.9572499999999997,12,49,16,17,0,18
19,,0.0,20,17.34,0.9572499999999997,2,68,20,28,0,25
20,7.528958797454834,-3.7209302325581395,20,43.46,0.9524999999999997,16,86,25,35,0,28
21,,-4.433962264150943,20,35.35,0.9524999999999997,14,53,16,20,0,21
22,8.98260498046875,-3.0,20,41.78,0.9477499999999996,12,70,31,20,0,23
23,,-1.7142857142857142,20,35.48,0.9477499999999996,10,105,26,37,0,44
