episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-1.694915254237288,20,30.5,1.0,9,59,22,15,0,24
2,7.323055267333984,-1.71875,21,32.87,0.99505,8,64,21,22,0,26
3,,-1.3432835820895523,20,21.19,0.99505,8,67,21,30,0,18
4,8.61255168914795,-3.870967741935484,20,39.44,0.9901,16,62,22,16,0,26
5,,-4.482758620689655,20,42.8,0.9901,14,58,17,22,0,21
6,11.042499542236328,-4.215686274509804,21,39.22,0.98515,16,51,15,21,0,17
7,,-4.193548387096774,20,38.12,0.98515,14,62,18,23,0,23
8,9.073749542236328,-0.8208955223880597,20,21.39,0.9802,6,67,31,15,0,23
9,,-7.0,20,39.46,0.9802,16,40,17,15,0,12
10,9.556563377380371,-2.2413793103448274,20,30.29,0.97525,10,87,35,24,0,32
11,,-2.542372881355932,21,30.97,0.97525,11,59,21,26,0,16
12,9.004739761352539,-3.5714285714285716,20,27.28,0.9702999999999999,12,70,26,27,0,23
13,,-2.6056338028169015,21,39.91,0.9702999999999999,12,71,21,25,0,27
14,8.242743492126465,-2.7777777777777777,20,35.92,0.9653499999999999,10,54,17,17,0,24
15,,-2.3333333333333335,20,32.23,0.9653499999999999,10,60,25,15,0,23
16,7.936266899108887,-3.3333333333333335,20,30.93,0.9603999999999999,10,48,15,20,0,19
17,,-3.8405797101449277,20,35.41,0.9603999999999999,16,69,26,21,0,24
18,9.225425720214844,-1.646341463414634,20,21.08,0.9554499999999999,7,82,28,25,0,33
19,,-2.192982456140351,20,21.96,0.9554499999999999,10,57,19,24,0,16
20,8.124011039733887,-1.619718309859155,22,25.14,0.9504999999999999,9,71,23,26,0,25
21,,-1.9444444444444444,21,23.77,0.9504999999999999,10,108,38,39,0,38
22,7.717724800109863,-2.013888888888889,21,30.86,0.9455499999999999,8,72,25,25,0,26
23,,-2.2093023255813953,20,26.78,0.9455499999999999,8,43,16,14,0,16
24,8.708645820617676,-1.1805555555555556,20,15.79,0.9405999999999999,6,72,30,23,0,24
25,,-6.590909090909091,20,44.83,0.9405999999999999,18,44,14,14,0,18
26,9.344062805175781,-3.207547169811321,20,30.78,0.9356499999999999,12,53,25,13,0,19
27,,-3.0303030303030303,20,35.46,0.9356499999999999,10,66,16,24,0,30
28,7.222969055175781,-4.5,20,39.87,0.9306999999999999,16,60,17,17,0,28
29,,-1.6326530612244898,20,18.36,0.9306999999999999,7,49,19,12,0,21
30,8.69744873046875,-3.6538461538461537,20,35.32,0.9257499999999999,12,52,13,18,0,23
31,,-1.5853658536585367,21,20.07,0.9257499999999999,10,82,32,29,0,24
32,9.397188186645508,-2.5,21,26.19,0.9207999999999998,10,50,20,16,0,18
33,,-3.559322033898305,21,39.98,0.9207999999999998,15,59,22,24,0,15
34,8.71541690826416,-2.5925925925925926,20,30.01,0.9158499999999998,8,54,20,18,0,22
35,,-2.1641791044776117,21,21.8,0.9158499999999998,10,67,25,23,0,24
36,7.75604248046875,-2.926829268292683,20,24.91,0.9108999999999998,10,41,20,16,0,7
37,,-1.3461538461538463,21,35.41,0.9108999999999998,8,78,30,21,0,29
38,8.724270820617676,-2.073170731707317,20,39.73,0.9059499999999998,10,82,35,28,0,21
39,,-1.6666666666666667,20,30.71,0.9059499999999998,8,60,19,19,0,26
40,7.942760944366455,-2.5,20,30.93,0.9009999999999998,8,60,30,16,0,22
41,,-4.814814814814815,20,39.87,0.9009999999999998,16,54,19,24,0,13
42,8.758906364440918,-4.285714285714286,20,35.11,0.8960499999999998,12,42,15,17,0,16
43,,-1.6666666666666667,21,27.73,0.8960499999999998,8,99,32,26,0,43
44,7.97479248046875,-2.2857142857142856,20,22.26,0.8910999999999998,8,70,31,16,0,28
45,,-1.7857142857142858,20,18.17,0.8910999999999998,7,70,25,20,0,30
46,8.493281364440918,-6.521739130434782,20,43.98,0.8861499999999998,18,46,10,11,0,27
47,,-3.5074626865671643,20,34.13,0.8861499999999998,14,67,29,20,0,20
48,9.24901008605957,-3.793103448275862,20,35.94,0.8811999999999998,14,58,21,13,0,27
49,,-3.75,20,39.97,0.8811999999999998,14,56,18,18,0,22
50,6.214115142822266,-1.796875,21,24.1,0.8762499999999998,8,64,20,27,0,23
51,,-3.0434782608695654,20,30.86,0.8762499999999998,12,46,21,14,0,15
52,8.125052452087402,-5.476190476190476,20,35.34,0.8712999999999997,16,42,17,14,0,13
53,,-4.333333333333333,21,35.6,0.8712999999999997,14,60,21,17,0,27
54,8.216197967529297,-2.9661016949152543,20,29.44,0.8663499999999997,14,59,23,17,0,21
55,,-3.9583333333333335,21,40.12,0.8663499999999997,12,48,25,13,0,15
56,9.127396583557129,-5.7317073170731705,20,35.26,0.8613999999999997,16,41,11,12,0,20
57,,-0.6153846153846154,20,21.72,0.8613999999999997,3,65,34,16,0,20
58,8.128437042236328,-1.9396551724137931,21,30.86,0.8564499999999997,12,116,33,36,0,51
59,,-4.636363636363637,20,35.42,0.8564499999999997,16,55,17,17,0,23
60,8.704479217529297,-1.7391304347826086,20,19.25,0.8514999999999997,8,69,28,26,0,20
61,,-3.5714285714285716,20,40.11,0.8514999999999997,12,70,22,26,0,26
62,8.399791717529297,-1.6428571428571428,20,20.13,0.8465499999999997,8,70,24,20,0,28
63,,-4.166666666666667,20,35.1,0.8465499999999997,12,48,21,18,0,13
64,8.969322204589844,-1.7272727272727273,20,21.62,0.8415999999999997,8,55,24,14,0,20
65,,-2.3728813559322033,21,35.46,0.8415999999999997,10,59,24,18,0,19
