epoch,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
1,,-0.38359247135842883,100,83,0,1204,0,3684,89.17
2,,-0.39371657754010697,101,84,0,1121,0,3367,78.56
3,,-0.3780755711775044,101,79,0,1127,0,3425,89.52
4,,-0.36954389406571847,100,77,0,1034,0,3044,73.53
5,1157.8592529296875,-0.37186167693036476,100,77,0,1085,0,3137,81.78
6,,-0.4050420168067227,100,84,0,1205,0,3555,82.38
7,,-0.41146089522872603,100,81,0,1016,0,3050,88.83
8,,-0.3543078412391094,100,78,0,1022,0,3110,76.1
9,,-0.37273930304367003,100,79,0,1098,0,3436,86.64
10,1275.067138671875,-0.3763955342902711,100,78,0,1206,0,3810,84.69
11,,-0.38930457746478875,100,77,0,1167,0,3377,92.45
12,,-0.4057217165149545,100,87,0,1180,0,3434,86.14
13,,-0.38904899135446686,100,77,0,1183,0,3675,96.05
14,,-0.4026758739749676,100,90,0,1140,0,3494,81.43
15,901.7488403320312,-0.3891571553994732,100,82,0,1161,0,3395,87.97
16,,-0.36330935251798563,101,75,0,1255,0,1803,62.34
17,,-0.3807594936708861,100,83,0,1548,0,2402,72.65
18,,-0.38393464942137506,100,86,0,1306,0,1632,58.97
19,,-0.36420664206642067,100,70,0,1154,0,1556,60.88
20,424.057373046875,-0.3817109144542773,100,89,0,1387,0,2003,65.54
21,,-0.38982617586912066,100,89,178,1251,0,2483,76.05
22,,-0.3732227488151659,100,80,167,1118,0,2091,66.31
23,,-0.38973607038123165,100,81,201,1180,0,2029,76.78
24,,-0.3730886850152905,100,80,196,1131,0,1943,67.6
25,314.67877197265625,-0.37637540453074436,100,86,198,1093,0,1799,67.91
26,,-0.3510707332900714,100,78,252,1095,0,1735,70.32
27,,-0.3564356435643564,100,83,212,1154,0,1866,80.49
28,,-0.36924034869240346,100,84,172,1129,0,1911,83.97
29,,-0.3954065797641217,100,84,259,1209,0,1754,93.06
30,113.2408447265625,-0.36537150647580097,100,82,150,1018,0,1766,88.84
31,,-0.3903133903133903,100,77,0,1239,0,3675,117.58
32,,-0.36127836961556276,100,76,0,1087,0,3231,103.46
33,,-0.3847673397717296,100,83,0,1141,0,3415,109.41
34,,-0.3957660566917833,100,82,0,1425,0,4149,102.4
35,191.62637329101562,-0.39841339797267517,100,81,0,1198,0,3340,92.47
36,,-0.3978013029315961,100,87,0,1244,0,3668,92.52
37,,-0.3986541598694943,100,79,0,1164,0,3740,107.96
38,,-0.400990099009901,100,78,0,1101,0,3545,135.44
39,,-0.3693266832917706,100,85,0,990,0,3020,117.16
40,149.54006958007812,-0.41239837398373985,101,84,0,1223,0,3697,100.45
41,,-0.3994605198626778,100,85,0,1299,0,2779,91.05
42,,-0.39961941008563273,100,89,0,1242,0,2962,80.28
43,,-0.3850574712643678,100,80,0,1125,0,2529,77.99
44,,-0.3689503456945317,100,84,0,1084,0,2098,68.34
45,143.301513671875,-0.38292011019283745,101,78,0,1124,0,2506,92.99
46,,-0.3636117136659436,100,86,439,1023,0,2226,93.07
47,,-0.37754607177497573,100,78,326,1166,0,2632,82.26
48,,-0.38712121212121214,100,85,303,1130,0,2527,76.22
49,,-0.35232558139534886,100,79,243,996,0,2201,76.16
50,107.71192932128906,-0.38710499490316,100,85,381,1151,0,2392,76.99
51,,-0.39779513091410196,101,90,0,1316,0,3038,117.88
52,,-0.39494505494505494,100,90,0,1248,0,3302,107.85
53,,-0.39141651031894936,100,85,0,1213,0,3051,107.87
54,,-0.3796821793416572,100,71,0,1019,0,2505,99.65
55,86.71150207519531,-0.37440982058545796,100,83,0,1245,0,2991,114.5
56,,-0.41404468764249885,100,76,0,1132,0,3254,102.56
57,,-0.39334719334719337,100,77,0,1178,0,3632,98.07
58,,-0.3947261663286004,100,79,0,1200,0,3730,98.84
59,,-0.4078579976067012,100,78,0,1228,0,3786,104.9
60,170.10455322265625,-0.39786073825503354,101,85,0,1165,0,3603,99.23
61,,-0.3755713560182834,100,88,319,1371,0,2248,78.4
62,,-0.3794816414686825,100,91,243,1496,0,2891,83.65
63,,-0.3888888888888889,100,85,262,1209,0,1985,67.39
64,,-0.37611783271962124,100,89,284,1295,0,2223,68.79
