episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
1,,-0.4047010730710271,100,90,802,470,0,2642,79.69
2,,-0.41285119667013526,100,88,783,735,0,2326,61.48
3,,-0.39550395256917,100,98,825,601,0,2622,68.52
4,0.27361977100372314,-0.37415158371040724,105,87,722,538,0,2276,68.6
5,,-0.40178163544997714,100,92,933,722,0,2723,71.52
6,,-0.37739634418189927,101,89,919,814,0,2753,66.81
7,,-0.37665562913907286,100,86,761,539,0,2324,102.62
8,0.25929686427116394,-0.40865603644646925,100,93,946,693,0,2751,68.52
9,,-0.42560034305317324,100,95,991,449,0,3224,80.52
10,,-0.3873729266987694,100,92,830,429,0,2479,68.23
11,,-0.41595887349128297,102,98,970,484,0,3020,73.72
12,0.265937477350235,-0.37493143170597915,100,86,798,737,0,2111,70.84
13,,-0.4034090909090909,105,94,755,420,0,2521,73.84
14,,-0.40164684354986274,103,94,925,738,0,2709,70.28
15,,-0.3932291666666667,101,90,964,531,0,2729,76.04
16,0.26255205273628235,-0.4256399837464445,100,96,1017,602,0,3303,81.74
17,,-0.40404040404040403,101,96,771,404,0,2389,67.41
18,,-0.4077889447236181,103,90,822,526,0,2632,78.82
19,,-0.3874391862007961,102,97,922,776,0,2824,73.24
20,0.27075517177581787,-0.40208230044620724,100,92,830,601,0,2603,66.63
21,,-0.4074074074074074,101,95,809,683,0,2396,72.05
22,,-0.3973320628870891,100,89,881,482,0,2835,68.15
23,,-0.4061872237846525,101,85,1011,617,0,3350,96.21
24,0.26932287216186523,-0.4053919121318023,101,87,798,559,0,2649,69.69
25,,-0.39694989106753814,100,90,919,723,0,2948,76.12
26,,-0.410262891809909,103,92,800,521,0,2635,67.29
27,,-0.3785112359550562,100,88,904,528,0,2840,74.89
28,0.25369787216186523,-0.42216117216117216,100,85,992,384,0,2992,75.02
29,,-0.38975817923186346,110,96,910,664,0,2644,85.91
30,,-0.4157918758557736,101,98,922,397,0,3063,73.51
31,,-0.3981123981123981,103,96,936,573,0,3153,78.12
32,0.27101558446884155,-0.38278210116731515,100,90,842,662,0,2608,68.57
33,,-0.42400881057268724,101,97,909,586,0,3045,75.28
34,,-0.4181146828844483,100,99,1043,581,0,2980,85.07
35,,-0.40130689499774674,100,89,945,420,0,3073,78.02
36,0.2724478840827942,-0.38699261992619927,104,88,917,679,0,2740,71.95
37,,-0.4123463388562266,101,83,785,419,0,2538,71.6
38,,-0.39221846302561625,100,88,847,551,0,2740,76.37
39,,-0.4329416531604538,102,99,1088,477,0,3371,95.2
40,0.2513541579246521,-0.4118451025056948,100,83,896,660,0,2834,69.43
41,,-0.3917124542124542,100,92,918,841,0,2609,73.52
42,,-0.3802083333333333,100,87,761,711,0,2176,65.84
43,,-0.3914319248826291,104,94,734,684,0,1990,64.86
44,0.249010369181633,-0.4328968903436989,103,87,1030,638,0,3220,80.88
45,,-0.41845180136319376,101,100,825,484,0,2799,82.99
46,,-0.39190453907346745,102,89,929,566,0,2779,73.11
47,,-0.4009784735812133,100,83,1038,807,0,3265,78.51
48,0.2630729079246521,-0.39815557337610263,101,94,994,724,0,3270,77.54
49,,-0.4061866125760649,100,90,819,685,0,2440,75.31
50,,-0.39596655189375307,102,90,898,597,0,2571,77.48
51,,-0.38215746421267893,103,82,780,640,0,2492,73.16
52,0.25799477100372314,-0.3917652859960552,100,89,762,720,0,2574,73.14
53,,-0.40609007164790173,102,87,877,727,0,2304,70.84
54,,-0.40212854757929883,100,90,1075,574,0,3143,78.85
55,,-0.4121160409556314,100,89,946,727,0,3015,95.52
56,0.24705727398395538,-0.41681146828844484,103,96,1000,574,0,3030,75.43
57,,-0.39870689655172414,101,84,923,468,0,2785,80.27
58,,-0.42438037430450176,101,85,882,378,0,2694,69.11
59,,-0.4237358963643962,102,91,961,856,0,2969,77.05
60,0.27908849716186523,-0.4060814124570868,102,95,864,562,0,2652,88.43
61,,-0.39774363898223714,100,89,903,537,0,2726,73.01
62,,-0.3980263157894737,100,83,819,737,0,2396,66.98
63,,-0.4123755949805279,101,91,969,570,0,3083,79.48
64,0.25473955273628235,-0.40435501653803746,100,93,776,497,0,2355,65.32
65,,-0.3863298662704309,101,98,848,464,0,2726,83.84
66,,-0.40893970893970893,101,103,951,642,0,3217,85.14
67,,-0.40225563909774437,100,95,971,545,0,3006,78.29
68,0.2686718702316284,-0.3888888888888889,102,87,740,425,0,2417,67.06
69,,-0.4043001686340641,103,87,1007,615,0,3122,80.16
70,,-0.4128619153674833,100,97,790,478,0,2324,69.81
71,,-0.41566820276497696,102,97,886,762,0,2692,81.39
72,0.26932287216186523,-0.40951908775409024,100,92,825,615,0,2594,65.71
73,,-0.3959402706486234,101,94,913,634,0,2739,77.4
