episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,-0.3772032902467685,100,88,1156,1175,0,1073,54.67,1.0
2,,-0.4034122179416621,100,92,1187,1253,0,1194,54.32,1.0
3,,-0.39283874291602267,101,95,1299,1315,0,1268,59.37,1.0
4,0.17505206167697906,-0.3783783783783784,101,80,1097,1096,0,1137,56.97,0.91
5,,-0.3759004584151932,100,83,1055,930,0,1069,53.19,0.91
6,,-0.3616212792906903,100,86,1013,1062,0,1083,54.64,0.91
7,,-0.3640491452991453,100,91,1202,1255,0,1287,68.66,0.91
8,0.17479164898395538,-0.3823201338538762,100,93,1139,1199,0,1248,59.59,0.8200000000000001
9,,-0.3728813559322034,101,83,1134,1073,0,1215,57.79,0.8200000000000001
10,,-0.39212152420185376,100,104,1213,1287,0,1384,60.96,0.8200000000000001
11,,-0.3877005347593583,101,86,1057,1102,0,1207,55.43,0.8200000000000001
12,0.1773958057165146,-0.3801201529219006,100,79,1137,1189,0,1336,58.0,0.7300000000000001
13,,-0.38124274099883854,101,87,1065,1061,0,1318,60.95,0.7300000000000001
14,,-0.39167079821517103,100,84,1248,1226,0,1560,61.53,0.7300000000000001
15,,-0.39544303797468355,100,89,1257,1219,0,1474,65.24,0.7300000000000001
16,0.17687499523162842,-0.3734142305570877,100,91,1127,1163,0,1336,61.98,0.6400000000000001
17,,-0.3632228719948018,102,82,941,940,0,1197,54.09,0.6400000000000001
18,,-0.37702265372168287,101,86,1057,1127,0,1524,58.44,0.6400000000000001
19,,-0.3808691308691309,100,94,1229,1172,0,1603,62.53,0.6400000000000001
20,0.17635416984558105,-0.3855708245243129,101,87,1143,1138,0,1503,59.58,0.5500000000000002
21,,-0.3793836344314559,101,90,1131,1086,0,1547,65.2,0.5500000000000002
22,,-0.37623762376237624,101,87,1099,1044,0,1493,59.23,0.5500000000000002
23,,-0.3808535862477771,101,89,991,988,0,1395,63.09,0.5500000000000002
24,0.1771354079246521,-0.38190529875986473,101,88,1045,1102,0,1401,61.24,0.46000000000000013
25,,-0.3727154046997389,101,89,892,839,0,1333,57.11,0.46000000000000013
26,,-0.3841126194067371,100,79,1169,1155,0,1654,63.28,0.46000000000000013
27,,-0.3721959858323495,100,86,972,977,0,1439,59.9,0.46000000000000013
28,0.1784375011920929,-0.36282660332541566,100,84,971,1008,0,1389,56.84,0.3700000000000001
29,,-0.3665480427046263,102,90,784,797,0,1229,59.85,0.3700000000000001
30,,-0.3802910052910053,102,86,877,844,0,1303,57.06,0.3700000000000001
