episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV
1,1058.830322265625,-0.7828335056876939,967,757,560,53,1321,0
2,823.5989990234375,-0.6854410201912858,941,645,295,633,926,28
3,1227.6072998046875,-0.751219512195122,1435,1078,79,470,2266,55
4,746.75341796875,-0.8240985048372911,1137,937,178,224,1872,0
5,621.4976196289062,-0.5716783216783217,572,327,220,409,515,0
6,481.9638366699219,-0.7160804020100503,796,570,508,437,647,0
7,471.1197814941406,-0.6381766381766382,351,224,57,364,281,0
8,537.503662109375,-0.772093023255814,1935,1494,41,236,3593,0
9,318.52752685546875,-0.8706278971765697,2373,2066,330,229,4187,0
10,479.3237609863281,-0.6487394957983194,595,386,189,314,687,0
11,373.89215087890625,-0.7398615232443125,1011,748,86,179,1757,0
12,274.5340576171875,-0.7431124348473567,1343,998,277,1042,1367,0
13,199.96875,-0.7781890660592256,3512,2733,254,39,6731,0
14,270.1664123535156,-0.7959677419354839,1240,987,130,189,2161,0
15,176.94268798828125,-0.7125307125307125,814,580,341,188,1099,0
16,237.4342498779297,-0.7951070336391437,654,520,151,303,854,0
17,158.316650390625,-0.8714859437751004,1743,1519,195,154,3137,0
18,174.55987548828125,-0.7572347266881029,2488,1884,762,202,4012,0
19,220.96096801757812,-0.6888657648283039,961,662,73,359,1490,0
20,163.87234497070312,-0.7443609022556391,1995,1485,346,573,3071,0
21,167.63528442382812,-0.7980392156862746,1020,814,203,92,1745,0
22,172.46182250976562,-0.8341346153846154,1248,1041,233,327,1936,0
23,86.65118408203125,-0.7287581699346405,612,446,40,194,990,0
24,216.86727905273438,-0.8014469453376206,1244,997,163,70,2255,0
25,198.0873260498047,-0.8527954706298655,1413,1205,35,110,2681,0
26,114.43543243408203,-0.883399209486166,3036,2682,184,75,5813,0
27,78.61593627929688,-0.8243243243243243,1258,1037,175,230,2111,0
28,115.7301254272461,-0.8581560283687943,987,847,154,245,1575,0
29,181.02728271484375,-0.7046632124352331,965,680,716,338,876,0
30,103.59111022949219,-0.8,825,660,175,273,1202,0
31,111.8580322265625,-0.6044776119402985,938,567,673,348,855,0
32,110.86077880859375,-0.7822450948858154,3109,2432,128,301,5789,0
33,81.19148254394531,-0.7562231759656652,1165,881,71,919,1340,0
34,94.22129821777344,-0.7438507209499576,3537,2631,0,410,6664,0
35,93.62312316894531,-0.6109422492401215,658,402,450,361,505,0
36,108.84928894042969,-0.8360709592641261,3044,2545,20,12,6056,0
37,80.12124633789062,-0.7826666666666666,1500,1174,201,80,2719,0
38,98.14348602294922,-0.8,1475,1180,38,1684,1228,0
39,116.51103210449219,-0.7755668671911152,2161,1676,288,1840,2194,0
40,127.23208618164062,-0.35141800246609123,811,285,191,708,723,0
41,82.90998840332031,-0.6939024390243902,820,569,879,24,737,0
42,94.32621002197266,-0.8488014751075599,1627,1381,28,702,2524,0
43,96.2708969116211,-0.8993079584775087,2890,2599,314,34,5432,0
44,67.60762786865234,-0.69593147751606,934,650,1009,238,621,0
45,130.36550903320312,-0.6503409795412275,1613,1049,896,137,2193,0
46,93.45877075195312,-0.8110445775116434,1503,1219,88,255,2663,0
47,106.88842010498047,-0.6191117092866757,743,460,682,14,790,0
48,130.74147033691406,-0.8185792349726776,1830,1498,0,210,3450,0
49,30.69091033935547,-0.7611607142857143,896,682,201,81,1510,0
50,100.78480529785156,-0.7799934619156587,3059,2386,401,0,5717,0
51,72.7174072265625,-0.6413570274636511,619,397,221,399,618,0
52,67.97441864013672,-0.7117064647641235,1717,1222,97,327,3010,0
53,100.84689331054688,-0.7113924050632912,2370,1686,632,1,4107,0
54,100.8412094116211,-0.7534090909090909,1760,1326,26,248,3246,0
55,162.96290588378906,-0.748040313549832,893,668,659,0,1114,13
56,164.60101318359375,-0.7502958579881657,2535,1902,12,0,5058,0
57,183.8209228515625,-0.7324128862590401,3042,2228,17,63,6004,0
58,198.73880004882812,-0.8937462052216151,1647,1472,58,348,2888,0
59,123.38163757324219,-0.8480947476828012,3884,3294,39,0,7729,0
60,133.81024169921875,-0.8668628172122104,2719,2357,15,22,5386,15
61,163.1242218017578,-0.701095461658842,639,448,487,0,791,0
62,133.71884155273438,-0.9177852348993288,1788,1641,30,13,3533,0
