episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,658.2786865234375,0.12048192771084337,20,41.84,0.99802,8,83,29,28,0,27
2,653.7474365234375,-1.0405405405405406,20,48.8,0.99604,10,74,29,19,0,26
3,612.088134765625,-2.8260869565217392,18,57.46,0.99406,12,92,25,36,0,31
4,571.21826171875,-0.9333333333333333,20,57.64,0.9920800000000001,10,90,25,32,0,35
5,488.10491943359375,-0.6336633663366337,21,42.53,0.9901000000000001,10,101,36,39,0,30
6,431.6832580566406,0.09900990099009901,20,36.3,0.9881200000000001,6,101,32,38,0,33
7,469.134033203125,-0.8020833333333334,16,58.42,0.9861400000000001,10,96,22,37,0,39
8,407.51031494140625,-0.8870967741935484,20,54.12,0.9841600000000001,10,62,18,26,0,20
9,406.3807678222656,-2.909090909090909,20,55.1,0.9821800000000002,16,88,28,27,0,33
10,395.70556640625,-0.7564102564102564,20,49.2,0.9802000000000002,10,78,26,33,0,21
11,405.3042907714844,-1.018181818181818,20,56.36,0.9782200000000002,12,110,41,41,0,30
12,295.19677734375,-1.9342105263157894,20,42.86,0.9762400000000002,14,76,19,27,0,32
13,353.93853759765625,-0.05319148936170213,20,39.66,0.9742600000000002,6,94,30,37,0,27
14,304.8162536621094,-0.8837209302325582,20,42.53,0.9722800000000003,10,86,28,31,0,29
15,226.58901977539062,0.4954954954954955,20,30.93,0.9703000000000003,6,111,40,29,0,42
16,284.9066467285156,0.15966386554621848,20,36.5,0.9683200000000003,8,119,37,49,0,33
17,279.6568298339844,-0.16666666666666666,20,57.2,0.9663400000000003,8,102,30,40,0,34
18,274.6695556640625,-0.3008849557522124,20,45.92,0.9643600000000003,10,113,32,38,0,46
19,220.68203735351562,-0.06756756756756757,20,40.64,0.9623800000000003,8,74,15,37,0,22
20,237.747802734375,-1.3222222222222222,18,57.63,0.9604000000000004,10,90,33,34,0,25
21,219.07171630859375,0.08045977011494253,21,47.63,0.9584200000000004,8,87,43,18,0,28
22,214.33416748046875,-2.292682926829268,20,54.72,0.9564400000000004,14,82,27,23,0,34
23,215.29356384277344,0.4897959183673469,20,47.94,0.9544600000000004,6,98,39,36,0,26
24,213.53085327148438,-5.476190476190476,18,57.73,0.9524800000000004,16,42,20,9,0,13
25,193.37060546875,-0.2191780821917808,21,56.22,0.9505000000000005,9,73,27,25,0,21
26,189.9339141845703,-0.76,14,57.62,0.9485200000000005,8,100,41,30,0,33
27,172.2835693359375,1.2247191011235956,20,38.91,0.9465400000000005,4,89,35,32,0,22
28,163.42288208007812,-0.2627118644067797,21,33.23,0.9445600000000005,8,118,44,39,0,37
29,164.4571075439453,-0.04054054054054054,20,51.98,0.9425800000000005,8,74,25,19,0,30
30,147.8199005126953,-1.1428571428571428,20,49.13,0.9406000000000005,12,112,39,39,0,36
31,107.67417907714844,-1.2820512820512822,20,55.37,0.9386200000000006,10,78,27,21,0,30
32,124.1259765625,-1.2577319587628866,20,41.06,0.9366400000000006,12,97,45,25,0,29
33,123.16142272949219,-0.6845637583892618,20,50.66,0.9346600000000006,6,149,49,54,0,48
34,96.54124450683594,-2.375,20,55.19,0.9326800000000006,14,80,28,24,0,28
35,112.37054443359375,-1.6774193548387097,20,57.2,0.9307000000000006,12,62,20,22,0,20
36,134.51007080078125,-1.90625,20,38.96,0.9287200000000007,12,64,22,20,0,22
37,113.9267349243164,-2.160377358490566,18,57.99,0.9267400000000007,14,106,41,28,0,37
38,94.58088684082031,-0.9891304347826086,20,44.62,0.9247600000000007,10,92,29,36,0,27
39,105.97189331054688,-1.9523809523809523,18,57.78,0.9227800000000007,12,84,26,26,0,32
40,145.60711669921875,-0.6914893617021277,20,57.04,0.9208000000000007,8,94,30,30,0,34
41,130.3509521484375,0.5089285714285714,20,47.99,0.9188200000000007,6,112,48,27,0,39
42,144.96148681640625,-3.8333333333333335,18,57.8,0.9168400000000008,16,66,18,18,0,30
43,117.8187026977539,-0.5735294117647058,20,48.56,0.9148600000000008,10,68,20,24,0,24
44,82.89997863769531,-0.7916666666666666,18,57.82,0.9128800000000008,10,96,27,31,0,38
45,106.44331359863281,-0.59,20,35.85,0.9109000000000008,10,100,29,40,0,33
46,104.4597396850586,-0.7642276422764228,20,50.03,0.9089200000000008,12,123,38,57,0,30
47,142.30572509765625,-2.2903225806451615,18,57.9,0.9069400000000009,12,62,18,30,0,14
48,123.73912048339844,-0.4652777777777778,20,48.2,0.9049600000000009,10,144,57,43,0,44
49,95.28485107421875,-0.2727272727272727,20,32.74,0.9029800000000009,8,99,35,36,0,32
50,123.66080474853516,-1.4741379310344827,21,38.14,0.9010000000000009,14,116,46,32,0,41
51,125.2854995727539,-1.644736842105263,20,50.33,0.8990200000000009,12,76,32,24,0,20
52,85.28072357177734,0.7204301075268817,20,54.37,0.897040000000001,4,93,45,17,0,33
53,127.6778793334961,-0.6641221374045801,21,30.19,0.895060000000001,10,131,56,44,0,34
54,124.39505004882812,0.2872340425531915,20,33.51,0.893080000000001,6,94,39,34,0,23
55,94.00907897949219,-6.666666666666667,18,57.77,0.891100000000001,18,42,16,13,0,13
56,150.53155517578125,-0.13043478260869565,20,48.11,0.889120000000001,8,92,34,33,0,27
57,103.76119995117188,0.6862745098039216,20,28.19,0.887140000000001,4,102,41,32,0,29
58,108.3055419921875,-0.10810810810810811,20,49.92,0.8851600000000011,8,111,40,41,0,32
59,116.41815948486328,-1.5714285714285714,20,55.46,0.8831800000000011,12,84,37,25,0,22
60,140.99000549316406,0.5662650602409639,20,30.5,0.8812000000000011,6,83,43,25,0,15
61,106.0897216796875,-0.12222222222222222,20,26.19,0.8792200000000011,8,90,38,39,0,17
62,103.74522399902344,-0.5757575757575758,20,48.8,0.8772400000000011,10,66,17,23,0,26
63,125.44252014160156,-0.8548387096774194,20,56.69,0.8752600000000011,10,62,25,21,0,16
64,115.46174621582031,-1.7692307692307692,20,56.21,0.8732800000000012,12,78,32,22,0,24
65,124.68540954589844,-0.10227272727272728,21,35.85,0.8713000000000012,8,88,34,31,0,26
