episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-1.2545454545454546,21,55.05,1.0,12,110,28,30,0,54
2,440.9315185546875,-0.55,21,57.68,0.99802,10,80,27,33,0,25
3,,-0.11428571428571428,20,28.42,0.99802,8,70,21,20,0,31
4,464.65350341796875,1.8518518518518519,21,23.39,0.99604,4,81,22,34,0,27
5,,0.6842105263157895,20,47.39,0.99604,6,76,28,28,0,24
6,464.6032409667969,0.058823529411764705,20,41.87,0.99406,6,68,24,23,0,27
7,,-1.5365853658536586,20,53.12,0.99406,12,82,21,28,0,35
8,454.6743469238281,-0.7017543859649122,20,54.24,0.9920800000000001,10,114,32,40,0,44
9,,-0.1896551724137931,21,54.34,0.9920800000000001,10,116,39,37,0,42
10,411.63739013671875,-2.46875,18,57.73,0.9901000000000001,14,64,18,21,0,25
11,,-1.0149253731343284,20,35.22,0.9901000000000001,10,67,22,22,0,28
12,524.9141845703125,0.13043478260869565,21,54.37,0.9881200000000001,8,92,22,36,0,36
13,,-0.76,18,57.84,0.9881200000000001,10,100,26,34,0,40
14,490.7822570800781,-1.326086956521739,20,47.58,0.9861400000000001,12,92,29,33,0,33
15,,-0.5161290322580645,20,40.86,0.9861400000000001,6,93,32,32,0,33
16,467.0157470703125,1.03125,20,42.1,0.9841600000000001,6,64,22,18,0,26
17,,-1.7666666666666666,20,47.76,0.9841600000000001,12,60,22,20,0,20
18,409.5909118652344,-0.029411764705882353,20,35.7,0.9821800000000002,8,68,27,26,0,19
19,,1.0,21,22.45,0.9821800000000002,6,46,18,14,0,16
20,440.2582702636719,0.8125,20,44.5,0.9802000000000002,6,64,26,19,0,21
21,,-1.3513513513513513,18,57.77,0.9802000000000002,12,74,25,25,0,24
22,397.86102294921875,-0.11428571428571428,20,47.95,0.9782200000000002,8,70,24,26,0,24
23,,0.21505376344086022,21,41.42,0.9782200000000002,8,93,39,27,0,31
24,348.1018371582031,-0.034782608695652174,21,22.56,0.9762400000000002,6,115,39,35,0,43
25,,-1.2,20,54.62,0.9762400000000002,12,70,26,24,0,22
26,347.9942932128906,-0.42105263157894735,20,41.4,0.9742600000000002,8,76,27,29,0,24
27,,0.8163265306122449,20,47.92,0.9742600000000002,4,98,31,44,0,27
28,443.814453125,-1.6129032258064515,20,47.54,0.9722800000000003,12,62,12,25,0,27
29,,-0.21428571428571427,20,43.43,0.9722800000000003,6,84,37,25,0,26
30,514.78662109375,-2.769230769230769,18,57.79,0.9703000000000003,16,78,27,29,0,22
31,,-0.23809523809523808,20,41.09,0.9703000000000003,8,84,29,34,0,25
32,416.9222412109375,-0.4,20,54.7,0.9683200000000003,8,90,26,32,0,34
33,,1.951219512195122,20,47.9,0.9683200000000003,2,82,36,27,0,21
34,460.1247253417969,-2.164705882352941,20,35.1,0.9663400000000003,12,85,31,27,0,33
35,,-0.5063291139240507,21,48.22,0.9663400000000003,10,79,28,33,0,20
36,372.2774658203125,-1.9534883720930232,20,50.19,0.9643600000000003,14,86,31,33,0,24
37,,1.48,20,30.65,0.9643600000000003,4,75,34,17,0,26
38,385.37542724609375,0.4,21,41.63,0.9623800000000003,8,75,31,20,0,26
39,,-3.259259259259259,20,54.97,0.9623800000000003,14,54,28,15,0,13
40,384.58502197265625,-2.689655172413793,20,54.83,0.9604000000000004,14,58,20,21,0,19
41,,-0.5428571428571428,20,43.66,0.9604000000000004,10,70,23,27,0,22
42,349.94891357421875,-0.8181818181818182,20,17.05,0.9584200000000004,8,66,30,26,0,14
43,,-1.2203389830508475,21,48.25,0.9584200000000004,12,118,48,35,0,37
44,459.7763671875,-2.8684210526315788,20,54.53,0.9564400000000004,14,76,27,22,0,29
45,,-0.6052631578947368,20,48.95,0.9564400000000004,10,76,28,29,0,21
46,335.68035888671875,-1.4545454545454546,20,48.25,0.9544600000000004,10,66,27,25,0,18
47,,0.9043478260869565,20,42.15,0.9544600000000004,6,115,50,30,0,37
48,361.2409362792969,0.42990654205607476,21,33.57,0.9524800000000004,6,107,45,34,0,32
49,,-0.925,20,54.51,0.9524800000000004,10,80,37,17,0,28
50,374.1098327636719,0.6231884057971014,20,35.32,0.9505000000000005,8,69,29,23,0,20
51,,-3.0384615384615383,18,57.91,0.9505000000000005,14,52,18,18,0,16
52,389.09918212890625,-1.9743589743589745,20,60.82,0.9485200000000005,14,78,26,26,0,28
53,,-2.0625,20,54.54,0.9485200000000005,12,64,21,23,0,22
54,354.7376403808594,0.3655913978494624,21,45.1,0.9465400000000005,8,93,35,31,0,29
55,,-0.15151515151515152,20,42.38,0.9465400000000005,8,66,26,22,0,22
56,341.26470947265625,0.13513513513513514,20,40.15,0.9445600000000005,8,74,32,23,0,21
57,,-1.3793103448275863,20,41.5,0.9445600000000005,10,58,19,19,0,22
58,273.64019775390625,0.5164835164835165,20,55.08,0.9425800000000005,6,91,32,31,0,32
59,,0.18627450980392157,20,47.97,0.9425800000000005,8,102,38,28,0,38
60,260.27484130859375,-0.24,20,41.8,0.9406000000000005,10,50,23,15,0,14
61,,0.24489795918367346,20,29.59,0.9406000000000005,4,98,36,35,0,34
62,350.57452392578125,-2.0,18,57.91,0.9386200000000006,12,68,25,22,0,21
63,,-0.7105263157894737,20,53.91,0.9386200000000006,10,76,26,27,0,25
64,364.78680419921875,0.8787878787878788,20,41.64,0.9366400000000006,6,66,22,24,0,22
65,,-0.5581395348837209,20,48.12,0.9366400000000006,8,86,37,25,0,28
66,252.2762451171875,0.5178571428571429,20,47.91,0.9346600000000006,6,112,36,45,0,33
