episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-0.8617021276595744,20,39.94,1.0,8,94,28,35,0,33
2,717.3175048828125,0.7887323943661971,20,32.98,0.99802,4,71,13,35,0,27
3,,-1.1714285714285715,20,47.62,0.99802,8,70,22,30,0,22
4,773.19873046875,-0.3958333333333333,20,41.78,0.99604,6,96,38,35,0,31
5,,-0.6904761904761905,20,54.28,0.99604,10,84,23,30,0,33
6,769.6979370117188,-4.096774193548387,18,57.01,0.99406,16,62,24,19,0,19
7,,0.17391304347826086,21,15.65,0.99406,4,46,19,15,0,14
8,702.8699340820312,-0.8493150684931506,20,41.33,0.9920800000000001,8,73,21,34,0,20
9,,-0.05747126436781609,20,42.74,0.9920800000000001,4,87,29,27,0,36
10,643.626953125,-1.6153846153846154,20,53.78,0.9901000000000001,10,78,20,22,0,40
11,,-0.056910569105691054,20,40.95,0.9901000000000001,4,123,45,29,0,53
12,607.8026123046875,-2.175438596491228,20,48.17,0.9881200000000001,12,57,25,11,0,23
13,,-1.2337662337662338,20,35.29,0.9881200000000001,10,77,33,24,0,24
14,669.6587524414062,0.03773584905660377,20,41.32,0.9861400000000001,6,106,32,38,0,38
15,,0.33783783783783783,20,18.88,0.9861400000000001,2,74,22,30,0,29
16,645.5234375,-1.325,20,45.46,0.9841600000000001,10,80,24,26,0,32
17,,0.84375,20,28.58,0.9841600000000001,4,64,30,13,0,25
18,637.8218994140625,-5.03125,20,53.24,0.9821800000000002,18,64,14,26,0,26
19,,-1.2666666666666666,20,32.76,0.9821800000000002,8,75,24,27,0,27
20,649.5440673828125,-0.7142857142857143,20,47.36,0.9802000000000002,10,56,26,14,0,18
21,,-1.9166666666666667,18,56.82,0.9802000000000002,12,72,23,24,0,27
22,615.9432983398438,-0.1111111111111111,21,46.65,0.9782200000000002,6,99,38,28,0,38
23,,-2.25974025974026,20,43.99,0.9782200000000002,14,77,18,26,0,35
24,602.149658203125,-2.736842105263158,18,57.21,0.9762400000000002,12,76,20,30,0,28
25,,-3.5714285714285716,20,56.09,0.9762400000000002,16,70,22,26,0,24
