episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,0.7241379310344828,20,50.72,1.0,2,116,38,39,0,42
2,393.4177551269531,0.5154639175257731,20,46.7,0.9981,4,97,32,29,0,40
3,,-0.11392405063291139,18,62.24,0.9981,6,79,26,23,0,30
4,349.0981140136719,0.9655172413793104,20,40.29,0.9962,2,58,18,20,0,25
5,,-1.449438202247191,21,52.25,0.9962,12,89,18,40,0,33
6,363.8874816894531,-0.11290322580645161,20,41.74,0.9943,6,62,27,19,0,20
7,,1.423529411764706,20,33.1,0.9943,0,85,38,24,0,27
8,328.81671142578125,0.5657894736842105,20,60.2,0.9924,4,76,23,29,0,28
9,,1.1428571428571428,21,34.38,0.9924,4,70,21,27,0,24
10,337.19097900390625,1.3387096774193548,20,35.78,0.9904999999999999,2,62,24,21,0,19
11,,-1.3373493975903614,20,49.31,0.9904999999999999,8,83,38,24,0,23
12,341.1927795410156,0.2826086956521739,20,36.33,0.9885999999999999,4,92,32,31,0,33
13,,-1.345679012345679,20,46.25,0.9885999999999999,10,81,29,26,0,28
14,320.46173095703125,-0.6153846153846154,20,61.72,0.9866999999999999,10,104,37,35,0,36
15,,1.7567567567567568,20,43.48,0.9866999999999999,0,74,31,28,0,18
16,284.5713806152344,1.3043478260869565,20,39.79,0.9847999999999999,2,69,31,19,0,23
17,,0.06666666666666667,20,56.24,0.9847999999999999,6,60,17,21,0,24
18,311.397216796875,0.6904761904761905,20,32.95,0.9828999999999999,4,84,29,33,0,27
19,,-0.6666666666666666,20,52.82,0.9828999999999999,6,54,19,19,0,20
20,317.801025390625,0.35802469135802467,20,53.67,0.9809999999999999,4,81,22,27,0,36
21,,1.0847457627118644,20,43.81,0.9809999999999999,2,59,24,23,0,14
22,270.5350341796875,-1.3,21,55.73,0.9790999999999999,10,60,26,18,0,18
23,,-0.05102040816326531,21,49.51,0.9790999999999999,6,98,32,36,0,32
24,296.103759765625,1.40625,20,48.31,0.9771999999999998,2,64,27,24,0,15
25,,-0.6888888888888889,20,41.74,0.9771999999999998,6,90,24,34,0,35
26,252.78492736816406,1.105263157894737,20,49.28,0.9752999999999998,2,57,20,19,0,20
27,,-1.0298507462686568,20,46.09,0.9752999999999998,10,67,28,20,0,21
28,267.15045166015625,-1.7627118644067796,21,55.51,0.9733999999999998,10,59,26,21,0,17
29,,0.21621621621621623,20,52.5,0.9733999999999998,4,74,20,35,0,25
30,272.3319396972656,-0.015151515151515152,20,33.12,0.9714999999999998,6,66,33,18,0,17
31,,-0.16393442622950818,20,39.16,0.9714999999999998,8,61,25,21,0,17
32,282.1172180175781,1.1746031746031746,20,44.42,0.9695999999999998,2,63,21,23,0,21
33,,1.05,21,29.62,0.9695999999999998,2,60,20,31,0,15
34,257.5760498046875,0.2716049382716049,20,44.85,0.9676999999999998,4,81,32,20,0,33
35,,0.5176470588235295,20,33.81,0.9676999999999998,4,85,27,29,0,35
36,271.9738464355469,-0.2891566265060241,21,33.37,0.9657999999999998,6,83,30,26,0,31
37,,-2.0754716981132075,20,60.05,0.9657999999999998,12,53,21,19,0,15
38,244.31045532226562,0.5588235294117647,20,35.79,0.9638999999999998,4,102,29,44,0,32
39,,-0.9,16,62.39,0.9638999999999998,8,60,14,23,0,25
40,265.4786376953125,-0.5256410256410257,21,55.88,0.9619999999999997,8,78,29,24,0,27
41,,-0.13953488372093023,20,53.04,0.9619999999999997,8,86,43,24,0,21
42,261.4452209472656,0.3050847457627119,20,39.54,0.9600999999999997,4,59,25,16,0,22
43,,-1.032258064516129,18,62.46,0.9600999999999997,10,62,24,17,0,21
44,225.87855529785156,0.09195402298850575,20,46.9,0.9581999999999997,4,87,32,35,0,22
45,,-1.9473684210526316,20,49.8,0.9581999999999997,12,76,30,24,0,26
46,227.40357971191406,-0.75,20,52.77,0.9562999999999997,8,64,23,24,0,19
47,,0.265625,20,53.7,0.9562999999999997,4,64,24,20,0,23
48,228.8154296875,0.2222222222222222,20,39.65,0.9543999999999997,4,90,39,29,0,26
49,,-0.18518518518518517,20,38.6,0.9543999999999997,6,81,33,26,0,24
50,236.14736938476562,0.05263157894736842,20,41.14,0.9524999999999997,6,76,31,31,0,19
51,,-0.4883720930232558,20,42.99,0.9524999999999997,6,86,28,32,0,32
52,244.33163452148438,-0.4230769230769231,20,45.05,0.9505999999999997,6,78,29,25,0,28
53,,0.47368421052631576,18,62.27,0.9505999999999997,2,114,35,37,0,46
54,228.06019592285156,-0.14492753623188406,20,57.39,0.9486999999999997,6,69,34,15,0,24
55,,-1.608695652173913,20,38.95,0.9486999999999997,10,69,34,23,0,16
56,214.71524047851562,0.2972972972972973,20,30.06,0.9467999999999996,4,74,35,20,0,23
57,,1.1710526315789473,20,50.56,0.9467999999999996,4,76,29,20,0,29
58,240.70541381835938,-0.43103448275862066,20,54.6,0.9448999999999996,8,58,21,20,0,21
59,,0.6923076923076923,20,47.28,0.9448999999999996,4,78,29,23,0,30
60,220.68592834472656,-0.12643678160919541,20,40.3,0.9429999999999996,5,87,30,32,0,29
61,,0.5858585858585859,20,48.9,0.9429999999999996,4,99,39,25,0,37
62,218.70980834960938,-0.56,21,36.23,0.9410999999999996,8,75,30,27,0,20
63,,1.0149253731343284,21,42.61,0.9410999999999996,2,67,31,23,0,17
64,202.32778930664062,1.0740740740740742,21,34.28,0.9391999999999996,2,54,19,25,0,15
65,,0.23076923076923078,20,48.4,0.9391999999999996,6,65,23,23,0,22
66,211.6304168701172,-0.017543859649122806,20,37.97,0.9372999999999996,4,57,30,14,0,17
67,,-0.34285714285714286,18,62.18,0.9372999999999996,6,70,22,24,0,26
68,169.9665069580078,0.4177215189873418,21,55.88,0.9353999999999996,6,79,27,20,0,34
69,,0.013888888888888888,21,45.83,0.9353999999999996,6,72,27,25,0,22
70,185.58428955078125,1.4411764705882353,20,30.43,0.9334999999999996,0,68,30,22,0,19
71,,-2.6226415094339623,20,21.38,0.9334999999999996,10,53,23,19,0,16
72,179.16445922851562,0.6901408450704225,20,27.08,0.9315999999999995,2,71,27,29,0,18
73,,0.47560975609756095,21,50.38,0.9315999999999995,4,82,25,26,0,33
74,186.72203063964844,0.21568627450980393,18,62.34,0.9296999999999995,6,102,34,43,0,27
75,,-0.2857142857142857,20,52.58,0.9296999999999995,6,70,33,19,0,20
76,178.34327697753906,0.6181818181818182,21,49.54,0.9277999999999995,4,55,32,16,0,12
77,,-0.5172413793103449,20,41.46,0.9277999999999995,8,58,20,16,0,24
78,174.62342834472656,-0.7123287671232876,20,36.36,0.9258999999999995,6,73,24,29,0,24
79,,0.35526315789473684,20,34.72,0.9258999999999995,4,76,30,21,0,29
80,184.70118713378906,-0.22077922077922077,20,60.35,0.9239999999999995,6,77,30,25,0,24
81,,0.3382352941176471,21,33.67,0.9239999999999995,4,68,34,22,0,15
