episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,-1.1546391752577319,20,38.63,1.0,10,97,36,28,0,37
2,295402.21875,-1.3472222222222223,18,60.26,0.9981,10,72,25,27,0,20
3,,-0.6354166666666666,20,50.5,0.9981,6,96,34,34,0,30
4,247299.453125,-1.325,20,56.39,0.9962,8,80,30,20,0,32
5,,-3.6,20,58.28,0.9962,14,55,16,21,0,20
6,151797.625,-1.8472222222222223,20,57.41,0.9943,10,72,25,26,0,23
7,,-1.641025641025641,20,52.13,0.9943,10,78,27,22,0,33
8,85547.859375,-1.434782608695652,20,58.18,0.9924,10,92,23,40,0,31
9,,-0.6744186046511628,20,43.03,0.9924,6,86,27,36,0,27
10,46371.5859375,-0.9487179487179487,20,58.92,0.9904999999999999,8,78,21,34,0,27
11,,-0.7341772151898734,21,46.77,0.9904999999999999,8,79,23,30,0,28
12,42323.34375,-1.875,20,57.57,0.9885999999999999,10,88,28,29,0,33
13,,-2.6379310344827585,18,62.39,0.9885999999999999,12,58,24,21,0,15
14,28374.40625,-1.5,20,43.61,0.9866999999999999,10,88,29,35,0,28
15,,-1.7692307692307692,20,37.79,0.9866999999999999,10,65,16,20,0,31
16,12160.6396484375,-0.9423076923076923,20,31.56,0.9847999999999999,6,52,21,19,0,22
17,,-0.9625,20,50.86,0.9847999999999999,8,80,27,34,0,21
18,5233.48486328125,-1.75,20,45.59,0.9828999999999999,8,44,14,17,0,17
19,,-0.5641025641025641,20,51.32,0.9828999999999999,6,78,24,28,0,28
20,3805.583984375,-2.1184210526315788,18,62.29,0.9809999999999999,12,76,26,28,0,22
21,,-2.6056338028169015,21,43.7,0.9809999999999999,14,71,23,25,0,25
22,5422.36962890625,-0.9416666666666667,20,57.69,0.9790999999999999,8,120,39,40,0,43
23,,-5.304347826086956,20,51.1,0.9790999999999999,16,46,15,14,0,21
24,7105.361328125,0.1388888888888889,20,37.14,0.9771999999999998,2,108,36,44,0,32
25,,-2.96875,20,59.26,0.9771999999999998,12,64,17,27,0,24
26,9905.5595703125,-1.829268292682927,20,39.83,0.9752999999999998,10,82,25,32,0,28
27,,-3.130434782608696,20,52.64,0.9752999999999998,12,46,15,17,0,16
28,6708.4970703125,-5.886363636363637,18,61.77,0.9733999999999998,16,44,19,15,0,10
29,,-2.661764705882353,20,59.02,0.9733999999999998,14,68,30,21,0,19
30,5598.3330078125,-2.5833333333333335,18,62.29,0.9714999999999998,14,60,22,11,0,27
31,,-3.640625,20,61.21,0.9714999999999998,14,64,18,22,0,26
32,8439.8173828125,-0.6593406593406593,19,62.16,0.9695999999999998,6,91,32,30,0,29
33,,-5.520833333333333,20,65.5,0.9695999999999998,18,48,11,18,0,21
34,5441.52001953125,-1.1578947368421053,20,50.85,0.9676999999999998,8,76,33,21,0,24
35,,-1.7222222222222223,20,58.21,0.9676999999999998,10,72,18,25,0,31
36,5675.87890625,-1.0104166666666667,20,56.86,0.9657999999999998,8,96,33,25,0,40
